FileName_Orig,FileName,Date,Timepoint,Treatment,Tank_ID,Plug,Red.Standard,Green.Standard,Blue.Standard,Red.Coral,Green.Coral,Blue.Coral,Notes
IMG_4222,POR_P0_H1,20250625,0,Heat,Tank_2,1176,244.96,206.71,213.96,85.4,61.58,24.13,
IMG_4223,POR_R0_H1,20250625,0,Heat,Tank_2,2208,245.96,210.49,217.98,146.33,109.72,37.9,
IMG_4224,POR_S0_H1,20250625,0,Heat,Tank_2,2666,245.96,209.45,215.7,147.5,110.84,42.12,
IMG_4225,POR_P0_H2,20250625,0,Heat,Tank_3,2742,243.96,204.82,211.98,106.88,79.06,34.03,
IMG_4226,POR_R0_H2,20250625,0,Heat,Tank_3,3003,244.92,204.61,212.69,83.81,60.55,28.68,
IMG_4227,POR_S0_H2,20250625,0,Heat,Tank_3,1547,246.92,208.59,215.52,100.63,74.58,33.4,
IMG_4228,POR_P0_H3,20250625,0,Heat,Tank_5,2729,242.93,204.88,211.56,111.62,77.95,19.23,
IMG_4229,POR_R0_H3,20250625,0,Heat,Tank_5,1100,243.92,203.84,210.97,137.19,102.11,36.55,
IMG_4230,POR_S0_H3,20250625,0,Heat,Tank_5,1066,245.01,204.4,210.94,101.58,73.07,23.45,
IMG_4231,POR_P0_C1,20250625,0,Control,Tank_1,2370,243.91,202.88,211.94,97.76,69.57,22.27,
IMG_4232,POR_R0_C1,20250625,0,Control,Tank_1,1752,243.91,205.73,212.94,90.89,64.32,20.81,
IMG_4233,POR_S0_C1,20250625,0,Control,Tank_1,1496,244.26,201.57,210.09,138.45,98.94,25.36,
IMG_4234,POR_P0_C2,20250625,0,Control,Tank_4,1562,244.24,203.49,211.31,131.02,92.03,27.29,
IMG_4235,POR_R0_C2,20250625,0,Control,Tank_4,1219,244.21,203.15,211.38,130.94,91.59,21.58,
IMG_4236,POR_S0_C2,20250625,0,Control,Tank_4,1455,243.93,206.62,213.27,150.48,105.62,20.65,
IMG_4237,POR_P0_C3,20250625,0,Control,Tank_6,2405,243.96,206.87,213.42,142.63,103.55,32.36,
IMG_4238,POR_R0_C3,20250625,0,Control,Tank_6,1559,,,,,,,
IMG_4239,POR_S0_C3,20250625,0,Control,Tank_6,1253,,,,,,,
IMG_4240,POR_P1_C1,20250625,1,Control,Tank_1,1247,,,,,,,
IMG_4241,POR_R1_C1,20250625,1,Control,Tank_1,1644,,,,,,,
IMG_4242,POR_S1_C1,20250625,1,Control,Tank_1,1729,,,,,,,
IMG_4243,POR_P1_C2,20250625,1,Control,Tank_4,1698,,,,,,,
IMG_4244,POR_R1_C2,20250625,1,Control,Tank_4,2869,,,,,,,
IMG_4245,POR_S1_C2,20250625,1,Control,Tank_4,1038,,,,,,,
IMG_4246,POR_P1_C3,20250625,1,Control,Tank_6,1742,,,,,,,
IMG_4247,POR_R1_C3,20250625,1,Control,Tank_6,1566,,,,,,,
IMG_4248,POR_S1_C3,20250625,1,Control,Tank_6,2070,,,,,,,
IMG_4249,POR_P1_H1,20250625,1,Heat,Tank_2,2986,,,,,,,
IMG_4250,POR_R1_H1,20250625,1,Heat,Tank_2,1175,,,,,,,
IMG_4251,POR_S1_H1,20250625,1,Heat,Tank_2,2026,,,,,,,
IMG_4252,POR_P1_H2,20250625,1,Heat,Tank_3,1429,,,,,,,
IMG_4253,POR_R1_H2,20250625,1,Heat,Tank_3,1554,,,,,,,
IMG_4254,POR_S1_H2,20250625,1,Heat,Tank_3,2758,,,,,,,
IMG_4255,POR_P1_H3,20250625,1,Heat,Tank_5,1283,,,,,,,
IMG_4256,POR_R1_H3,20250625,1,Heat,Tank_5,1159,,,,,,,
IMG_4257,POR_S1_H3,20250625,1,Heat,Tank_5,1295,,,,,,,
IMG_4258,POR_P3_C1,20250625,3,Control,Tank_1,2755,,,,,,,
IMG_4259,POR_R3_C1,20250625,3,Control,Tank_1,1306,,,,,,,
IMG_4260,POR_S3_C1,20250625,3,Control,Tank_1,2060,,,,,,,
IMG_4261,POR_P3_C2,20250625,3,Control,Tank_4,2368,,,,,,,
IMG_4262,POR_R3_C2,20250625,3,Control,Tank_4,1653,,,,,,,
IMG_4263,POR_S3_C2,20250625,3,Control,Tank_4,2879,,,,,,,
IMG_4265,POR_P3_C3,20250625,3,Control,Tank_6,2195,,,,,,,
IMG_4266,POR_R3_C3,20250625,3,Control,Tank_6,1748,,,,,,,
IMG_4267,POR_S3_C3,20250625,3,Control,Tank_6,2531,,,,,,,
IMG_4268,POR_P3_H1,20250625,3,Heat,Tank_2,2563,,,,,,,
IMG_4269,POR_R3_H1,20250625,3,Heat,Tank_2,1164,,,,,,,
IMG_4270,POR_S3_H1,20250625,3,Heat,Tank_2,1180,,,,,,,
IMG_4271,POR_P3_H2,20250625,3,Heat,Tank_3,1071,,,,,,,
IMG_4272,POR_R3_H2,20250625,3,Heat,Tank_3,1412,,,,,,,
IMG_4273,POR_S3_H2,20250625,3,Heat,Tank_3,1643,,,,,,,
IMG_4274,POR_P3_H3,20250625,3,Heat,Tank_5,1749,,,,,,,
IMG_4275,POR_R3_H3,20250625,3,Heat,Tank_5,1218,,,,,,,
IMG_4276,POR_S3_H3,20250625,3,Heat,Tank_5,1094,,,,,,,
IMG_4278,POR_P12_C1,20250625,12,Control,Tank_1,1059,,,,,,,
IMG_4279,POR_R12_C1,20250625,12,Control,Tank_1,2378,,,,,,,
IMG_4280,POR_S12_C1,20250625,12,Control,Tank_1,2757,,,,,,,
IMG_4281,POR_P12_C2,20250625,12,Control,Tank_4,1290,,,,,,,
IMG_4282,POR_R12_C2,20250625,12,Control,Tank_4,1123,,,,,,,
IMG_4283,POR_S12_C2,20250625,12,Control,Tank_4,2380,,,,,,,
IMG_4284,POR_P12_C3,20250625,12,Control,Tank_6,1647,,,,,,,
IMG_4285,POR_R12_C3,20250625,12,Control,Tank_6,2073,,,,,,,
IMG_4286,POR_S12_C3,20250625,12,Control,Tank_6,2738,,,,,,,
