/datalog,,,,,,,,,,,,
/@hardware,/@hardware/#agg,/@software,/hostname,/record/#id,/record/date,/record/probe/name,/record/probe/type,/record/probe/value,/record/probe/value/#agg,/serial,/timezone,/timezone/#agg
1,1,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Btemp,Temp,25.1,25.1,AC5:86437,-10,-10
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Salt,Cond,29.6,29.6,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Temp_1,Temp,25,25,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Temp_4,Temp,25,25,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Temp_2,Temp,25,25,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Temp_3,Temp,25.1,25.1,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Temp_5,Temp,25.2,25.2,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Temp_6,Temp,25,25,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Heater_1A,Amps,1.8,1.8,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Heater_2A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Heater_3A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Heater_4A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Heater_5A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Heater_6A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Off_7A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Off_8A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Heater_1W,pwr,216,216,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Heater_2W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Heater_3W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Heater_4W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Heater_5W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Heater_6W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Off_7W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Off_8W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,1,06/24/2025 00:00:00,Volt_16,volts,114,114,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Btemp,Temp,25.1,25.1,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Salt,Cond,29.6,29.6,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Temp_1,Temp,25,25,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Temp_4,Temp,25,25,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Temp_2,Temp,25,25,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Temp_3,Temp,25.2,25.2,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Temp_5,Temp,25.2,25.2,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Temp_6,Temp,25,25,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Heater_1A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Heater_2A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Heater_3A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Heater_4A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Heater_5A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Heater_6A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Off_7A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Off_8A,Amps,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Heater_1W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Heater_2W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Heater_3W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Heater_4W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Heater_5W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Heater_6W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Off_7W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Off_8W,pwr,0,0,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,2,06/24/2025 00:01:00,Volt_16,volts,115,115,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,06/24/2025 00:02:00,Btemp,Temp,25.1,25.1,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,06/24/2025 00:02:00,Salt,Cond,29.5,29.5,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,06/24/2025 00:02:00,Temp_1,Temp,25.1,25.1,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,06/24/2025 00:02:00,Temp_4,Temp,25,25,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,06/24/2025 00:02:00,Temp_2,Temp,25,25,AC5:86437,-10,
1,,5.12_2B25,CBLSTimeSeries,3,06/24/2025 00:02:00,Temp_3,Temp,25.2,25.2,AC5:86437,-10,
