"Plot Title: 9893752"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 9893752, SEN S/N: 9893752)","Intensity, Lux (LGR S/N: 9893752, SEN S/N: 9893752)","Coupler Detached (LGR S/N: 9893752)","Coupler Attached (LGR S/N: 9893752)","Host Connected (LGR S/N: 9893752)","Stopped (LGR S/N: 9893752)","End Of File (LGR S/N: 9893752)"
1,06/24/25 02:49:41 PM,20.519,0.0,,,,,
2,06/24/25 02:50:00 PM,,,Logged,,,,
3,06/24/25 02:54:41 PM,20.615,0.0,,,,,
4,06/24/25 02:59:41 PM,20.615,0.0,,,,,
5,06/24/25 03:04:41 PM,20.615,0.0,,,,,
6,06/24/25 03:09:41 PM,20.615,0.0,,,,,
7,06/24/25 03:14:41 PM,20.519,0.0,,,,,
8,06/24/25 03:19:41 PM,20.519,0.0,,,,,
9,06/24/25 03:24:41 PM,20.519,0.0,,,,,
10,06/24/25 03:29:41 PM,20.519,0.0,,,,,
11,06/24/25 03:34:41 PM,20.519,0.0,,,,,
12,06/24/25 03:39:41 PM,20.519,0.0,,,,,
13,06/24/25 03:44:41 PM,20.519,0.0,,,,,
14,06/24/25 03:49:41 PM,20.519,0.0,,,,,
15,06/24/25 03:54:41 PM,20.424,0.0,,,,,
16,06/24/25 03:59:41 PM,20.424,0.0,,,,,
17,06/24/25 04:04:41 PM,20.424,0.0,,,,,
18,06/24/25 04:09:41 PM,20.424,0.0,,,,,
19,06/24/25 04:14:41 PM,20.424,0.0,,,,,
20,06/24/25 04:19:41 PM,20.424,0.0,,,,,
21,06/24/25 04:24:41 PM,20.424,0.0,,,,,
22,06/24/25 04:29:41 PM,20.424,0.0,,,,,
23,06/24/25 04:34:41 PM,20.424,0.0,,,,,
24,06/24/25 04:39:41 PM,20.615,0.0,,,,,
25,06/24/25 04:44:41 PM,21.187,0.0,,,,,
26,06/24/25 04:49:41 PM,21.473,0.0,,,,,
27,06/24/25 04:54:41 PM,25.319,688.9,,,,,
28,06/24/25 04:59:41 PM,25.610,688.9,,,,,
29,06/24/25 05:04:41 PM,25.610,1119.5,,,,,
30,06/24/25 05:09:41 PM,25.513,807.3,,,,,
31,06/24/25 05:14:41 PM,25.513,667.4,,,,,
32,06/24/25 05:19:41 PM,25.513,667.4,,,,,
33,06/24/25 05:24:41 PM,25.513,1227.1,,,,,
34,06/24/25 05:29:41 PM,25.513,699.7,,,,,
35,06/24/25 05:34:41 PM,25.708,688.9,,,,,
36,06/24/25 05:39:41 PM,25.708,710.4,,,,,
37,06/24/25 05:44:41 PM,25.708,495.1,,,,,
38,06/24/25 05:49:41 PM,25.708,592.0,,,,,
39,06/24/25 05:54:41 PM,25.610,602.8,,,,,
40,06/24/25 05:59:41 PM,25.610,516.7,,,,,
41,06/24/25 06:04:41 PM,25.610,376.7,,,,,
42,06/24/25 06:09:41 PM,25.513,366.0,,,,,
43,06/24/25 06:14:41 PM,25.513,527.4,,,,,
44,06/24/25 06:19:41 PM,25.513,462.9,,,,,
45,06/24/25 06:24:41 PM,25.610,344.4,,,,,
46,06/24/25 06:29:41 PM,25.708,279.9,,,,,
47,06/24/25 06:34:41 PM,25.708,215.3,,,,,
48,06/24/25 06:39:41 PM,25.610,236.8,,,,,
49,06/24/25 06:44:41 PM,25.610,204.5,,,,,
50,06/24/25 06:49:41 PM,25.610,301.4,,,,,
51,06/24/25 06:54:41 PM,25.513,75.3,,,,,
52,06/24/25 06:59:41 PM,25.513,172.2,,,,,
53,06/24/25 07:04:41 PM,25.513,215.3,,,,,
54,06/24/25 07:09:41 PM,25.513,107.6,,,,,
55,06/24/25 07:14:41 PM,25.708,118.4,,,,,
56,06/24/25 07:19:41 PM,25.708,86.1,,,,,
57,06/24/25 07:24:41 PM,25.610,236.8,,,,,
58,06/24/25 07:29:41 PM,25.610,150.7,,,,,
59,06/24/25 07:34:41 PM,25.610,64.6,,,,,
60,06/24/25 07:39:41 PM,25.610,0.0,,,,,
