task,species,t_hours,treatment,day,time,type,Tank,fragment_name,preservative,Plug #,Sampled?,Notes
sampling,POR,0,control,"Wed, Jun 25",9:00 AM,phys,Tank_1,POR_P0_C1,LN2,2370,Yes,
sampling,POR,0,control,"Wed, Jun 25",9:00 AM,bulk_rna,Tank_1,POR_R0_C1,DNA/RNA shield,1752,Yes,
sampling,POR,0,control,"Wed, Jun 25",9:00 AM,LCM,Tank_1,POR_R0_C1,PAXgene,1752,Yes,
sampling,POR,0,control,"Wed, Jun 25",9:00 AM,spatial,Tank_1,POR_S0_C1,Formalin,1496,Yes,
sampling,POR,0,control,"Wed, Jun 25",9:00 AM,phys,Tank_4,POR_P0_C2,LN2,1562,Yes,
sampling,POR,0,control,"Wed, Jun 25",9:00 AM,bulk_rna,Tank_4,POR_R0_C2,DNA/RNA shield,1219,Yes,
sampling,POR,0,control,"Wed, Jun 25",9:00 AM,LCM,Tank_4,POR_R0_C2,PAXgene,1219,Yes,
sampling,POR,0,control,"Wed, Jun 25",9:00 AM,spatial,Tank_4,POR_S0_C2,Formalin,1455,Yes,
sampling,POR,0,control,"Wed, Jun 25",9:00 AM,phys,Tank_6,POR_P0_C3,LN2,2405,Yes,
sampling,POR,0,control,"Wed, Jun 25",9:00 AM,bulk_rna,Tank_6,POR_R0_C3,DNA/RNA shield,1559,Yes,
sampling,POR,0,control,"Wed, Jun 25",9:00 AM,LCM,Tank_6,POR_R0_C3,PAXgene,1559,Yes,
sampling,POR,0,control,"Wed, Jun 25",9:00 AM,spatial,Tank_6,POR_S0_C3,Formalin,1253,Yes,
sampling,POR,0,heat,"Wed, Jun 25",9:00 AM,phys,Tank_2,POR_P0_H1,LN2,1176,Yes,
sampling,POR,0,heat,"Wed, Jun 25",9:00 AM,bulk_rna,Tank_2,POR_R0_H1,DNA/RNA shield,2208,Yes,
sampling,POR,0,heat,"Wed, Jun 25",9:00 AM,LCM,Tank_2,POR_R0_H1,PAXgene,2208,Yes,
sampling,POR,0,heat,"Wed, Jun 25",9:00 AM,spatial,Tank_2,POR_S0_H1,Formalin,2666,Yes,
sampling,POR,0,heat,"Wed, Jun 25",9:00 AM,phys,Tank_3,POR_P0_H2,LN2,2742,Yes,
sampling,POR,0,heat,"Wed, Jun 25",9:00 AM,bulk_rna,Tank_3,POR_R0_H2,DNA/RNA shield,3003,Yes,
sampling,POR,0,heat,"Wed, Jun 25",9:00 AM,LCM,Tank_3,POR_R0_H2,PAXgene,3003,Yes,
sampling,POR,0,heat,"Wed, Jun 25",9:00 AM,spatial,Tank_3,POR_S0_H2,Formalin,1547,Yes,
sampling,POR,0,heat,"Wed, Jun 25",9:00 AM,phys,Tank_5,POR_P0_H3,LN2,2729,Yes,
sampling,POR,0,heat,"Wed, Jun 25",9:00 AM,bulk_rna,Tank_5,POR_R0_H3,DNA/RNA shield,1100,Yes,
sampling,POR,0,heat,"Wed, Jun 25",9:00 AM,LCM,Tank_5,POR_R0_H3,PAXgene,1100,Yes,
sampling,POR,0,heat,"Wed, Jun 25",9:00 AM,spatial,Tank_5,POR_S0_H3,Formalin,1066,Yes,
sampling,POR,1,control,"Wed, Jun 25",10:00 AM,phys,Tank_1,POR_P1_C1,LN2,1247,Yes,
sampling,POR,1,control,"Wed, Jun 25",10:00 AM,bulk_rna,Tank_1,POR_R1_C1,DNA/RNA shield,1644,Yes,
sampling,POR,1,control,"Wed, Jun 25",10:00 AM,LCM,Tank_1,POR_R1_C1,PAXgene,1644,Yes,
sampling,POR,1,control,"Wed, Jun 25",10:00 AM,spatial,Tank_1,POR_S1_C1,Formalin,1729,Yes,
sampling,POR,1,control,"Wed, Jun 25",10:00 AM,phys,Tank_4,POR_P1_C2,LN2,1698,Yes,
sampling,POR,1,control,"Wed, Jun 25",10:00 AM,bulk_rna,Tank_4,POR_R1_C2,DNA/RNA shield,2869,Yes,
sampling,POR,1,control,"Wed, Jun 25",10:00 AM,LCM,Tank_4,POR_R1_C2,PAXgene,2869,Yes,
sampling,POR,1,control,"Wed, Jun 25",10:00 AM,spatial,Tank_4,POR_S1_C2,Formalin,1038,Yes,
sampling,POR,1,control,"Wed, Jun 25",10:00 AM,phys,Tank_6,POR_P1_C3,LN2,1742,Yes,
sampling,POR,1,control,"Wed, Jun 25",10:00 AM,bulk_rna,Tank_6,POR_R1_C3,DNA/RNA shield,1566,Yes,
sampling,POR,1,control,"Wed, Jun 25",10:00 AM,LCM,Tank_6,POR_R1_C3,PAXgene,1566,Yes,
sampling,POR,1,control,"Wed, Jun 25",10:00 AM,spatial,Tank_6,POR_S1_C3,Formalin,2070,Yes,
sampling,POR,1,heat,"Wed, Jun 25",10:00 AM,phys,Tank_2,POR_P1_H1,LN2,2986,Yes,
sampling,POR,1,heat,"Wed, Jun 25",10:00 AM,bulk_rna,Tank_2,POR_R1_H1,DNA/RNA shield,1175,Yes,
sampling,POR,1,heat,"Wed, Jun 25",10:00 AM,LCM,Tank_2,POR_R1_H1,PAXgene,1175,Yes,
sampling,POR,1,heat,"Wed, Jun 25",10:00 AM,spatial,Tank_2,POR_S1_H1,Formalin,2026,Yes,
sampling,POR,1,heat,"Wed, Jun 25",10:00 AM,phys,Tank_3,POR_P1_H2,LN2,1429,Yes,
sampling,POR,1,heat,"Wed, Jun 25",10:00 AM,bulk_rna,Tank_3,POR_R1_H2,DNA/RNA shield,1554,Yes,
sampling,POR,1,heat,"Wed, Jun 25",10:00 AM,LCM,Tank_3,POR_R1_H2,PAXgene,1554,Yes,
sampling,POR,1,heat,"Wed, Jun 25",10:00 AM,spatial,Tank_3,POR_S1_H2,Formalin,2758,Yes,
sampling,POR,1,heat,"Wed, Jun 25",10:00 AM,phys,Tank_5,POR_P1_H3,LN2,1283,Yes,
sampling,POR,1,heat,"Wed, Jun 25",10:00 AM,bulk_rna,Tank_5,POR_R1_H3,DNA/RNA shield,1159,Yes,
sampling,POR,1,heat,"Wed, Jun 25",10:00 AM,LCM,Tank_5,POR_R1_H3,PAXgene,1159,Yes,
sampling,POR,1,heat,"Wed, Jun 25",10:00 AM,spatial,Tank_5,POR_S1_H3,Formalin,1295,Yes,
sampling,POR,3,control,"Wed, Jun 25",12:00 PM,phys,Tank_1,POR_P3_C1,LN2,2755,Yes,
sampling,POR,3,control,"Wed, Jun 25",12:00 PM,bulk_rna,Tank_1,POR_R3_C1,DNA/RNA shield,1306,Yes,
sampling,POR,3,control,"Wed, Jun 25",12:00 PM,LCM,Tank_1,POR_R3_C1,PAXgene,1306,Yes,
sampling,POR,3,control,"Wed, Jun 25",12:00 PM,spatial,Tank_1,POR_S3_C1,Formalin,2060,Yes,
sampling,POR,3,control,"Wed, Jun 25",12:00 PM,phys,Tank_4,POR_P3_C2,LN2,2368,Yes,
sampling,POR,3,control,"Wed, Jun 25",12:00 PM,bulk_rna,Tank_4,POR_R3_C2,DNA/RNA shield,1653,Yes,
sampling,POR,3,control,"Wed, Jun 25",12:00 PM,LCM,Tank_4,POR_R3_C2,PAXgene,1653,Yes,
sampling,POR,3,control,"Wed, Jun 25",12:00 PM,spatial,Tank_4,POR_S3_C2,Formalin,2879,Yes,
sampling,POR,3,control,"Wed, Jun 25",12:00 PM,phys,Tank_6,POR_P3_C3,LN2,2195,Yes,
sampling,POR,3,control,"Wed, Jun 25",12:00 PM,bulk_rna,Tank_6,POR_R3_C3,DNA/RNA shield,1748,Yes,
sampling,POR,3,control,"Wed, Jun 25",12:00 PM,LCM,Tank_6,POR_R3_C3,PAXgene,1748,Yes,
sampling,POR,3,control,"Wed, Jun 25",12:00 PM,spatial,Tank_6,POR_S3_C3,Formalin,2531,Yes,
