"","DateTimeEST","TempC","IntensityLux","Tank","Treatment"
"1",2025-06-25 08:04:41,25.61,0,"Tank1","Control"
"2",2025-06-25 08:09:41,25.708,0,"Tank1","Control"
"3",2025-06-25 08:14:41,25.61,0,"Tank1","Control"
"4",2025-06-25 08:19:41,25.61,0,"Tank1","Control"
"5",2025-06-25 08:24:41,25.61,0,"Tank1","Control"
"6",2025-06-25 08:29:41,25.61,0,"Tank1","Control"
"7",2025-06-25 08:34:41,25.513,10.8,"Tank1","Control"
"8",2025-06-25 08:39:41,25.513,64.6,"Tank1","Control"
"9",2025-06-25 08:44:41,25.513,107.6,"Tank1","Control"
"10",2025-06-25 08:49:41,25.513,150.7,"Tank1","Control"
"11",2025-06-25 08:54:41,25.708,387.5,"Tank1","Control"
"12",2025-06-25 08:59:41,25.708,247.6,"Tank1","Control"
"13",2025-06-25 09:04:41,25.61,279.9,"Tank1","Control"
"14",2025-06-25 09:09:41,25.61,183,"Tank1","Control"
"15",2025-06-25 09:14:41,25.513,258.3,"Tank1","Control"
"16",2025-06-25 09:19:41,25.513,301.4,"Tank1","Control"
"17",2025-06-25 09:24:41,25.513,322.9,"Tank1","Control"
"18",2025-06-25 09:29:41,25.513,344.4,"Tank1","Control"
"19",2025-06-25 09:34:41,25.416,409,"Tank1","Control"
"20",2025-06-25 09:39:41,25.416,344.4,"Tank1","Control"
"21",2025-06-25 09:44:41,25.416,366,"Tank1","Control"
"22",2025-06-25 09:49:41,25.513,301.4,"Tank1","Control"
"23",2025-06-25 09:54:41,25.513,0,"Tank1","Control"
"24",2025-06-25 09:59:41,25.513,0,"Tank1","Control"
"25",2025-06-25 10:04:41,25.513,0,"Tank1","Control"
"26",2025-06-25 10:09:41,25.416,484.4,"Tank1","Control"
"27",2025-06-25 10:14:41,25.416,505.9,"Tank1","Control"
"28",2025-06-25 10:19:41,25.513,484.4,"Tank1","Control"
"29",2025-06-25 10:24:41,25.61,516.7,"Tank1","Control"
"30",2025-06-25 10:29:41,25.513,645.8,"Tank1","Control"
"31",2025-06-25 10:34:41,25.513,667.4,"Tank1","Control"
"32",2025-06-25 10:39:41,25.513,742.7,"Tank1","Control"
"33",2025-06-25 10:44:41,25.416,0,"Tank1","Control"
"34",2025-06-25 10:49:41,25.416,0,"Tank1","Control"
"35",2025-06-25 10:54:41,25.319,0,"Tank1","Control"
"36",2025-06-25 10:59:41,25.513,0,"Tank1","Control"
"37",2025-06-25 11:04:41,25.513,0,"Tank1","Control"
"38",2025-06-25 11:09:41,25.513,0,"Tank1","Control"
"39",2025-06-25 11:14:41,25.416,0,"Tank1","Control"
"40",2025-06-25 11:19:41,25.416,0,"Tank1","Control"
"41",2025-06-25 11:24:41,25.319,0,"Tank1","Control"
"42",2025-06-25 11:29:41,25.319,0,"Tank1","Control"
"43",2025-06-25 11:34:41,25.513,0,"Tank1","Control"
"44",2025-06-25 11:39:41,25.513,0,"Tank1","Control"
"45",2025-06-25 11:44:41,25.513,0,"Tank1","Control"
"46",2025-06-25 11:49:41,25.513,10.8,"Tank1","Control"
"47",2025-06-25 11:54:41,25.513,1054.9,"Tank1","Control"
"48",2025-06-25 11:59:41,25.513,1173.3,"Tank1","Control"
"49",2025-06-25 12:04:41,25.416,1205.6,"Tank1","Control"
"50",2025-06-25 12:09:41,25.513,1248.6,"Tank1","Control"
"51",2025-06-25 12:14:41,25.61,1227.1,"Tank1","Control"
"52",2025-06-25 12:19:41,25.61,1270.1,"Tank1","Control"
"53",2025-06-25 12:24:41,25.61,1227.1,"Tank1","Control"
"54",2025-06-25 12:29:41,25.513,1270.1,"Tank1","Control"
"55",2025-06-25 12:34:41,25.513,1280.9,"Tank1","Control"
"56",2025-06-25 12:39:41,25.513,1194.8,"Tank1","Control"
"57",2025-06-25 12:44:41,25.513,1184,"Tank1","Control"
"58",2025-06-25 12:49:41,25.513,1227.1,"Tank1","Control"
"59",2025-06-25 12:54:41,25.319,0,"Tank1","Control"
"60",2025-06-25 12:59:41,25.416,0,"Tank1","Control"
"61",2025-06-25 13:04:41,25.513,0,"Tank1","Control"
"62",2025-06-25 13:09:41,25.513,0,"Tank1","Control"
"63",2025-06-25 13:14:41,25.513,0,"Tank1","Control"
"64",2025-06-25 13:19:41,25.513,0,"Tank1","Control"
"65",2025-06-25 13:24:41,25.513,0,"Tank1","Control"
"66",2025-06-25 13:29:41,25.416,0,"Tank1","Control"
