"Plot Title: 10655120"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10655120, SEN S/N: 10655120)","Intensity, Lux (LGR S/N: 10655120, SEN S/N: 10655120)","Coupler Detached (LGR S/N: 10655120)","Coupler Attached (LGR S/N: 10655120)","Host Connected (LGR S/N: 10655120)","Stopped (LGR S/N: 10655120)","End Of File (LGR S/N: 10655120)"
1,06/30/25 02:16:12 PM,21.951,0.0,,,,,
2,06/30/25 02:16:17 PM,,,Logged,,,,
3,06/30/25 02:16:41 PM,,,,Logged,Logged,,
4,06/30/25 02:16:53 PM,,,Logged,,,,
5,06/30/25 02:16:54 PM,,,,Logged,Logged,,
6,06/30/25 02:17:03 PM,,,Logged,,,,
7,06/30/25 02:21:12 PM,21.664,0.0,,,,,
8,06/30/25 02:26:12 PM,21.473,0.0,,,,,
9,06/30/25 02:31:12 PM,21.187,0.0,,,,,
10,06/30/25 02:36:12 PM,20.996,0.0,,,,,
11,06/30/25 02:41:12 PM,20.805,0.0,,,,,
12,06/30/25 02:46:12 PM,20.615,0.0,,,,,
13,06/30/25 02:51:12 PM,20.519,0.0,,,,,
14,06/30/25 02:56:12 PM,20.519,0.0,,,,,
15,06/30/25 03:01:12 PM,20.424,0.0,,,,,
16,06/30/25 03:06:12 PM,20.329,0.0,,,,,
17,06/30/25 03:11:12 PM,20.329,0.0,,,,,
18,06/30/25 03:16:12 PM,20.329,0.0,,,,,
19,06/30/25 03:21:12 PM,20.329,0.0,,,,,
20,06/30/25 03:26:12 PM,20.234,0.0,,,,,
21,06/30/25 03:31:12 PM,20.234,10.8,,,,,
22,06/30/25 03:36:12 PM,20.234,0.0,,,,,
23,06/30/25 03:41:12 PM,20.234,0.0,,,,,
24,06/30/25 03:46:12 PM,20.234,0.0,,,,,
25,06/30/25 03:51:12 PM,20.234,0.0,,,,,
26,06/30/25 03:56:12 PM,20.234,0.0,,,,,
27,06/30/25 04:01:12 PM,20.234,0.0,,,,,
28,06/30/25 04:06:12 PM,20.234,0.0,,,,,
29,06/30/25 04:11:12 PM,20.234,0.0,,,,,
30,06/30/25 04:16:12 PM,20.234,0.0,,,,,
31,06/30/25 04:21:12 PM,20.234,0.0,,,,,
32,06/30/25 04:26:12 PM,20.234,0.0,,,,,
33,06/30/25 04:31:12 PM,20.234,0.0,,,,,
34,06/30/25 04:36:12 PM,20.234,0.0,,,,,
35,06/30/25 04:41:12 PM,20.234,10.8,,,,,
36,06/30/25 04:46:12 PM,20.234,0.0,,,,,
37,06/30/25 04:51:12 PM,20.234,0.0,,,,,
38,06/30/25 04:56:12 PM,20.519,10.8,,,,,
39,06/30/25 05:01:12 PM,20.901,139.9,,,,,
40,06/30/25 05:06:12 PM,20.996,139.9,,,,,
41,06/30/25 05:11:12 PM,21.091,129.2,,,,,
42,06/30/25 05:16:12 PM,21.091,139.9,,,,,
43,06/30/25 05:21:12 PM,21.091,0.0,,,,,
44,06/30/25 05:26:12 PM,20.996,0.0,,,,,
45,06/30/25 05:31:12 PM,20.996,0.0,,,,,
46,06/30/25 05:36:12 PM,20.996,0.0,,,,,
47,06/30/25 05:41:12 PM,20.996,0.0,,,,,
48,06/30/25 05:46:12 PM,20.901,0.0,,,,,
49,06/30/25 05:51:12 PM,20.901,0.0,,,,,
50,06/30/25 05:56:12 PM,20.901,0.0,,,,,
51,06/30/25 06:01:12 PM,20.805,0.0,,,,,
52,06/30/25 06:06:12 PM,20.805,0.0,,,,,
53,06/30/25 06:11:12 PM,20.805,0.0,,,,,
54,06/30/25 06:16:12 PM,20.805,0.0,,,,,
55,06/30/25 06:21:12 PM,20.805,0.0,,,,,
56,06/30/25 06:26:12 PM,20.805,0.0,,,,,
57,06/30/25 06:31:12 PM,20.805,0.0,,,,,
58,06/30/25 06:36:12 PM,20.805,0.0,,,,,
59,06/30/25 06:41:12 PM,20.901,0.0,,,,,
60,06/30/25 06:46:12 PM,20.901,0.0,,,,,
61,06/30/25 06:51:12 PM,20.996,0.0,,,,,
62,06/30/25 06:56:12 PM,20.996,0.0,,,,,
63,06/30/25 07:01:12 PM,21.091,0.0,,,,,
64,06/30/25 07:06:12 PM,21.091,0.0,,,,,
65,06/30/25 07:11:12 PM,21.187,0.0,,,,,
66,06/30/25 07:16:12 PM,21.187,0.0,,,,,
67,06/30/25 07:21:12 PM,21.187,0.0,,,,,
68,06/30/25 07:26:12 PM,21.282,0.0,,,,,
69,06/30/25 07:31:12 PM,21.187,0.0,,,,,
70,06/30/25 07:36:12 PM,21.187,0.0,,,,,
71,06/30/25 07:41:12 PM,21.187,0.0,,,,,
72,06/30/25 07:46:12 PM,21.187,0.0,,,,,
73,06/30/25 07:51:12 PM,21.282,0.0,,,,,
74,06/30/25 07:56:12 PM,21.282,0.0,,,,,
75,06/30/25 08:01:12 PM,21.282,0.0,,,,,
76,06/30/25 08:06:12 PM,21.282,0.0,,,,,
77,06/30/25 08:11:12 PM,21.378,0.0,,,,,
78,06/30/25 08:16:12 PM,21.378,0.0,,,,,
79,06/30/25 08:21:12 PM,21.378,0.0,,,,,
80,06/30/25 08:26:12 PM,21.378,0.0,,,,,
81,06/30/25 08:31:12 PM,21.378,0.0,,,,,
82,06/30/25 08:36:12 PM,21.378,0.0,,,,,
83,06/30/25 08:41:12 PM,21.378,0.0,,,,,
84,06/30/25 08:46:12 PM,21.378,0.0,,,,,
85,06/30/25 08:51:12 PM,21.378,0.0,,,,,
86,06/30/25 08:56:12 PM,21.378,0.0,,,,,
87,06/30/25 09:01:12 PM,21.378,0.0,,,,,
88,06/30/25 09:06:12 PM,21.378,0.0,,,,,
89,06/30/25 09:11:12 PM,21.378,0.0,,,,,
90,06/30/25 09:16:12 PM,21.378,0.0,,,,,
91,06/30/25 09:21:12 PM,21.473,0.0,,,,,
92,06/30/25 09:26:12 PM,21.473,0.0,,,,,
93,06/30/25 09:31:12 PM,21.473,0.0,,,,,
94,06/30/25 09:36:12 PM,21.473,0.0,,,,,
95,06/30/25 09:41:12 PM,21.473,0.0,,,,,
96,06/30/25 09:46:12 PM,21.473,0.0,,,,,
97,06/30/25 09:51:12 PM,21.473,0.0,,,,,
98,06/30/25 09:56:12 PM,21.473,0.0,,,,,
99,06/30/25 10:01:12 PM,21.473,0.0,,,,,
100,06/30/25 10:06:12 PM,21.473,0.0,,,,,
101,06/30/25 10:11:12 PM,21.473,0.0,,,,,
