Plug #,Notes,Tank Assignment,PAM Info
1037,Sept 2024 Big,Tank 2,
1039,Colony G (2023?),Tank 2,
1041,Colony G1,Tank 6,experiment
1054,Sept 2024 Big,Tank 6,
1056,Colony G (2023?),Tank 4,experiment
1057,Sept 2024 Big,Tank 1,
1074,Unknown 1 (2023/2024),Tank 2,
1086,Unknown 1 (2023/2024),Tank 5,experiment
1088,Colony G (2023?),Tank 5,
1105,Big 2023,Tank 2,
1108,Colony G (2023?),Tank 1,recovery and experiment
1111,Unknown 1 (2023/2024),Tank 1,
1113,Sept 2024 Big,Tank 3,experiment
1145,Colony C (2023),Tank 3,recovery only
1154,Colony G (2023?),Tank 3,
1167,Colony G (2023?),Tank 5,
1170,Sept 2024 Big,Tank 4,
1171,Sept 2024 Big,Tank 5,
1182,Sept 2024 Big,Tank 4,
1188,Colony D12,Tank 6,
1205,Sept 2024 Big,Tank 1,
1211,Colony C (2023),Tank 2,recovery and experiment
1214,Colony D12,Tank 6,
1226,Sept 2024 Big,Tank 3,
1238,Unknown 1 (2023/2024),Tank 6,
1248,Sept 2024 Big,Tank 2,experiment
1250,Big 2023,Tank 1,experiment
1252,Colony D11,Tank 1,experiment
1255,Colony G1,Tank 6,
1272,Sept 2024 Big,Tank 5,
1276,Sept 2024 Big,Tank 2,
1280,Big 2023,Tank 6,
1285,Big 2023,Tank 3,
1291,Colony G (2023?),Tank 6,
1304,Colony D11,Tank 2,
1312,Unknown 1 (2023/2024),Tank 2,
1314,Colony C (2023),Tank 5,
1324,Big 2023,Tank 2,
1330,Sept 2024 Big,Tank 4,
1339,Colony C New,Tank 3,recovery and experiment
1342,Colony G (2023?),Tank 4,
1409,Sept 2024 Big,Tank 5,
1416,Colony D12,Tank 5,
1431,Sept 2024 Big,Tank 6,
1437,Unknown 1 (2023/2024),Tank 1,
1441,Big 2023,Tank 5,experiment
1452,Colony G (2023?),Tank 3,
1458,Sept 2024 Big,Tank 3,experiment
1461,Big 2023,Tank 4,experiment
1467,Sept 2024 Big,Tank 6,
1472,Colony C New,Tank 6,experiment
1483,Big 2023,Tank 4,
1488,Sept 2024 Big,Tank 3,
1491,Colony C (2023),Tank 6,
1493,Big 2023,Tank 5,
1494,Colony G (2023?),Tank 2,experiment
1499,Sept 2024 Big,Tank 5,
1536,Sept 2024 Big,Tank 3,
1541,Colony D12,Tank 4,
1549,Colony C New,Tank 5,recovery and experiment
1560,Sept 2024 Big,Tank 5,experiment
1561,Colony G (2023?),Tank 4,
1563,Unknown 1 (2023/2024),Tank 6,experiment
1572,Big 2023,Tank 6,
1573,Colony G (2023?),Tank 4,
1576,Big 2023,Tank 4,
1578,Colony C New,Tank 4,
1582,Big 2023,Tank 1,
1589,Sept 2024 Big,Tank 1,
1596,Sept 2024 Big,Tank 5,
1597,Colony D11,Tank 3,experiment
1601,Big 2023,Tank 2,
1607,Colony C New,Tank 2,
1608,Sept 2024 Big,Tank 1,
1617,Sept 2024 Big,Tank 2,
1620,Sept 2024 Big,Tank 6,
1628,Unknown 1 (2023/2024),Tank 5,
1631,Sept 2024 Big,Tank 6,experiment
1636,Colony C (2023),Tank 5,
1646,Colony G1,Tank 4,
1650,Big 2023,Tank 3,
1652,Unknown 1 (2023/2024),Tank 3,
1687,Big 2023,Tank 1,
1692,Sept 2024 Big,Tank 1,
1706,Sept 2024 Big,Tank 4,
1708,Sept 2024 Big,Tank 4,
1712,Sept 2024 Big,Tank 4,
1716,Sept 2024 Big,Tank 2,
1723,Unknown 1 (2023/2024),Tank 4,
1724,Colony C (2023),Tank 6,
1728,Colony D12,Tank 1,
1731,Sept 2024 Big,Tank 6,
1739,Sept 2024 Big,Tank 1,experiment
1741,Sept 2024 Big,Tank 4,
1743,Colony G (2023?),Tank 2,
1767,Colony C New,Tank 1,
1770,Colony C (2023),Tank 3,
1774,Big 2023,Tank 4,
1778,Big 2023,Tank 6,
1825,Unknown 1 (2023/2024),Tank 4,
1826,Sept 2024 Big,Tank 5,
2002,Big 2023,Tank 3,
2007,Sept 2024 Big,Tank 4,
2013,Sept 2024 Big,Tank 1,
2017,Sept 2024 Big,Tank 3,
2018,Sept 2024 Big,Tank 5,
2020,Colony G (2023?),Tank 1,
2063,Sept 2024 Big,Tank 3,
2068,Big 2023,Tank 3,
2071,Big 2023,Tank 6,
2082,Colony G1,Tank 5,
2084,Sept 2024 Big,Tank 2,experiment
2086,Colony G (2023?),Tank 3,
2168,Colony G (2023?),Tank 6,
2182,Big 2023,Tank 2,
2202,Colony C New,Tank 4,
2297,Sept 2024 Big,Tank 2,
2360,Sept 2024 Big,Tank 4,experiment
2364,Sept 2024 Big,Tank 2,
2389,Big 2023,Tank 5,
2419,Sept 2024 Big,Tank 6,
2512,Sept 2024 Big,Tank 3,
2515,Colony C New,Tank 5,
2518,Unknown 1 (2023/2024),Tank 6,
2520,Sept 2024 Big,Tank 3,
2522,Colony D12,Tank 3,
2523,Unknown 1 (2023/2024),Tank 1,
2526,Big 2023,Tank 1,
2529,Sept 2024 Big,Tank 2,
2566,Sept 2024 Big,Tank 1,
2667,Colony C (2023),Tank 1,
2728,Unknown 1 (2023/2024),Tank 3,
2732,Sept 2024 Big,Tank 1,
2736,Sept 2024 Big,Tank 6,
2743,Big 2023,Tank 1,
2746,Sept 2024 Big,Tank 5,
2852,Colony C (2023),Tank 4,recovery and experiment
2853,Big 2023,Tank 3,
2860,Big 2023,Tank 5,
2862,Colony G (2023?),Tank 2,
2865,Colony G (2023?),Tank 5,
2876,Colony D12,Tank 2,
2979,Colony G (2023?),Tank 1,
2980,Colony C (2023),Tank 2,
