task,species,t_hours,treatment,day,time,type,Tank,fragment_name,preservative,Plug #,Sampled?,Notes
sampling,MON,0,heat,"Wed, Jul 2",9:00 AM,phys,Tank_3,MON_P0_H2,LN2,2728,Yes,Time: 9:21
sampling,MON,0,heat,"Wed, Jul 2",9:00 AM,bulk_rna,Tank_3,MON_R0_H2,DNA/RNA shield,2017,Yes,
sampling,MON,0,heat,"Wed, Jul 2",9:00 AM,LCM,Tank_3,MON_R0_H2,PAXgene,2017,Yes,
sampling,MON,0,heat,"Wed, Jul 2",9:00 AM,spatial,Tank_3,MON_S0_H2,Formalin,2522,Yes,
sampling,MON,0,heat,"Wed, Jul 2",9:00 AM,phys,Tank_5,MON_P0_H3,LN2,2746,Yes,
sampling,MON,0,heat,"Wed, Jul 2",9:00 AM,bulk_rna,Tank_5,MON_R0_H3,DNA/RNA shield,1493,Yes,
sampling,MON,0,heat,"Wed, Jul 2",9:00 AM,LCM,Tank_5,MON_R0_H3,PAXgene,1493,Yes,
sampling,MON,0,heat,"Wed, Jul 2",9:00 AM,spatial,Tank_5,MON_S0_H3,Formalin,1171,Yes,
sampling,MON,0,heat,"Wed, Jul 2",9:00 AM,phys,Tank_2,MON_P0_H1,LN2,2364,Yes,
sampling,MON,0,heat,"Wed, Jul 2",9:00 AM,bulk_rna,Tank_2,MON_R0_H1,DNA/RNA shield,1743,Yes,
sampling,MON,0,heat,"Wed, Jul 2",9:00 AM,LCM,Tank_2,MON_R0_H1,PAXgene,1743,Yes,
sampling,MON,0,heat,"Wed, Jul 2",9:00 AM,spatial,Tank_2,MON_S0_H1,Formalin,1304,Yes,
sampling,MON,0,control,"Wed, Jul 2",9:00 AM,phys,Tank_6,MON_P0_C3,LN2,1054,Yes,Time: 9:32
sampling,MON,0,control,"Wed, Jul 2",9:00 AM,bulk_rna,Tank_6,MON_R0_C3,DNA/RNA shield,1291,Yes,
sampling,MON,0,control,"Wed, Jul 2",9:00 AM,LCM,Tank_6,MON_R0_C3,PAXgene,1291,Yes,
sampling,MON,0,control,"Wed, Jul 2",9:00 AM,spatial,Tank_6,MON_S0_C3,Formalin,1778,Yes,
sampling,MON,0,control,"Wed, Jul 2",9:00 AM,phys,Tank_1,MON_P0_C1,LN2,1111,Yes,
sampling,MON,0,control,"Wed, Jul 2",9:00 AM,bulk_rna,Tank_1,MON_R0_C1,DNA/RNA shield,2732,Yes,
sampling,MON,0,control,"Wed, Jul 2",9:00 AM,LCM,Tank_1,MON_R0_C1,PAXgene,2732,Yes,
sampling,MON,0,control,"Wed, Jul 2",9:00 AM,spatial,Tank_1,MON_S0_C1,Formalin,1205,Yes,
sampling,MON,0,control,"Wed, Jul 2",9:00 AM,phys,Tank_4,MON_P0_C2,LN2,1170,Yes,
sampling,MON,0,control,"Wed, Jul 2",9:00 AM,bulk_rna,Tank_4,MON_R0_C2,DNA/RNA shield,1708,Yes,
sampling,MON,0,control,"Wed, Jul 2",9:00 AM,LCM,Tank_4,MON_R0_C2,PAXgene,1708,Yes,
sampling,MON,0,control,"Wed, Jul 2",9:00 AM,spatial,Tank_4,MON_S0_C2,Formalin,1330,Yes,Time: 9:40
sampling,MON,1,control,"Wed, Jul 2",10:00 AM,phys,Tank_6,MON_P1_C3,LN2,1491,Yes,Time: 10:37
sampling,MON,1,control,"Wed, Jul 2",10:00 AM,bulk_rna,Tank_6,MON_R1_C3,DNA/RNA shield,2419,Yes,
sampling,MON,1,control,"Wed, Jul 2",10:00 AM,LCM,Tank_6,MON_R1_C3,PAXgene,2419,Yes,
sampling,MON,1,control,"Wed, Jul 2",10:00 AM,spatial,Tank_6,MON_S1_C3,Formalin,1255,Yes,
sampling,MON,1,heat,"Wed, Jul 2",10:00 AM,phys,Tank_5,MON_P1_H3,LN2,2389,Yes,
sampling,MON,1,heat,"Wed, Jul 2",10:00 AM,bulk_rna,Tank_5,MON_R1_H3,DNA/RNA shield,2515,Yes,
sampling,MON,1,heat,"Wed, Jul 2",10:00 AM,LCM,Tank_5,MON_R1_H3,PAXgene,2515,Yes,
sampling,MON,1,heat,"Wed, Jul 2",10:00 AM,spatial,Tank_5,MON_S1_H3,Formalin,1167,Yes,
sampling,MON,1,control,"Wed, Jul 2",10:00 AM,phys,Tank_1,MON_P1_C1,LN2,1437,Yes,
sampling,MON,1,control,"Wed, Jul 2",10:00 AM,bulk_rna,Tank_1,MON_R1_C1,DNA/RNA shield,1608,Yes,
sampling,MON,1,control,"Wed, Jul 2",10:00 AM,LCM,Tank_1,MON_R1_C1,PAXgene,1608,Yes,
sampling,MON,1,control,"Wed, Jul 2",10:00 AM,spatial,Tank_1,MON_S1_C1,Formalin,2020,Yes,
sampling,MON,1,heat,"Wed, Jul 2",10:00 AM,phys,Tank_3,MON_P1_H2,LN2,1285,Yes,Time: 10:45
sampling,MON,1,heat,"Wed, Jul 2",10:00 AM,bulk_rna,Tank_3,MON_R1_H2,DNA/RNA shield,1452,Yes,
sampling,MON,1,heat,"Wed, Jul 2",10:00 AM,LCM,Tank_3,MON_R1_H2,PAXgene,1452,Yes,
sampling,MON,1,heat,"Wed, Jul 2",10:00 AM,spatial,Tank_3,MON_S1_H2,Formalin,1145,Yes,
sampling,MON,1,control,"Wed, Jul 2",10:00 AM,phys,Tank_4,MON_P1_C2,LN2,1712,Yes,
sampling,MON,1,control,"Wed, Jul 2",10:00 AM,bulk_rna,Tank_4,MON_R1_C2,DNA/RNA shield,2007,Yes,
sampling,MON,1,control,"Wed, Jul 2",10:00 AM,LCM,Tank_4,MON_R1_C2,PAXgene,2007,Yes,
sampling,MON,1,control,"Wed, Jul 2",10:00 AM,spatial,Tank_4,MON_S1_C2,Formalin,1825,Yes,
sampling,MON,1,heat,"Wed, Jul 2",10:00 AM,phys,Tank_2,MON_P1_H1,LN2,1276,Yes,
sampling,MON,1,heat,"Wed, Jul 2",10:00 AM,bulk_rna,Tank_2,MON_R1_H1,DNA/RNA shield,1074,Yes,
sampling,MON,1,heat,"Wed, Jul 2",10:00 AM,LCM,Tank_2,MON_R1_H1,PAXgene,1074,Yes,
sampling,MON,1,heat,"Wed, Jul 2",10:00 AM,spatial,Tank_2,MON_S1_H1,Formalin,2862,Yes,Time: 10:53
sampling,MON,3,heat,"Wed, Jul 2",12:00 PM,phys,Tank_2,MON_P3_H1,LN2,2980,Yes,Time: 12:36
sampling,MON,3,heat,"Wed, Jul 2",12:00 PM,bulk_rna,Tank_2,MON_R3_H1,DNA/RNA shield,1617,Yes,
sampling,MON,3,heat,"Wed, Jul 2",12:00 PM,LCM,Tank_2,MON_R3_H1,PAXgene,1617,Yes,
sampling,MON,3,heat,"Wed, Jul 2",12:00 PM,spatial,Tank_2,MON_S3_H1,Formalin,1037,Yes,
sampling,MON,3,control,"Wed, Jul 2",12:00 PM,phys,Tank_4,MON_P3_C2,LN2,1723,Yes,
sampling,MON,3,control,"Wed, Jul 2",12:00 PM,bulk_rna,Tank_4,MON_R3_C2,DNA/RNA shield,1741,Yes,
sampling,MON,3,control,"Wed, Jul 2",12:00 PM,LCM,Tank_4,MON_R3_C2,PAXgene,1741,Yes,
sampling,MON,3,control,"Wed, Jul 2",12:00 PM,spatial,Tank_4,MON_S3_C2,Formalin,1576,Yes,
sampling,MON,3,heat,"Wed, Jul 2",12:00 PM,phys,Tank_5,MON_P3_H3,LN2,1628,Yes,
sampling,MON,3,heat,"Wed, Jul 2",12:00 PM,bulk_rna,Tank_5,MON_R3_H3,DNA/RNA shield,1416,Yes,
