"","Date","Treatment","Tank_ID","Time","Initials","Temperature_C","Salinity_psu","pH.total","pH_mv","tris.date","Probe.Set","notes","DateTime","(Intercept)","TTris","mVTris"
"1",2025-07-02,"Control","1","09:16","PP",24.9,34.81,8.1200859660589,-61.8,"20250618","Probe1","",2025-07-02 09:16:00,-87.4740635476373,1.08763928276064,-60.3918454068974
"2",2025-07-02,"Heat","2","09:16","PP",25.15,34.87,8.13725631568031,-63,"20250618","Probe1","",2025-07-02 09:16:00,-87.4740635476373,1.08763928276064,-60.1199355862072
"3",2025-07-02,"Heat","3","09:16","PP",25.08,34.85,8.14657283786815,-63.5,"20250618","Probe1","",2025-07-02 09:16:00,-87.4740635476373,1.08763928276064,-60.1960703360005
"4",2025-07-02,"Control","4","09:16","PP",24.89,34.86,8.16428457122964,-64.4,"20250618","Probe1","",2025-07-02 09:16:00,-87.4740635476373,1.08763928276064,-60.402721799725
"5",2025-07-02,"Heat","5","09:16","PP",25.02,34.83,8.15238253384878,-63.8,"20250618","Probe1","",2025-07-02 09:16:00,-87.4740635476373,1.08763928276064,-60.2613286929661
"6",2025-07-02,"Control","6","09:16","PP",25.13,34.9,8.1646119453069,-64.6,"20250618","Probe1","",2025-07-02 09:16:00,-87.4740635476373,1.08763928276064,-60.1416883718625
"7",2025-07-02,"Control","1","11:22","ZD;JH",24.95,34.9,8.15174960174569,-63.7,"20250618","Probe1","",2025-07-02 11:22:00,-87.4740635476373,1.08763928276064,-60.3374634427594
"8",2025-07-02,"Heat","2","11:22","ZD;JH",32.21,35,8.02338647959509,-61.6,"20250618","Probe1","",2025-07-02 11:22:00,-87.4740635476373,1.08763928276064,-52.4412022499171
"9",2025-07-02,"Heat","3","11:22","ZD;JH",32.11,34.99,8.02629493148186,-61.7,"20250618","Probe1","",2025-07-02 11:22:00,-87.4740635476373,1.08763928276064,-52.5499661781932
"10",2025-07-02,"Control","4","11:22","ZD;JH",25.18,35,8.16923415703229,-64.9,"20250618","Probe1","",2025-07-02 11:22:00,-87.4740635476373,1.08763928276064,-60.0873064077244
"11",2025-07-02,"Heat","5","11:22","ZD;JH",31.92,34.94,8.02697886634206,-61.6,"20250618","Probe1","",2025-07-02 11:22:00,-87.4740635476373,1.08763928276064,-52.7566176419177
"12",2025-07-02,"Control","6","11:22","ZD;JH",25,34.93,8.17313537188572,-65,"20250618","Probe1","",2025-07-02 11:22:00,-87.4740635476373,1.08763928276064,-60.2830814786213
"13",2025-07-02,"Control","1","14:21","ZD;JA",25.11,35,8.104251354247,-61,"20250618","Probe1","",2025-07-02 14:21:00,-87.4740635476373,1.08763928276064,-60.1634411575177
