"","DateTimeEST","TempC","IntensityLux","Tank","Treatment"
"1",2025-07-02 08:00:24,25.416,0,"Tank1","Control"
"2",2025-07-02 08:05:24,25.319,0,"Tank1","Control"
"3",2025-07-02 08:10:24,25.319,0,"Tank1","Control"
"4",2025-07-02 08:15:24,25.319,0,"Tank1","Control"
"5",2025-07-02 08:20:24,25.319,0,"Tank1","Control"
"6",2025-07-02 08:25:24,25.222,10.8,"Tank1","Control"
"7",2025-07-02 08:30:24,25.222,64.6,"Tank1","Control"
"8",2025-07-02 08:35:24,25.222,32.3,"Tank1","Control"
"9",2025-07-02 08:40:24,25.416,32.3,"Tank1","Control"
"10",2025-07-02 08:45:24,25.319,64.6,"Tank1","Control"
"11",2025-07-02 08:50:24,25.319,86.1,"Tank1","Control"
"12",2025-07-02 08:55:24,25.319,96.9,"Tank1","Control"
"13",2025-07-02 09:00:24,25.319,96.9,"Tank1","Control"
"14",2025-07-02 09:05:24,25.222,129.2,"Tank1","Control"
"15",2025-07-02 09:10:24,25.222,204.5,"Tank1","Control"
"16",2025-07-02 09:15:24,25.222,183,"Tank1","Control"
"17",2025-07-02 09:20:24,25.319,226,"Tank1","Control"
"18",2025-07-02 09:25:24,25.416,183,"Tank1","Control"
"19",2025-07-02 09:30:24,25.416,247.6,"Tank1","Control"
"20",2025-07-02 09:35:24,25.319,193.8,"Tank1","Control"
"21",2025-07-02 09:40:24,25.319,204.5,"Tank1","Control"
"22",2025-07-02 09:45:24,25.319,269.1,"Tank1","Control"
"23",2025-07-02 09:50:24,25.319,301.4,"Tank1","Control"
"24",2025-07-02 09:55:24,25.222,290.6,"Tank1","Control"
"25",2025-07-02 10:00:24,25.222,376.7,"Tank1","Control"
"26",2025-07-02 10:05:24,25.222,312.2,"Tank1","Control"
"27",2025-07-02 10:10:24,25.319,366,"Tank1","Control"
"28",2025-07-02 10:15:24,25.319,290.6,"Tank1","Control"
"29",2025-07-02 10:20:24,25.222,376.7,"Tank1","Control"
"30",2025-07-02 10:25:24,25.222,387.5,"Tank1","Control"
"31",2025-07-02 10:30:24,25.222,355.2,"Tank1","Control"
"32",2025-07-02 10:35:24,25.319,398.3,"Tank1","Control"
"33",2025-07-02 10:40:24,25.319,355.2,"Tank1","Control"
"34",2025-07-02 10:45:24,25.222,366,"Tank1","Control"
"35",2025-07-02 10:50:24,25.222,462.9,"Tank1","Control"
"36",2025-07-02 10:55:24,25.222,516.7,"Tank1","Control"
"37",2025-07-02 11:00:24,25.222,21.5,"Tank1","Control"
"38",2025-07-02 11:05:24,25.319,0,"Tank1","Control"
"39",2025-07-02 11:10:24,25.319,0,"Tank1","Control"
"40",2025-07-02 11:15:24,25.319,0,"Tank1","Control"
"41",2025-07-02 11:20:24,25.319,0,"Tank1","Control"
"42",2025-07-02 11:25:24,25.319,0,"Tank1","Control"
"43",2025-07-02 11:30:24,25.222,0,"Tank1","Control"
"44",2025-07-02 11:35:24,25.222,0,"Tank1","Control"
"45",2025-07-02 11:40:24,25.222,0,"Tank1","Control"
"46",2025-07-02 11:45:24,25.319,0,"Tank1","Control"
"47",2025-07-02 11:50:24,25.416,0,"Tank1","Control"
"48",2025-07-02 11:55:24,25.319,0,"Tank1","Control"
"49",2025-07-02 12:00:24,25.319,624.3,"Tank1","Control"
"50",2025-07-02 12:05:24,25.319,0,"Tank1","Control"
"51",2025-07-02 12:10:24,25.222,0,"Tank1","Control"
"52",2025-07-02 12:15:24,25.222,0,"Tank1","Control"
"53",2025-07-02 12:20:24,25.222,635.1,"Tank1","Control"
"54",2025-07-02 12:25:24,25.222,699.7,"Tank1","Control"
"55",2025-07-02 12:30:24,25.416,656.6,"Tank1","Control"
"56",2025-07-02 12:35:24,25.416,688.9,"Tank1","Control"
"57",2025-07-02 12:40:24,25.416,667.4,"Tank1","Control"
"58",2025-07-02 12:45:24,25.416,688.9,"Tank1","Control"
"59",2025-07-02 12:50:24,25.416,678.1,"Tank1","Control"
"60",2025-07-02 12:55:24,25.319,667.4,"Tank1","Control"
"61",2025-07-02 13:00:24,25.319,645.8,"Tank1","Control"
"62",2025-07-02 13:05:24,25.319,0,"Tank1","Control"
"63",2025-07-02 13:10:24,25.222,0,"Tank1","Control"
"64",2025-07-02 13:15:24,25.222,0,"Tank1","Control"
"65",2025-07-02 13:20:24,25.222,0,"Tank1","Control"
"66",2025-07-02 13:25:24,25.222,0,"Tank1","Control"
"67",2025-07-02 13:30:24,25.319,0,"Tank1","Control"
"68",2025-07-02 13:35:24,25.319,0,"Tank1","Control"
"69",2025-07-02 13:40:24,25.319,0,"Tank1","Control"
"70",2025-07-02 13:45:24,25.319,0,"Tank1","Control"
"71",2025-07-02 13:50:24,25.319,710.4,"Tank1","Control"
"72",2025-07-02 13:55:24,25.319,710.4,"Tank1","Control"
"73",2025-07-02 14:00:24,25.222,667.4,"Tank1","Control"
"74",2025-07-02 14:05:24,25.222,678.1,"Tank1","Control"
"75",2025-07-02 14:10:24,25.416,678.1,"Tank1","Control"
"76",2025-07-02 14:15:24,25.416,645.8,"Tank1","Control"
"77",2025-07-02 14:20:24,25.416,699.7,"Tank1","Control"
"78",2025-07-02 14:25:24,25.416,688.9,"Tank1","Control"
"79",2025-07-02 14:30:24,25.319,667.4,"Tank1","Control"
"80",2025-07-02 14:35:24,25.319,656.6,"Tank1","Control"
"81",2025-07-02 14:40:24,25.319,699.7,"Tank1","Control"
"82",2025-07-02 14:45:24,25.319,688.9,"Tank1","Control"
"83",2025-07-02 14:50:24,25.222,667.4,"Tank1","Control"
"84",2025-07-02 14:55:24,25.222,678.1,"Tank1","Control"
"85",2025-07-02 15:00:24,25.222,667.4,"Tank1","Control"
"86",2025-07-02 15:05:24,25.416,678.1,"Tank1","Control"
"87",2025-07-02 15:10:24,25.416,688.9,"Tank1","Control"
"88",2025-07-02 15:15:24,25.416,667.4,"Tank1","Control"
"89",2025-07-02 15:20:24,25.416,667.4,"Tank1","Control"
"90",2025-07-02 15:25:24,25.319,667.4,"Tank1","Control"
"91",2025-07-02 15:30:24,25.319,645.8,"Tank1","Control"
"92",2025-07-02 15:35:24,25.319,710.4,"Tank1","Control"
"93",2025-07-02 15:40:24,25.319,699.7,"Tank1","Control"
"94",2025-07-02 15:45:24,25.222,699.7,"Tank1","Control"
"95",2025-07-02 15:50:24,25.222,667.4,"Tank1","Control"
"96",2025-07-02 15:55:24,25.319,667.4,"Tank1","Control"
"97",2025-07-02 16:00:24,25.319,688.9,"Tank1","Control"
"98",2025-07-02 16:05:24,25.319,688.9,"Tank1","Control"
"99",2025-07-02 16:10:24,25.319,667.4,"Tank1","Control"
"100",2025-07-02 16:15:24,25.319,635.1,"Tank1","Control"
"101",2025-07-02 16:20:24,25.222,602.8,"Tank1","Control"
"102",2025-07-02 16:25:24,25.222,602.8,"Tank1","Control"
"103",2025-07-02 16:30:24,25.416,559.7,"Tank1","Control"
"104",2025-07-02 16:35:24,25.416,559.7,"Tank1","Control"
"105",2025-07-02 16:40:24,25.319,559.7,"Tank1","Control"
"106",2025-07-02 16:45:24,25.319,527.4,"Tank1","Control"
"107",2025-07-02 16:50:24,25.319,505.9,"Tank1","Control"
"108",2025-07-02 16:55:24,25.222,495.1,"Tank1","Control"
"109",2025-07-02 17:00:24,25.222,484.4,"Tank1","Control"
"110",2025-07-02 17:05:24,25.416,495.1,"Tank1","Control"
"111",2025-07-02 17:10:24,25.416,441.3,"Tank1","Control"
"112",2025-07-02 17:15:24,25.416,419.8,"Tank1","Control"
"113",2025-07-02 17:20:24,25.319,430.6,"Tank1","Control"
"114",2025-07-02 17:25:24,25.319,430.6,"Tank1","Control"
"115",2025-07-02 17:30:24,25.319,398.3,"Tank1","Control"
"116",2025-07-02 17:35:24,25.222,430.6,"Tank1","Control"
"117",2025-07-02 17:40:24,25.222,387.5,"Tank1","Control"
"118",2025-07-02 17:45:24,25.222,312.2,"Tank1","Control"
"119",2025-07-02 17:50:24,25.319,366,"Tank1","Control"
"120",2025-07-02 17:55:24,25.416,279.9,"Tank1","Control"
"121",2025-07-02 18:00:24,25.416,258.3,"Tank1","Control"
"122",2025-07-02 18:05:24,25.319,290.6,"Tank1","Control"
"123",2025-07-02 18:10:24,25.319,322.9,"Tank1","Control"
"124",2025-07-02 18:15:24,25.319,269.1,"Tank1","Control"
"125",2025-07-02 18:20:24,25.319,258.3,"Tank1","Control"
"126",2025-07-02 18:25:24,25.222,193.8,"Tank1","Control"
"127",2025-07-02 18:30:24,25.222,226,"Tank1","Control"
"128",2025-07-02 18:35:24,25.222,161.5,"Tank1","Control"
"129",2025-07-02 18:40:24,25.222,172.2,"Tank1","Control"
"130",2025-07-02 18:45:24,25.319,172.2,"Tank1","Control"
"131",2025-07-02 18:50:24,25.222,172.2,"Tank1","Control"
"132",2025-07-02 18:55:24,25.222,183,"Tank1","Control"
"133",2025-07-02 19:00:24,25.222,75.3,"Tank1","Control"
"134",2025-07-02 19:05:24,25.319,150.7,"Tank1","Control"
"135",2025-07-02 19:10:24,25.319,64.6,"Tank1","Control"
"136",2025-07-02 19:15:24,25.319,107.6,"Tank1","Control"
"137",2025-07-02 19:20:24,25.319,107.6,"Tank1","Control"
"138",2025-07-02 19:25:24,25.319,96.9,"Tank1","Control"
"139",2025-07-02 19:30:24,25.222,21.5,"Tank1","Control"
"140",2025-07-02 19:35:24,25.222,21.5,"Tank1","Control"
"141",2025-07-02 19:40:24,25.222,10.8,"Tank1","Control"
"142",2025-07-02 19:45:24,25.222,32.3,"Tank1","Control"
"143",2025-07-02 19:50:24,25.319,0,"Tank1","Control"
"144",2025-07-02 19:55:24,25.416,0,"Tank1","Control"
"145",2025-07-02 20:00:24,25.319,0,"Tank1","Control"
"146",2025-07-02 20:05:24,25.319,0,"Tank1","Control"
"147",2025-07-02 20:10:24,25.319,0,"Tank1","Control"
"148",2025-07-02 20:15:24,25.319,0,"Tank1","Control"
"149",2025-07-02 20:20:24,25.222,0,"Tank1","Control"
"150",2025-07-02 20:25:24,25.222,0,"Tank1","Control"
"151",2025-07-02 20:30:24,25.222,0,"Tank1","Control"
"152",2025-07-02 20:35:24,25.222,0,"Tank1","Control"
"153",2025-07-02 20:40:24,25.319,0,"Tank1","Control"
"154",2025-07-02 20:45:24,25.416,0,"Tank1","Control"
"155",2025-07-02 20:50:24,25.319,0,"Tank1","Control"
"156",2025-07-02 20:55:24,25.319,0,"Tank1","Control"
"157",2025-07-02 21:00:24,25.319,0,"Tank1","Control"
"158",2025-07-02 21:05:24,25.319,0,"Tank1","Control"
"159",2025-07-02 21:10:24,25.319,0,"Tank1","Control"
"160",2025-07-02 21:15:24,25.319,0,"Tank1","Control"
"161",2025-07-02 21:20:24,25.222,0,"Tank1","Control"
"162",2025-07-02 21:25:24,25.222,0,"Tank1","Control"
"163",2025-07-02 21:30:24,25.222,0,"Tank1","Control"
"164",2025-07-02 21:35:24,25.222,0,"Tank1","Control"
"165",2025-07-02 21:40:24,25.319,0,"Tank1","Control"
"166",2025-07-02 21:45:24,25.416,0,"Tank1","Control"
"167",2025-07-02 21:50:24,25.416,0,"Tank1","Control"
"168",2025-07-02 21:55:24,25.319,0,"Tank1","Control"
"169",2025-07-02 22:00:24,25.319,0,"Tank1","Control"
"170",2025-07-02 22:05:24,25.319,0,"Tank1","Control"
"171",2025-07-02 22:10:24,25.319,0,"Tank1","Control"
"172",2025-07-02 22:15:24,25.222,0,"Tank1","Control"
"173",2025-07-02 22:20:24,25.222,0,"Tank1","Control"
"174",2025-07-02 22:25:24,25.222,0,"Tank1","Control"
"175",2025-07-02 22:30:24,25.125,0,"Tank1","Control"
"176",2025-07-02 22:35:24,25.125,0,"Tank1","Control"
"177",2025-07-02 22:40:24,25.125,0,"Tank1","Control"
"178",2025-07-02 22:45:24,25.222,0,"Tank1","Control"
"179",2025-07-02 22:50:24,25.319,0,"Tank1","Control"
"180",2025-07-02 22:55:24,25.319,0,"Tank1","Control"
"181",2025-07-02 23:00:24,25.319,0,"Tank1","Control"
"182",2025-07-02 23:05:24,25.222,0,"Tank1","Control"
"183",2025-07-02 23:10:24,25.222,0,"Tank1","Control"
"184",2025-07-02 23:15:24,25.222,0,"Tank1","Control"
"185",2025-07-02 23:20:24,25.125,0,"Tank1","Control"
"186",2025-07-02 23:25:24,25.125,0,"Tank1","Control"
"187",2025-07-02 23:30:24,25.125,0,"Tank1","Control"
"188",2025-07-02 23:35:24,25.319,0,"Tank1","Control"
"189",2025-07-02 23:40:24,25.319,0,"Tank1","Control"
"190",2025-07-02 23:45:24,25.319,0,"Tank1","Control"
"191",2025-07-02 23:50:24,25.319,0,"Tank1","Control"
"192",2025-07-02 23:55:24,25.222,0,"Tank1","Control"
"193",2025-07-03 00:00:24,25.222,0,"Tank1","Control"
"194",2025-07-03 00:05:24,25.222,0,"Tank1","Control"
"195",2025-07-03 00:10:24,25.125,0,"Tank1","Control"
"196",2025-07-03 00:15:24,25.125,0,"Tank1","Control"
"197",2025-07-03 00:20:24,25.125,0,"Tank1","Control"
"198",2025-07-03 00:25:24,25.222,0,"Tank1","Control"
"199",2025-07-03 00:30:24,25.319,0,"Tank1","Control"
"200",2025-07-03 00:35:24,25.319,0,"Tank1","Control"
"201",2025-07-03 00:40:24,25.319,0,"Tank1","Control"
"202",2025-07-03 00:45:24,25.319,0,"Tank1","Control"
"203",2025-07-03 00:50:24,25.222,0,"Tank1","Control"
"204",2025-07-03 00:55:24,25.222,0,"Tank1","Control"
"205",2025-07-03 01:00:24,25.222,0,"Tank1","Control"
"206",2025-07-03 01:05:24,25.125,0,"Tank1","Control"
"207",2025-07-03 01:10:24,25.125,0,"Tank1","Control"
"208",2025-07-03 01:15:24,25.125,0,"Tank1","Control"
"209",2025-07-03 01:20:24,25.319,0,"Tank1","Control"
"210",2025-07-03 01:25:24,25.319,0,"Tank1","Control"
"211",2025-07-03 01:30:24,25.319,0,"Tank1","Control"
"212",2025-07-03 01:35:24,25.319,0,"Tank1","Control"
"213",2025-07-03 01:40:24,25.222,0,"Tank1","Control"
"214",2025-07-03 01:45:24,25.222,0,"Tank1","Control"
"215",2025-07-03 01:50:24,25.222,0,"Tank1","Control"
"216",2025-07-03 01:55:24,25.222,0,"Tank1","Control"
"217",2025-07-03 02:00:24,25.125,0,"Tank1","Control"
"218",2025-07-03 02:05:24,25.125,0,"Tank1","Control"
"219",2025-07-03 02:10:24,25.125,0,"Tank1","Control"
"220",2025-07-03 02:15:24,25.319,0,"Tank1","Control"
"221",2025-07-03 02:20:24,25.319,0,"Tank1","Control"
"222",2025-07-03 02:25:24,25.319,0,"Tank1","Control"
"223",2025-07-03 02:30:24,25.222,0,"Tank1","Control"
"224",2025-07-03 02:35:24,25.222,0,"Tank1","Control"
"225",2025-07-03 02:40:24,25.222,0,"Tank1","Control"
"226",2025-07-03 02:45:24,25.222,0,"Tank1","Control"
"227",2025-07-03 02:50:24,25.125,0,"Tank1","Control"
"228",2025-07-03 02:55:24,25.125,0,"Tank1","Control"
"229",2025-07-03 03:00:24,25.125,0,"Tank1","Control"
"230",2025-07-03 03:05:24,25.319,0,"Tank1","Control"
"231",2025-07-03 03:10:24,25.319,0,"Tank1","Control"
"232",2025-07-03 03:15:24,25.319,0,"Tank1","Control"
"233",2025-07-03 03:20:24,25.222,0,"Tank1","Control"
"234",2025-07-03 03:25:24,25.222,0,"Tank1","Control"
"235",2025-07-03 03:30:24,25.222,0,"Tank1","Control"
