FileName_Orig,FileName,Date,Timepoint,Treatment,Tank_ID,Plug,Red.Standard,Green.Standard,Blue.Standard,Red.Coral,Green.Coral,Blue.Coral,Notes
IMG_4570,POC_P0_H3,20250709,0,heat,Tank_5,2405,187.74,124.37,154.68,86.37,61.25,19.19,
IMG_4571,POC_R0_H3,20250709,0,heat,Tank_5,1290,197.05,134.91,160.56,74.61,51.64,17.05,
IMG_4572,POC_S0_H3,20250709,0,heat,Tank_5,1455,186.11,124.62,155.45,86.3,61.39,19.08,
IMG_4573,POC_P0_H1,20250709,0,heat,Tank_2,1621,175.87,115.05,149.16,80.22,56.53,16.28,
IMG_4574,POC_R0_H1,20250709,0,heat,Tank_2,2060,217.32,149.59,171.3,107.58,75.83,24.22,
IMG_4575,POC_S0_H1,20250709,0,heat,Tank_2,2079,213.61,144.66,173.66,91.53,69.22,27.38,
IMG_4576,POC_P0_H2,20250709,0,heat,Tank_3,1066,207.23,145.34,181.32,120.69,87.57,28.92,
IMG_4577,POC_R0_H2,20250709,0,heat,Tank_3,1533,212.72,160.71,193.65,100.97,69.04,23.38,
IMG_4578,POC_S0_H2,20250709,0,heat,Tank_3,1219,215.4,156.36,188.84,114.17,82.54,28.57,
IMG_4579,POC_P0_C3,20250709,0,control,Tank_6,1771,221.5,158.25,178.38,101.74,71.5,26.36,
IMG_4580,POC_R0_C3,20250709,0,control,Tank_6,1439,198.39,157.5,190.51,130.68,92.81,19.86,
IMG_4581,POC_S0_C3,20250709,0,control,Tank_6,1337,208.66,146.25,182.43,108.17,73.34,22.25,
IMG_4582,POC_P0_C2,20250709,0,control,Tank_4,2404,217.09,143.7,190.27,95.61,67.8,24.53,
IMG_4583,POC_R0_C2,20250709,0,control,Tank_4,1315,203.94,158.7,192.34,101.86,72.73,23.09,
IMG_4584,POC_S0_C2,20250709,0,control,Tank_4,1065,208.74,147.03,187.65,121.75,86.37,25.08,
IMG_4585,POC_P0_C1,20250709,0,control,Tank_1,1495,228.6,168.72,192.6,92.01,65,20.55,
IMG_4586,POC_R0_C1,20250709,0,control,Tank_1,1537,191.41,122.01,158.38,102.31,68.24,16.52,
IMG_4587,POC_S0_C1,20250709,0,control,Tank_1,1254,219.09,137.2,178.14,111.8,77.17,22.92,
IMG_4589,POC_P1_H2,20250709,1,heat,Tank_3,1234,208.72,146.01,182.37,108.11,73.22,21.89,
IMG_4590,POC_R1_H2,20250709,1,heat,Tank_3,2737,226.67,179.77,208.63,125.29,86.37,30.28,
IMG_4591,POC_S1_H2,20250709,1,heat,Tank_3,2026,216.2,170.69,195.16,111.44,75.78,22.93,
IMG_4592,POC_P1_C2,20250709,1,control,Tank_4,1295,213.77,173.96,204.56,141.39,99.86,31.7,
IMG_4593,POC_R1_C2,20250709,1,control,Tank_4,1123,214.36,169.1,202.06,100.78,71.84,28.45,
IMG_4594,POC_S1_C2,20250709,1,control,Tank_4,2073,221.82,178.14,207.72,113.02,74.96,14.72,
IMG_4595,POC_P1_H3,20250709,1,heat,Tank_5,2984,207.81,171.64,205.07,93.35,64.94,18.86,
IMG_4596,POC_R1_H3,20250709,1,heat,Tank_5,1177,214.3,169.52,202.01,99.27,70.91,28.53,
IMG_4597,POC_S1_H3,20250709,1,heat,Tank_5,1554,192.51,142.49,181.86,75.61,50.82,11.61,
IMG_4598,POC_P1_C1,20250709,1,control,Tank_1,1749,216.65,171.5,131.34,100.44,68.41,20.19,
IMG_4599,POC_R1_C1,20250709,1,control,Tank_1,1118,208.11,164.72,193.39,80.86,55,15.42,
IMG_4600,POC_S1_C1,20250709,1,control,Tank_1,2742,190.29,140.65,184.46,85.45,58.92,17.7,
IMG_4601,POC_P1_H1,20250709,1,heat,Tank_2,2376,185.88,139.83,184.41,87.81,57.23,8.24,
IMG_4602,POC_R1_H1,20250709,1,heat,Tank_2,2372,189.85,141.65,184.68,68.78,45.76,11.73,
IMG_4603,POC_S1_H1;POC_R1_H1,20250709,1,heat,Tank_2,1616,183.58,135.41,181.9,64.15,43.76,9.69,
IMG_4604,POC_P1_C3,20250709,1,control,Tank_6,1429,226.64,183.31,209.88,131.08,94.5,41.07,ask ZD about selected coral area in this image
IMG_4605,POC_R1_C3,20250709,1,control,Tank_6,1562,226.04,186.32,214.48,121.77,81.35,24.47,
IMG_4606,POC_S1_C3,20250709,1,control,Tank_6,1559,188.73,143.52,187.58,77.85,51.99,13.9,
IMG_4608,POC_P3_C2,20250709,3,control,Tank_4,2201,191.3,144.32,190.95,68.36,45.57,12.34,
IMG_4609,POC_R3_C2,20250709,3,control,Tank_4,1752,214.44,177.24,211.87,104.81,71.41,28.37,
IMG_4610,POC_S3_C2,20250709,3,control,Tank_4,1547,183.95,143.16,191.94,75.31,48.01,11.53,
IMG_4611,POC_P3_H1,20250709,3,heat,Tank_2,1067,202.96,165.25,202.36,113.33,76.63,36.33,
IMG_4612,POC_R3_H1,20250709,3,heat,Tank_2,1727,208.23,171.59,208.86,96.67,66.2,26.61,
IMG_4613,POC_S3_H1,20250709,3,heat,Tank_2,1742,212.51,175.56,211.7,91.31,60.34,21.88,
IMG_4614,POC_P3_C1,20250709,3,control,Tank_1,1150,212.33,173.01,208.1,107.65,73.44,28.61,
IMG_4615,POC_R3_C1,20250709,3,control,Tank_1,2869,209.57,171.36,207.97,94.52,63.66,25.56,
IMG_4616,POC_S3_C1,20250709,3,control,Tank_1,1306,205.9,166.85,206.61,96.43,63.69,28.38,
IMG_4617,POC_P3_C3,20250709,3,control,Tank_6,1140,184.63,142.42,184.6,69.71,45.92,20.25,
IMG_4619,POC_R3_C3,20250709,3,control,Tank_6,2378,184.74,142.37,184.75,67.82,46.2,11.43,
IMG_4620,POC_S3_C3,20250709,3,control,Tank_6,2208,206.86,169.22,206.78,97.48,68.12,21.27,
IMG_4621,POC_P3_H2,20250709,3,heat,Tank_3,1486,182.98,138.56,187.66,76.97,49.68,12.85,
IMG_4622,POC_R3_H2,20250709,3,heat,Tank_3,1615,212.01,169.1,203.23,90.94,61.37,18.37,
IMG_4623,POC_S3_H2,20250709,3,heat,Tank_3,1698,215.05,172.05,207.03,96.69,69.36,28.34,
IMG_4624,POC_P3_H3,20250709,3,heat,Tank_5,1110,231.8,196.68,223.55,108.83,76.07,35.09,tell ZD about selection
IMG_4625,POC_R3_H3,20250709,3,heat,Tank_5,2985,198.9,156.52,197.84,86.91,58.82,14.4,
IMG_4626,POC_S3_H3,20250709,3,heat,Tank_5,1633,207.96,162.95,201.82,97.06,65.14,22.26,
