"Plot Title: 9893752"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 9893752, SEN S/N: 9893752)","Intensity, Lux (LGR S/N: 9893752, SEN S/N: 9893752)","Coupler Detached (LGR S/N: 9893752)","Coupler Attached (LGR S/N: 9893752)","Host Connected (LGR S/N: 9893752)","Stopped (LGR S/N: 9893752)","End Of File (LGR S/N: 9893752)"
1,07/08/25 02:18:27 PM,19.948,0.0,,,,,
2,07/08/25 02:18:33 PM,,,Logged,,,,
3,07/08/25 02:23:27 PM,19.948,0.0,,,,,
4,07/08/25 02:24:23 PM,,,,Logged,Logged,,
5,07/08/25 02:24:37 PM,,,Logged,,,,
6,07/08/25 02:28:27 PM,19.853,86.1,,,,,
7,07/08/25 02:33:27 PM,23.196,731.9,,,,,
8,07/08/25 02:38:27 PM,25.125,0.0,,,,,
9,07/08/25 02:43:27 PM,25.319,0.0,,,,,
10,07/08/25 02:48:27 PM,25.416,0.0,,,,,
11,07/08/25 02:53:27 PM,25.513,0.0,,,,,
12,07/08/25 02:58:27 PM,25.513,0.0,,,,,
13,07/08/25 03:03:27 PM,25.513,0.0,,,,,
14,07/08/25 03:08:27 PM,25.416,0.0,,,,,
15,07/08/25 03:13:27 PM,25.416,0.0,,,,,
16,07/08/25 03:18:27 PM,25.416,0.0,,,,,
17,07/08/25 03:23:27 PM,25.416,0.0,,,,,
18,07/08/25 03:28:27 PM,25.319,0.0,,,,,
19,07/08/25 03:33:27 PM,25.319,0.0,,,,,
20,07/08/25 03:38:27 PM,25.319,0.0,,,,,
21,07/08/25 03:43:27 PM,25.319,0.0,,,,,
22,07/08/25 03:48:27 PM,25.416,0.0,,,,,
23,07/08/25 03:53:27 PM,25.416,0.0,,,,,
24,07/08/25 03:58:27 PM,25.416,0.0,,,,,
25,07/08/25 04:03:27 PM,25.416,0.0,,,,,
26,07/08/25 04:08:27 PM,25.416,0.0,,,,,
27,07/08/25 04:13:27 PM,25.416,667.4,,,,,
28,07/08/25 04:18:27 PM,25.416,635.1,,,,,
29,07/08/25 04:23:27 PM,25.319,581.3,,,,,
30,07/08/25 04:28:27 PM,25.319,624.3,,,,,
31,07/08/25 04:33:27 PM,25.319,613.5,,,,,
32,07/08/25 04:38:27 PM,25.513,570.5,,,,,
33,07/08/25 04:43:27 PM,25.513,538.2,,,,,
34,07/08/25 04:48:27 PM,25.513,570.5,,,,,
35,07/08/25 04:53:27 PM,25.416,527.4,,,,,
36,07/08/25 04:58:27 PM,25.416,516.7,,,,,
37,07/08/25 05:03:27 PM,25.416,516.7,,,,,
38,07/08/25 05:08:27 PM,25.416,505.9,,,,,
39,07/08/25 05:13:27 PM,25.416,473.6,,,,,
40,07/08/25 05:18:27 PM,25.319,495.1,,,,,
41,07/08/25 05:23:27 PM,25.319,473.6,,,,,
42,07/08/25 05:28:27 PM,25.319,430.6,,,,,
43,07/08/25 05:33:27 PM,25.513,409.0,,,,,
44,07/08/25 05:38:27 PM,25.513,322.9,,,,,
45,07/08/25 05:43:27 PM,25.513,387.5,,,,,
46,07/08/25 05:48:27 PM,25.416,387.5,,,,,
47,07/08/25 05:53:27 PM,25.416,344.4,,,,,
48,07/08/25 05:58:27 PM,25.416,344.4,,,,,
49,07/08/25 06:03:27 PM,25.416,247.6,,,,,
50,07/08/25 06:08:27 PM,25.319,258.3,,,,,
51,07/08/25 06:13:27 PM,25.319,290.6,,,,,
52,07/08/25 06:18:27 PM,25.319,226.0,,,,,
53,07/08/25 06:23:27 PM,25.513,193.8,,,,,
54,07/08/25 06:28:27 PM,25.513,247.6,,,,,
55,07/08/25 06:33:27 PM,25.513,172.2,,,,,
56,07/08/25 06:38:27 PM,25.513,183.0,,,,,
57,07/08/25 06:43:27 PM,25.416,172.2,,,,,
58,07/08/25 06:48:27 PM,25.416,236.8,,,,,
59,07/08/25 06:53:27 PM,25.416,86.1,,,,,
60,07/08/25 06:58:27 PM,25.319,139.9,,,,,
61,07/08/25 07:03:27 PM,25.319,129.2,,,,,
62,07/08/25 07:08:27 PM,25.319,86.1,,,,,
63,07/08/25 07:13:27 PM,25.513,107.6,,,,,
64,07/08/25 07:18:27 PM,25.513,118.4,,,,,
65,07/08/25 07:23:27 PM,25.513,107.6,,,,,
66,07/08/25 07:28:27 PM,25.513,86.1,,,,,
67,07/08/25 07:33:27 PM,25.416,21.5,,,,,
68,07/08/25 07:38:27 PM,25.416,43.1,,,,,
69,07/08/25 07:43:27 PM,25.416,53.8,,,,,
70,07/08/25 07:48:27 PM,25.319,10.8,,,,,
71,07/08/25 07:53:27 PM,25.319,10.8,,,,,
72,07/08/25 07:58:27 PM,25.319,0.0,,,,,
73,07/08/25 08:03:27 PM,25.416,0.0,,,,,
74,07/08/25 08:08:27 PM,25.513,0.0,,,,,
75,07/08/25 08:13:27 PM,25.513,0.0,,,,,
76,07/08/25 08:18:27 PM,25.513,0.0,,,,,
77,07/08/25 08:23:27 PM,25.416,0.0,,,,,
78,07/08/25 08:28:27 PM,25.416,0.0,,,,,
79,07/08/25 08:33:27 PM,25.319,0.0,,,,,
80,07/08/25 08:38:27 PM,25.319,0.0,,,,,
81,07/08/25 08:43:27 PM,25.319,0.0,,,,,
82,07/08/25 08:48:27 PM,25.416,0.0,,,,,
83,07/08/25 08:53:27 PM,25.513,0.0,,,,,
84,07/08/25 08:58:27 PM,25.416,0.0,,,,,
85,07/08/25 09:03:27 PM,25.416,0.0,,,,,
86,07/08/25 09:08:27 PM,25.416,0.0,,,,,
87,07/08/25 09:13:27 PM,25.319,0.0,,,,,
88,07/08/25 09:18:27 PM,25.319,0.0,,,,,
89,07/08/25 09:23:27 PM,25.416,0.0,,,,,
90,07/08/25 09:28:27 PM,25.513,0.0,,,,,
91,07/08/25 09:33:27 PM,25.513,0.0,,,,,
92,07/08/25 09:38:27 PM,25.416,0.0,,,,,
93,07/08/25 09:43:27 PM,25.416,0.0,,,,,
94,07/08/25 09:48:27 PM,25.319,0.0,,,,,
95,07/08/25 09:53:27 PM,25.319,0.0,,,,,
96,07/08/25 09:58:27 PM,25.416,0.0,,,,,
97,07/08/25 10:03:27 PM,25.513,0.0,,,,,
98,07/08/25 10:08:27 PM,25.513,0.0,,,,,
99,07/08/25 10:13:27 PM,25.416,0.0,,,,,
100,07/08/25 10:18:27 PM,25.416,0.0,,,,,
101,07/08/25 10:23:27 PM,25.319,0.0,,,,,
102,07/08/25 10:28:27 PM,25.319,0.0,,,,,
103,07/08/25 10:33:27 PM,25.513,0.0,,,,,
104,07/08/25 10:38:27 PM,25.513,0.0,,,,,
105,07/08/25 10:43:27 PM,25.513,0.0,,,,,
106,07/08/25 10:48:27 PM,25.416,0.0,,,,,
107,07/08/25 10:53:27 PM,25.416,0.0,,,,,
108,07/08/25 10:58:27 PM,25.319,0.0,,,,,
109,07/08/25 11:03:27 PM,25.319,0.0,,,,,
110,07/08/25 11:08:27 PM,25.319,0.0,,,,,
111,07/08/25 11:13:27 PM,25.513,0.0,,,,,
112,07/08/25 11:18:27 PM,25.513,0.0,,,,,
113,07/08/25 11:23:27 PM,25.513,0.0,,,,,
114,07/08/25 11:28:27 PM,25.416,0.0,,,,,
115,07/08/25 11:33:27 PM,25.416,0.0,,,,,
116,07/08/25 11:38:27 PM,25.319,0.0,,,,,
117,07/08/25 11:43:27 PM,25.319,0.0,,,,,
118,07/08/25 11:48:27 PM,25.319,0.0,,,,,
119,07/08/25 11:53:27 PM,25.222,0.0,,,,,
120,07/08/25 11:58:27 PM,25.416,0.0,,,,,
121,07/09/25 12:03:27 AM,25.610,0.0,,,,,
122,07/09/25 12:08:27 AM,25.610,0.0,,,,,
123,07/09/25 12:13:27 AM,25.513,0.0,,,,,
124,07/09/25 12:18:27 AM,25.513,0.0,,,,,
125,07/09/25 12:23:27 AM,25.513,0.0,,,,,
126,07/09/25 12:28:27 AM,25.416,0.0,,,,,
127,07/09/25 12:33:27 AM,25.416,0.0,,,,,
128,07/09/25 12:38:27 AM,25.319,0.0,,,,,
129,07/09/25 12:43:27 AM,25.319,0.0,,,,,
130,07/09/25 12:48:27 AM,25.319,0.0,,,,,
131,07/09/25 12:53:27 AM,25.513,0.0,,,,,
132,07/09/25 12:58:27 AM,25.513,0.0,,,,,
133,07/09/25 01:03:27 AM,25.513,0.0,,,,,
134,07/09/25 01:08:27 AM,25.416,0.0,,,,,
135,07/09/25 01:13:27 AM,25.416,0.0,,,,,
136,07/09/25 01:18:27 AM,25.416,0.0,,,,,
137,07/09/25 01:23:27 AM,25.319,0.0,,,,,
138,07/09/25 01:28:27 AM,25.319,0.0,,,,,
139,07/09/25 01:33:27 AM,25.416,0.0,,,,,
140,07/09/25 01:38:27 AM,25.513,0.0,,,,,
141,07/09/25 01:43:27 AM,25.513,0.0,,,,,
142,07/09/25 01:48:27 AM,25.513,0.0,,,,,
143,07/09/25 01:53:27 AM,25.416,0.0,,,,,
144,07/09/25 01:58:27 AM,25.416,0.0,,,,,
145,07/09/25 02:03:27 AM,25.319,0.0,,,,,
146,07/09/25 02:08:27 AM,25.319,0.0,,,,,
147,07/09/25 02:13:27 AM,25.319,0.0,,,,,
148,07/09/25 02:18:27 AM,25.513,0.0,,,,,
149,07/09/25 02:23:27 AM,25.513,0.0,,,,,
150,07/09/25 02:28:27 AM,25.513,0.0,,,,,
151,07/09/25 02:33:27 AM,25.416,0.0,,,,,
152,07/09/25 02:38:27 AM,25.416,0.0,,,,,
153,07/09/25 02:43:27 AM,25.319,0.0,,,,,
154,07/09/25 02:48:27 AM,25.319,0.0,,,,,
155,07/09/25 02:53:27 AM,25.319,0.0,,,,,
156,07/09/25 02:58:27 AM,25.416,0.0,,,,,
157,07/09/25 03:03:27 AM,25.513,0.0,,,,,
158,07/09/25 03:08:27 AM,25.513,0.0,,,,,
159,07/09/25 03:13:27 AM,25.513,0.0,,,,,
160,07/09/25 03:18:27 AM,25.416,0.0,,,,,
161,07/09/25 03:23:27 AM,25.416,0.0,,,,,
162,07/09/25 03:28:27 AM,25.319,0.0,,,,,
163,07/09/25 03:33:27 AM,25.319,0.0,,,,,
164,07/09/25 03:38:27 AM,25.319,0.0,,,,,
165,07/09/25 03:43:27 AM,25.416,0.0,,,,,
166,07/09/25 03:48:27 AM,25.416,0.0,,,,,
167,07/09/25 03:53:27 AM,25.319,0.0,,,,,
168,07/09/25 03:58:27 AM,25.319,0.0,,,,,
169,07/09/25 04:03:27 AM,25.319,0.0,,,,,
170,07/09/25 04:08:27 AM,25.416,0.0,,,,,
171,07/09/25 04:13:27 AM,25.319,0.0,,,,,
172,07/09/25 04:18:27 AM,25.319,0.0,,,,,
173,07/09/25 04:23:27 AM,25.319,0.0,,,,,
174,07/09/25 04:28:27 AM,25.513,0.0,,,,,
175,07/09/25 04:33:27 AM,25.513,0.0,,,,,
176,07/09/25 04:38:27 AM,25.513,0.0,,,,,
177,07/09/25 04:43:27 AM,25.416,0.0,,,,,
178,07/09/25 04:48:27 AM,25.416,0.0,,,,,
179,07/09/25 04:53:27 AM,25.416,0.0,,,,,
180,07/09/25 04:58:27 AM,25.319,0.0,,,,,
181,07/09/25 05:03:27 AM,25.319,0.0,,,,,
182,07/09/25 05:08:27 AM,25.416,0.0,,,,,
183,07/09/25 05:13:27 AM,25.513,0.0,,,,,
184,07/09/25 05:18:27 AM,25.513,0.0,,,,,
185,07/09/25 05:23:27 AM,25.416,0.0,,,,,
186,07/09/25 05:28:27 AM,25.416,0.0,,,,,
187,07/09/25 05:33:27 AM,25.319,0.0,,,,,
188,07/09/25 05:38:27 AM,25.319,0.0,,,,,
189,07/09/25 05:43:27 AM,25.319,0.0,,,,,
190,07/09/25 05:48:27 AM,25.416,0.0,,,,,
191,07/09/25 05:53:27 AM,25.416,0.0,,,,,
192,07/09/25 05:58:27 AM,25.416,0.0,,,,,
193,07/09/25 06:03:27 AM,25.319,0.0,,,,,
194,07/09/25 06:08:27 AM,25.319,0.0,,,,,
195,07/09/25 06:13:27 AM,25.416,0.0,,,,,
196,07/09/25 06:18:27 AM,25.513,0.0,,,,,
197,07/09/25 06:23:27 AM,25.513,0.0,,,,,
198,07/09/25 06:28:27 AM,25.513,0.0,,,,,
199,07/09/25 06:33:27 AM,25.416,0.0,,,,,
200,07/09/25 06:38:27 AM,25.416,0.0,,,,,
201,07/09/25 06:43:27 AM,25.319,0.0,,,,,
202,07/09/25 06:48:27 AM,25.319,0.0,,,,,
203,07/09/25 06:53:27 AM,25.319,0.0,,,,,
204,07/09/25 06:58:27 AM,25.416,0.0,,,,,
205,07/09/25 07:03:27 AM,25.513,0.0,,,,,
206,07/09/25 07:08:27 AM,25.416,0.0,,,,,
207,07/09/25 07:13:27 AM,25.416,0.0,,,,,
208,07/09/25 07:18:27 AM,25.416,0.0,,,,,
209,07/09/25 07:23:27 AM,25.319,0.0,,,,,
