"Plot Title: 10800713"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10800713, SEN S/N: 10800713)","Intensity, Lux (LGR S/N: 10800713, SEN S/N: 10800713)","Coupler Detached (LGR S/N: 10800713)","Host Connected (LGR S/N: 10800713)","Coupler Attached (LGR S/N: 10800713)","Stopped (LGR S/N: 10800713)","End Of File (LGR S/N: 10800713)"
1,07/08/25 02:12:17 PM,20.329,0.0,,,,,
2,07/08/25 02:12:24 PM,,,Logged,,,,
3,07/08/25 02:17:17 PM,20.043,64.6,,,,,
4,07/08/25 02:22:17 PM,19.948,107.6,,,,,
5,07/08/25 02:25:35 PM,,,,Logged,,,
6,07/08/25 02:25:36 PM,,,,,Logged,,
7,07/08/25 02:25:54 PM,,,Logged,,,,
8,07/08/25 02:27:17 PM,20.424,86.1,,,,,
9,07/08/25 02:32:17 PM,23.100,624.3,,,,,
10,07/08/25 02:37:17 PM,25.222,0.0,,,,,
11,07/08/25 02:42:17 PM,25.416,0.0,,,,,
12,07/08/25 02:47:17 PM,25.416,0.0,,,,,
13,07/08/25 02:52:17 PM,25.319,0.0,,,,,
14,07/08/25 02:57:17 PM,25.319,0.0,,,,,
15,07/08/25 03:02:17 PM,25.319,0.0,,,,,
16,07/08/25 03:07:17 PM,25.319,0.0,,,,,
17,07/08/25 03:12:17 PM,25.416,0.0,,,,,
18,07/08/25 03:17:17 PM,25.513,0.0,,,,,
19,07/08/25 03:22:17 PM,25.513,0.0,,,,,
20,07/08/25 03:27:17 PM,25.513,0.0,,,,,
21,07/08/25 03:32:17 PM,25.416,0.0,,,,,
22,07/08/25 03:37:17 PM,25.416,0.0,,,,,
23,07/08/25 03:42:17 PM,25.416,0.0,,,,,
24,07/08/25 03:47:17 PM,25.416,0.0,,,,,
25,07/08/25 03:52:17 PM,25.416,0.0,,,,,
26,07/08/25 03:57:17 PM,25.319,0.0,,,,,
27,07/08/25 04:02:17 PM,25.319,0.0,,,,,
28,07/08/25 04:07:17 PM,25.319,0.0,,,,,
29,07/08/25 04:12:17 PM,25.416,0.0,,,,,
30,07/08/25 04:17:17 PM,25.513,570.5,,,,,
31,07/08/25 04:22:17 PM,25.513,559.7,,,,,
32,07/08/25 04:27:17 PM,25.513,527.4,,,,,
33,07/08/25 04:32:17 PM,25.513,516.7,,,,,
34,07/08/25 04:37:17 PM,25.416,484.4,,,,,
35,07/08/25 04:42:17 PM,25.416,516.7,,,,,
36,07/08/25 04:47:17 PM,25.416,505.9,,,,,
37,07/08/25 04:52:17 PM,25.416,441.3,,,,,
38,07/08/25 04:57:17 PM,25.319,419.8,,,,,
39,07/08/25 05:02:17 PM,25.319,462.9,,,,,
40,07/08/25 05:07:17 PM,25.513,387.5,,,,,
41,07/08/25 05:12:17 PM,25.513,366.0,,,,,
42,07/08/25 05:17:17 PM,25.513,398.3,,,,,
43,07/08/25 05:22:17 PM,25.416,355.2,,,,,
44,07/08/25 05:27:17 PM,25.416,366.0,,,,,
45,07/08/25 05:32:17 PM,25.416,322.9,,,,,
46,07/08/25 05:37:17 PM,25.416,312.2,,,,,
47,07/08/25 05:42:17 PM,25.416,333.7,,,,,
48,07/08/25 05:47:17 PM,25.319,290.6,,,,,
49,07/08/25 05:52:17 PM,25.319,269.1,,,,,
50,07/08/25 05:57:17 PM,25.513,269.1,,,,,
51,07/08/25 06:02:17 PM,25.513,258.3,,,,,
52,07/08/25 06:07:17 PM,25.513,204.5,,,,,
53,07/08/25 06:12:17 PM,25.513,193.8,,,,,
54,07/08/25 06:17:17 PM,25.416,204.5,,,,,
55,07/08/25 06:22:17 PM,25.416,215.3,,,,,
56,07/08/25 06:27:17 PM,25.416,215.3,,,,,
57,07/08/25 06:32:17 PM,25.319,150.7,,,,,
58,07/08/25 06:37:17 PM,25.319,129.2,,,,,
59,07/08/25 06:42:17 PM,25.416,118.4,,,,,
60,07/08/25 06:47:17 PM,25.513,118.4,,,,,
61,07/08/25 06:52:17 PM,25.513,96.9,,,,,
62,07/08/25 06:57:17 PM,25.513,118.4,,,,,
63,07/08/25 07:02:17 PM,25.416,96.9,,,,,
64,07/08/25 07:07:17 PM,25.416,53.8,,,,,
65,07/08/25 07:12:17 PM,25.416,10.8,,,,,
66,07/08/25 07:17:17 PM,25.319,53.8,,,,,
67,07/08/25 07:22:17 PM,25.319,32.3,,,,,
68,07/08/25 07:27:17 PM,25.319,75.3,,,,,
69,07/08/25 07:32:17 PM,25.513,53.8,,,,,
70,07/08/25 07:37:17 PM,25.513,21.5,,,,,
71,07/08/25 07:42:17 PM,25.513,10.8,,,,,
72,07/08/25 07:47:17 PM,25.416,10.8,,,,,
73,07/08/25 07:52:17 PM,25.416,10.8,,,,,
