Date,Treatment,Timepoint,Tank_ID,Time,Initials,Dark Adapt Mins,Plug #,Mem,Fluorescence yield (F),Max fluorescence yield (M = Fm),YIELD (Y),Fv/Fm (Y/1000),Notes
20250703,Recovery,20250703,BT1/2,11:00,JH;TJW,30,1281,3184,349,1013,655,0.655,Measuring intensity 11 and gain 4
20250703,Recovery,20250703,BT1/2,11:00,JH;TJW,30,1691,3185,443,1237,641,0.641,
20250703,Recovery,20250703,BT1/2,11:00,JH;TJW,30,1471,3186,468,1431,672,0.672,
20250703,Recovery,20250703,BT1/2,11:00,JH;TJW,30,1059,3187,372,952,609,0.609,
20250703,Recovery,20250703,BT1/2,11:00,JH;TJW,30,1761,3188,317,753,579,0.579,
20250703,Recovery,20250703,BT1/2,11:00,JH;TJW,30,2986,3189,408,1146,643,0.643,
20250703,Recovery,20250703,BT1/2,11:00,JH;TJW,30,1474,3190,433,1276,660,0.66,
20250703,Recovery,20250703,BT1/2,11:00,JH;TJW,30,1614,3191,410,1186,654,0.654,
20250703,Parent,20250703,BT1/2,11:00,JH;TJW,30,Parent,3192,447,1333,664,0.664,
20250703,Parent,20250703,BT1/2,11:00,JH;TJW,30,Parent,3193,564,1807,687,0.687,
20250703,Parent,20250703,BT1/2,11:00,JH;TJW,30,Parent,3194,429,1301,670,0.67,
20250703,Parent,20250703,BT1/2,11:00,JH;TJW,30,Parent,3195,456,1367,666,0.666,
20250705,Recovery,20250705,BT1/2,08:57,ZD,overnight,1281,3261,385,1110,653,0.653,
20250705,Recovery,20250705,BT1/2,08:57,ZD,overnight,1471,3262,346,972,644,0.644,
20250705,Recovery,20250705,BT1/2,08:57,ZD,overnight,1691,3263,390,1231,683,0.683,
20250705,Recovery,20250705,BT1/2,08:57,ZD,overnight,1474,3264,342,976,649,0.649,
20250705,Recovery,20250705,BT1/2,08:57,ZD,overnight,1059,3265,357,942,621,0.621,
20250705,Recovery,20250705,BT1/2,08:57,ZD,overnight,1614,3266,518,1546,664,0.664,
20250705,Recovery,20250705,BT1/2,08:57,ZD,overnight,2986,3267,385,1110,653,0.653,
20250705,Recovery,20250705,BT1/2,08:57,ZD,overnight,1761,3268,355,1012,649,0.649,
20250706,Recovery,20250706,BT1/2,11:05,ZD,80,1281,3303,349,1074,675,0.675,
20250706,Recovery,20250706,BT1/2,11:05,ZD,80,1691,3304,494,1458,661,0.661,
20250706,Recovery,20250706,BT1/2,11:05,ZD,80,1471,3305,422,1366,691,0.691,
20250706,Recovery,20250706,BT1/2,11:05,ZD,80,1474,3306,354,1167,696,0.696,
20250706,Recovery,20250706,BT1/2,11:05,ZD,80,1614,3307,479,1499,680,0.68,
20250706,Recovery,20250706,BT1/2,11:05,ZD,80,1761,3308,351,1031,659,0.659,
20250706,Recovery,20250706,BT1/2,11:05,ZD,80,1059,3309,356,1022,651,0.651,
20250706,Recovery,20250706,BT1/2,11:05,ZD,80,2986,3310,381,1239,692,0.692,
20250708,Recovery,20250708,BT1/2,08:00,ZD,overnight,1281,3344,528,1665,682,0.682,
20250708,Recovery,20250708,BT1/2,08:00,ZD,overnight,2986,3345,397,1113,643,0.643,
20250708,Recovery,20250708,BT1/2,08:00,ZD,overnight,1059,3346,321,917,649,0.649,
20250708,Recovery,20250708,BT1/2,08:00,ZD,overnight,1691,3347,336,937,641,0.641,
20250708,Recovery,20250708,BT1/2,08:00,ZD,overnight,1474,3348,438,1317,667,0.667,
20250708,Recovery,20250708,BT1/2,08:00,ZD,overnight,1471,3349,383,1134,662,0.662,
20250708,Recovery,20250708,BT1/2,08:00,ZD,overnight,1614,3350,443,1326,665,0.665,
20250708,Recovery,20250708,BT1/2,08:00,ZD,overnight,1761,3351,435,1347,677,0.677,
20250708,Acclimation,20250708,1,16:00,ZD,60,2986,3354,313,855,633,0.633,
20250708,Acclimation,20250708,2,16:00,ZD,60,1471,3355,320,881,636,0.636,
20250708,Acclimation,20250708,5,16:00,ZD,60,1614,3356,475,1265,624,0.624,
20250708,Acclimation,20250708,4,16:00,ZD,60,1281,3357,407,1214,664,0.664,
20250708,Acclimation,20250708,4,16:00,ZD,60,1761,3358,425,1110,617,0.617,
20250708,Acclimation,20250708,3,16:00,ZD,60,1691,3359,360,964,626,0.626,
20250708,Acclimation,20250708,6,16:00,ZD,60,1474,3360,352,1009,651,0.651,
20250708,Acclimation,20250708,3,16:00,ZD,60,1059,3361,351,978,641,0.641,
20250709,Control,0,1,08:10,JA;ZD,overnight,1223,3365,453,1353,665,0.665,
20250709,Control,0,1,08:10,JA;ZD,overnight,2986,3366,396,1164,659,0.659,
20250709,Control,0,1,08:10,JA;ZD,overnight,2565,3367,524,1534,658,0.658,
20250709,Control,0,1,08:10,JA;ZD,overnight,2370,3368,501,1748,713,0.713,
20250709,Heat,0,2,08:14,JA;ZD,overnight,1753,3371,571,1721,668,0.668,
20250709,Heat,0,2,08:14,JA;ZD,overnight,1100,3372,370,1037,643,0.643,
20250709,Heat,0,2,08:14,JA;ZD,overnight,1471,3373,385,1066,638,0.638,
20250709,Heat,0,2,08:14,JA;ZD,overnight,2195,3374,574,1823,685,0.685,
20250709,Heat,0,3,08:18,JA;ZD,overnight,1059,3376,339,929,635,0.635,
20250709,Heat,0,3,08:18,JA;ZD,overnight,1626,3377,453,1322,657,0.657,
20250709,Heat,0,3,08:18,JA;ZD,overnight,1691,3378,558,1752,681,0.681,
20250709,Heat,0,3,08:18,JA;ZD,overnight,1450,3379,397,1172,661,0.661,
20250709,Control,0,4,08:24,JA;ZD,overnight,1159,3381,557,1670,670,0.67,
20250709,Control,0,4,08:24,JA;ZD,overnight,1281,3382,352,978,640,0.64,
20250709,Control,0,4,08:24,JA;ZD,overnight,2666,3383,473,1346,648,0.648,
20250709,Control,0,4,08:24,JA;ZD,overnight,1761,3384,345,994,652,0.652,
20250709,Heat,0,5,08:29,JA;ZD,overnight,1614,3386,562,1722,673,0.673,
20250709,Heat,0,5,08:29,JA;ZD,overnight,2730,3387,544,1611,662,0.662,
20250709,Heat,0,5,08:29,JA;ZD,overnight,1473,3388,444,1267,649,0.649,
20250709,Heat,0,5,08:29,JA;ZD,overnight,1038,3390,560,1698,670,0.67,
20250709,Control,0,6,08:33,JA;ZD,overnight,1122,3393,470,1458,677,0.677,
20250709,Control,0,6,08:33,JA;ZD,overnight,1474,3394,455,1316,654,0.654,
20250709,Control,0,6,08:33,JA;ZD,overnight,1175,3395,498,1452,657,0.657,
20250709,Control,0,6,08:33,JA;ZD,overnight,1043,3396,440,1277,655,0.655,
20250709,Control,1,4,11:32,JH;TJW,30,1281,3399,308,785,607,0.607,
20250709,Control,1,4,11:32,JH;TJW,30,2666,3400,458,1333,656,0.656,
20250709,Control,1,4,11:32,JH;TJW,30,1159,3401,367,1072,657,0.657,
20250709,Control,1,4,11:32,JH;TJW,30,1761,3402,328,881,628,0.628,
20250709,Heat,1,2,11:39,JH;TJW,37,1471,3404,476,1302,634,0.634,
