species,t_hours,treatment,day,time,type,Tank,fragment_name,Plug #,Notes,Extraction_Date,Extraction_Notes,RNA_Extraction_Status,DNA_QBIT_1,DNA_QBIT_2,DNA_QBIT_AVG,RNA_QBIT_1,RNA_QBIT_2,RNA_QBIT_AVG,Vol_in_tube,ng_RNA_total,Lab_Notebook_Link
POC,0,heat,"Wed, Jul 9",9:00 AM,bulk_rna,Tank_5,POC_R0_H3,1290,,,,,,,,,,,,,
POC,0,heat,"Wed, Jul 9",9:00 AM,bulk_rna,Tank_2,POC_R0_H1,2060,,,,,,,,,,,,,
POC,0,heat,"Wed, Jul 9",9:00 AM,bulk_rna,Tank_3,POC_R0_H2,1533,,,,,,,,,,,,,
POC,0,control,"Wed, Jul 9",9:00 AM,bulk_rna,Tank_6,POC_R0_C3,1439,,,,,,,,,,,,,
POC,0,control,"Wed, Jul 9",9:00 AM,bulk_rna,Tank_4,POC_R0_C2,1315,,,,,,,,,,,,,
POC,0,control,"Wed, Jul 9",9:00 AM,bulk_rna,Tank_1,POC_R0_C1,1537,,,,,,,,,,,,,
POC,1,heat,"Wed, Jul 9",10:00 AM,bulk_rna,Tank_3,POC_R1_H2,2737,,,,,,,,,,,,,
POC,1,control,"Wed, Jul 9",10:00 AM,bulk_rna,Tank_4,POC_R1_C2,1123,,,,,,,,,,,,,
POC,1,heat,"Wed, Jul 9",10:00 AM,bulk_rna,Tank_5,POC_R1_H3,1177,,,,,,,,,,,,,
POC,1,control,"Wed, Jul 9",10:00 AM,bulk_rna,Tank_1,POC_R1_C1,1118,,,,,,,,,,,,,
POC,1,heat,"Wed, Jul 9",10:00 AM,bulk_rna,Tank_2,POC_R1_H1,2372,NOTE: PAXgene and Formalin sample are from the same plug; DNA/RNA shield sample from different plug,,,,,,,,,,,,
POC,1,control,"Wed, Jul 9",10:00 AM,bulk_rna,Tank_6,POC_R1_C3,1562,,,,,,,,,,,,,
POC,3,control,"Wed, Jul 9",12:00 PM,bulk_rna,Tank_4,POC_R3_C2,1752,,,,,,,,,,,,,
POC,3,heat,"Wed, Jul 9",12:00 PM,bulk_rna,Tank_2,POC_R3_H1,1727,,,,,,,,,,,,,
POC,3,control,"Wed, Jul 9",12:00 PM,bulk_rna,Tank_1,POC_R3_C1,2869,,,,,,,,,,,,,
POC,3,control,"Wed, Jul 9",12:00 PM,bulk_rna,Tank_6,POC_R3_C3,2378,,,,,,,,,,,,,
POC,3,heat,"Wed, Jul 9",12:00 PM,bulk_rna,Tank_3,POC_R3_H2,1615,,,,,,,,,,,,,
POC,3,heat,"Wed, Jul 9",12:00 PM,bulk_rna,Tank_5,POC_R3_H3,2985,,,,,,,,,,,,,
POC,12,control,"Wed, Jul 9",9:00 PM,bulk_rna,Tank_6,POC_R12_C3,3003,,,,,,,,,,,,,
POC,12,control,"Wed, Jul 9",9:00 PM,bulk_rna,Tank_1,POC_R12_C1,1729,,,,,,,,,,,,,
POC,12,heat,"Wed, Jul 9",9:00 PM,bulk_rna,Tank_2,POC_R12_H1,1174,,,,,,,,,,,,,
POC,12,heat,"Wed, Jul 9",9:00 PM,bulk_rna,Tank_3,POC_R12_H2,1470,,,,,,,,,,,,,
POC,12,control,"Wed, Jul 9",9:00 PM,bulk_rna,Tank_4,POC_R12_C2,1555,,,,,,,,,,,,,
POC,12,heat,"Wed, Jul 9",9:00 PM,bulk_rna,Tank_5,POC_R12_H3,1102,,,,,,,,,,,,,
POC,24,heat,"Thu, Jul 10",9:00 AM,bulk_rna,Tank_5,POC_R24_H3,1478,,,,,,,,,,,,,
POC,24,control,"Thu, Jul 10",9:00 AM,bulk_rna,Tank_4,POC_R24_C2,2070,,,,,,,,,,,,,
POC,24,heat,"Thu, Jul 10",9:00 AM,bulk_rna,Tank_2,POC_R24_H1,1734,,,,,,,,,,,,,
POC,24,control,"Thu, Jul 10",9:00 AM,bulk_rna,Tank_6,POC_R24_C3,1133,,,,,,,,,,,,,
POC,24,heat,"Thu, Jul 10",9:00 AM,bulk_rna,Tank_3,POC_R24_H2,1566,,,,,,,,,,,,,
POC,24,control,"Thu, Jul 10",9:00 AM,bulk_rna,Tank_1,POC_R24_C1,1189,,,,,,,,,,,,,
POC,72,control,"Sat, Jul 12",9:00 AM,bulk_rna,Tank_1,POC_R72_C1,1584,,,,,,,,,,,,,
POC,72,control,"Sat, Jul 12",9:00 AM,bulk_rna,Tank_6,POC_R72_C3,1298,,,,,,,,,,,,,
POC,72,heat,"Sat, Jul 12",9:00 AM,bulk_rna,Tank_3,POC_R72_H2,2738,,,,,,,,,,,,,
POC,72,control,"Sat, Jul 12",9:00 AM,bulk_rna,Tank_4,POC_R72_C2,2881,,,,,,,,,,,,,
POC,72,heat,"Sat, Jul 12",9:00 AM,bulk_rna,Tank_2,POC_R72_H1,1496,,,,,,,,,,,,,
POC,72,heat,"Sat, Jul 12",9:00 AM,bulk_rna,Tank_5,POC_R72_H3,1557,,,,,,,,,,,,,
POC,120,heat,"Mon, Jul 14",9:00 AM,bulk_rna,Tank_2,POC_R120_H1,2997,,,,,,,,,,,,,
POC,120,control,"Mon, Jul 14",9:00 AM,bulk_rna,Tank_1,POC_R120_C1,2758,,,,,,,,,,,,,
POC,120,control,"Mon, Jul 14",9:00 AM,bulk_rna,Tank_4,POC_R120_C2,1128,,,,,,,,,,,,,
POC,120,control,"Mon, Jul 14",9:00 AM,bulk_rna,Tank_6,POC_R120_C3,1824,,,,,,,,,,,,,
