Plug #,Notes,Tank Assignment,PAM Info
1038,,Tank 5,experiment
1043,,Tank 6,experiment
1059,,Tank 3,recovery and experiment
1065,,Tank 4,
1066,,Tank 3,
1067,,Tank 2,
1094,,Tank 2,
1100,,Tank 2,experiment
1102,,Tank 5,
1110,,Tank 5,
1118,,Tank 1,
1120,,Tank 5,
1122,,Tank 6,experiment
1123,,Tank 4,
1128,,Tank 4,
1130,,Tank 5,
1133,,Tank 6,
1140,,Tank 6,
1150,,Tank 1,
1157,,Tank 3,
1159,,Tank 4,experiment
1164,,Tank 3,
1174,,Tank 2,
1175,,Tank 6,experiment
1176,,Tank 6,
1177,,Tank 5,
1180,,Tank 5,
1186,,Tank 3,
1189,,Tank 1,
1218,,Tank 6,
1219,,Tank 3,
1223,,Tank 1,experiment
1234,,Tank 3,
1242,,Tank 4,
1244,,Tank 6,
1247,,Tank 2,
1253,,Tank 2,
1254,,Tank 1,
1274,,Tank 4,
1281,,Tank 4,recovery and experiment
1283,,Tank 6,
1290,,Tank 5,
1295,,Tank 4,
1298,,Tank 6,
1306,,Tank 1,
1315,,Tank 4,
1318,,Tank 6,
1322,,Tank 3,
1336,,Tank 1,
1337,,Tank 6,
1412,,Tank 5,
1427,,Tank 6,
1429,,Tank 6,
1439,,Tank 6,
1450,,Tank 3,experiment
1455,,Tank 5,
1456,,Tank 1,
1470,,Tank 3,
1471,,Tank 2,recovery and experiment
1473,,Tank 5,experiment
1474,,Tank 6,recovery and experiment
1478,,Tank 5,
1486,,Tank 3,
1495,,Tank 1,
1496,,Tank 2,
1533,,Tank 3,
1537,,Tank 1,
1547,,Tank 4,
1554,,Tank 5,
1555,,Tank 4,
1557,,Tank 5,
1559,,Tank 6,
1562,,Tank 6,
1566,,Tank 3,
1575,,Tank 2,
1584,,Tank 1,
1613,,Tank 4,
1614,,Tank 5,recovery and experiment
1615,,Tank 3,
1616,,Tank 2,
1621,,Tank 2,
1626,,Tank 3,experiment
1633,,Tank 5,
1643,,Tank 2,
1644,,Tank 1,
1647,,Tank 4,
1653,,Tank 4,
1691,,Tank 3,recovery and experiment
1694,,Tank 3,
1698,,Tank 3,
1727,,Tank 2,
1729,,Tank 1,
1734,,Tank 2,
1742,,Tank 2,
1748,,Tank 1,
1749,,Tank 1,
1752,,Tank 4,
1753,,Tank 2,experiment
1761,,Tank 4,recovery and experiment
1771,,Tank 6,
1824,,Tank 6,
2026,,Tank 3,
2060,,Tank 2,
2070,,Tank 4,
2073,,Tank 4,
2079,,Tank 2,
2156,,Tank 2,
2172,,Tank 3,
2195,,Tank 2,experiment
2201,,Tank 4,
2208,,Tank 6,
2368,,Tank 3,
2370,,Tank 1,experiment
2372,,Tank 2,
2376,,Tank 2,
2378,,Tank 6,
2380,,Tank 5,
2404,,Tank 4,
2405,,Tank 5,
2524,,Tank 2,
2528,,Tank 4,
2531,,Tank 5,
2563,,Tank 1,
2565,,Tank 1,experiment
2666,,Tank 4,experiment
2729,,Tank 3,
2730,,Tank 5,experiment
2737,,Tank 3,
2738,,Tank 3,
2742,,Tank 1,
2755,,Tank 5,
2757,,Tank 6,
2758,,Tank 1,
2869,,Tank 1,
2878,,Tank 1,
2879,,Tank 1,
2881,,Tank 4,
2982,,Tank 5,
2984,,Tank 5,
2985,,Tank 5,
2986,,Tank 1,recovery and experiment
2997,,Tank 2,
3002,,Tank 4,
3003,,Tank 6,
