Date,Treatment,Tank_ID,Time,Initials,Temperature_C,pH_mv,Salinity_psu,tris.date,Probe.Set,notes
20250708,Acclimation,1,09:08,ZD,25.17,-64,34.65,20250708,Probe1,
20250708,Acclimation,2,09:08,ZD,25.32,-64.2,34.66,20250708,Probe1,
20250708,Acclimation,3,09:08,ZD,25.23,-64.9,34.65,20250708,Probe1,
20250708,Acclimation,4,09:08,ZD,25.07,-64.8,34.69,20250708,Probe1,
20250708,Acclimation,5,09:08,ZD,25.16,-64.9,34.64,20250708,Probe1,
20250708,Acclimation,6,09:08,ZD,25.18,-64.9,34.67,20250708,Probe1,
20250708,Acclimation,1,12:20,NB,25.23,-64.2,34.7,20250708,Probe1,
20250708,Acclimation,2,12:20,NB,25.33,-64.5,34.67,20250708,Probe1,
20250708,Acclimation,3,12:20,NB,25.11,-65.3,34.68,20250708,Probe1,
20250708,Acclimation,4,12:20,NB,25.13,-65.2,34.74,20250708,Probe1,
20250708,Acclimation,5,12:20,NB,25,-65.3,34.67,20250708,Probe1,
20250708,Acclimation,6,12:20,NB,25.07,-65.3,34.73,20250708,Probe1,
20250709,Acclimation,1,09:03,ZD;PP,25.2,-64.3,34.89,20250708,Probe1,"Temp probe broken, temp taken from apex"
20250709,Acclimation,2,09:03,ZD;PP,25.1,-64.9,34.85,20250708,Probe1,"Temp probe broken, temp taken from apex"
20250709,Acclimation,3,09:03,ZD;PP,25.1,-65.4,34.85,20250708,Probe1,"Temp probe broken, temp taken from apex"
20250709,Acclimation,4,09:03,ZD;PP,25.1,-65.1,35.04,20250708,Probe1,"Temp probe broken, temp taken from apex"
20250709,Acclimation,5,09:03,ZD;PP,25.1,-65.5,34.88,20250708,Probe1,"Temp probe broken, temp taken from apex"
20250709,Acclimation,6,09:03,ZD;PP,25,-65.8,34.92,20250708,Probe1,"Temp probe broken, temp taken from apex"
20250709,Control,1,11:03,ZD;PP,25.2,-64.3,34.9,20250708,Probe1,"Temp probe broken, temp taken from apex"
20250709,Heat,2,11:03,ZD;PP,31.9,-62.8,34.94,20250708,Probe1,"Temp probe broken, temp taken from apex"
20250709,Heat,3,11:03,ZD;PP,32.1,-62.9,34.98,20250708,Probe1,"Temp probe broken, temp taken from apex"
20250709,Control,4,11:03,ZD;PP,25.1,-64.8,35,20250708,Probe1,"Temp probe broken, temp taken from apex"
20250709,Heat,5,11:03,ZD;PP,32.1,-63.1,34.93,20250708,Probe1,"Temp probe broken, temp taken from apex"
20250709,Control,6,11:03,ZD;PP,25.1,-65.5,34.9,20250708,Probe1,"Temp probe broken, temp taken from apex"
20250709,Control,1,12:22,NB;JH,25.1,-64.2,34.82,20250708,Probe1,"Temp probe broken, temp taken from ATC Orion Probe"
20250709,Heat,2,12:22,NB;JH,31.8,-62.7,34.85,20250708,Probe1,"Temp probe broken, temp taken from ATC Orion Probe"
20250709,Heat,3,12:22,NB;JH,31.9,-63.3,34.83,20250708,Probe1,"Temp probe broken, temp taken from ATC Orion Probe"
20250709,Control,4,12:22,NB;JH,25.1,-64.6,34.91,20250708,Probe1,"Temp probe broken, temp taken from ATC Orion Probe"
20250709,Heat,5,12:22,NB;JH,31.9,-63,34.85,20250708,Probe1,"Temp probe broken, temp taken from ATC Orion Probe"
20250709,Control,6,12:22,NB;JH,25.2,-65.4,34.89,20250708,Probe1,"Temp probe broken, temp taken from ATC Orion Probe"
20250709,Control,1,14:22,JA;ZD,25.32,-63.7,34.87,20250708,Probe1,From now on: using new Fisher Traceable Thermometer (SN250203753) with old probe from older model from bermuda (probe from this model already rusted)
