accession	message	sample_name	sample_title	bioproject_accession	organism	isolate	breed	host	isolation_source	collection_date	geo_loc_name	tissue	age	altitude	biomaterial_provider	collected_by	depth	dev_stage	env_broad_scale	host_tissue_sampled	identified_by	lat_lon	sex	specimen_voucher	temp	description	treatment	timepoint	replicate
SAMN56252319	Successfully loaded	POC_R0_C1			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-09	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	0 hr	1
SAMN56252320	Successfully loaded	POC_R0_C2			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-09	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	0 hr	2
SAMN56252321	Successfully loaded	POC_R0_C3			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-09	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	0 hr	3
SAMN56252322	Successfully loaded	POC_R0_H1			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-09	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	0 hr	1
SAMN56252323	Successfully loaded	POC_R0_H2			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-09	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	0 hr	2
SAMN56252324	Successfully loaded	POC_R0_H3			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-09	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	0 hr	3
SAMN56252325	Successfully loaded	POC_R1_C1			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-09	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	1 hr	1
SAMN56252326	Successfully loaded	POC_R1_C2			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-09	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	1 hr	2
SAMN56252327	Successfully loaded	POC_R1_C3			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-09	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	1 hr	3
SAMN56252328	Successfully loaded	POC_R1_H1			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-09	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	1 hr	1
SAMN56252329	Successfully loaded	POC_R1_H2			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-09	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	1 hr	2
SAMN56252330	Successfully loaded	POC_R1_H3			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-09	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							32 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of acute thermal stress	Heat	1 hr	3
SAMN56252331	Successfully loaded	POC_R3_C1			Pocillopora acuta	not applicable	not applicable	not applicable	not applicable	2025-07-09	USA: Rhode Island	whole organism			Hollie Putnam	Zoe Dellaert		Adult							25 C	Nubbin of lab-acclimated coral sampled after (timepoint) hours of ambient conditions	Control	3 hr	1
