fragment,airbrush date,Homogenate Volume,Skeleton Dry Weight,Skeleton Wax-Dipped Weight
POR_P0_C1,20260911,7.2,0.6432,0.706
POR_P0_C2,20260911,8.8,0.5507,0.5931
POR_P0_C3,20260911,7,0.5978,0.6542
POR_P0_H1,20260911,7.5,0.5403,0.5922
POR_P0_H2,20260911,7,0.5317,0.583
POR_P0_H3,20260911,8,0.5283,0.5703
POR_P1_C1,20260911,7,0.5408,0.5904
POR_P1_C2,20260911,6.8,0.443,0.4745
POR_P1_C3,20260911,10,0.4639,0.5055
POR_P1_H1,20260911,6.9,0.5377,0.5744
POR_P1_H2,20260911,7.3,0.3953,0.418
POR_P1_H3,20260911,7.5,0.5154,0.5669
POR_P3_C1,20260911,7,0.3291,0.3696
POR_P3_C2,20260911,8,0.9014,1.0008
POR_P3_C3,20260911,8.6,0.6161,0.6701
POR_P3_H1,20260911,8.8,0.9894,1.0771
POR_P3_H2,20260911,6.9,0.373,0.4026
POR_P3_H3,20260911,7,0.5116,0.5407
POR_P12_C1,20260911,7,0.4609,0.5083
POR_P12_C2,20260911,6.8,0.3607,0.4059
POR_P12_C3,20260911,12.5,0.4577,0.5019
POR_P12_H1,20260911,16.7,0.9652,1.036
POR_P12_H2,20260911,7,0.3581,0.3918
POR_P12_H3,20260911,7,0.5372,0.5682
POR_P24_C1,20260911,6.8,0.5106,0.5536
POR_P24_C2,20260911,7.1,0.4681,0.521
POR_P24_C3,20260911,8.8,0.397,0.4388
POR_P24_H1,20260911,7,0.5341,0.5755
POR_P24_H2,20260911,8.5,0.7306,0.7917
POR_P24_H3,20260911,7.4,0.6181,0.6854
POR_P72_C1,20260911,7.4,0.8609,0.9135
POR_P72_C2,20260911,7,0.494,0.5263
POR_P72_C3,20260911,10.5,0.6961,0.7861
POR_P72_H1,20260911,7,0.9664,1.0459
POR_P72_H2,20260911,7.1,0.4095,0.4603
POR_P72_H3,20260911,9.6,0.6541,0.7164
POR_P120_C1,20260911,8,0.433,0.4727
POR_P120_C2,20260911,7,0.6003,0.6458
POR_P120_C3,20260911,32.4,0.7312,0.7911
POR_P120_H1,20260911,8.6,0.3992,0.4352
POR_P120_H2,20260911,7.2,0.3299,0.3566
POR_P120_H3,20260911,10,0.9938,1.0458
MON_P0_C1,20260911,7.2,0.4301,0.5469
MON_P0_C2,20260911,7.5,0.3992,0.4664
MON_P0_C3,20260911,7.2,0.3849,0.458
MON_P0_H1,20260911,10.5,0.434,0.52
MON_P0_H2,20260911,7.8,0.632,0.7313
MON_P0_H3,20260911,8.2,0.4929,0.6063
MON_P1_C1,20260911,7.5,0.2585,0.3114
MON_P1_C2,20260911,7.4,0.3648,0.4496
MON_P1_C3,20260911,7.4,0.7209,0.7966
MON_P1_H1,20260911,7.2,0.4778,0.5597
MON_P1_H2,20260911,7,0.4588,0.525
MON_P1_H3,20260911,11.6,0.6745,0.7545
MON_P3_C1,20260911,7.5,0.415,0.4997
MON_P3_C2,20260911,6.8,0.3825,0.4396
MON_P3_C3,20260911,6.8,0.2753,0.3051
MON_P3_H1,20260911,7.4,0.8313,0.8916
MON_P3_H2,20260911,6.6,0.3255,0.4283
MON_P3_H3,20260911,7.6,0.3351,0.3834
MON_P12_C1,20260911,7,0.2658,0.3247
MON_P12_C2,20260911,7.4,0.5949,0.6721
MON_P12_C3,20260911,8.4,0.6967,0.7539
MON_P12_H1,20260911,7,0.662,0.7601
MON_P12_H2,20260911,7,0.5285,0.5944
MON_P12_H3,20260911,8,0.6214,0.7034
MON_P24_C1,20260911,7.4,0.6247,0.8512
MON_P24_C2,20260911,11,0.9045,1.0061
MON_P24_C3,20260911,9.4,0.2243,0.3042
MON_P24_H1,20260911,6.6,0.2475,0.2961
MON_P24_H2,20260911,6.8,0.6397,0.6851
MON_P24_H3,20260911,10.2,0.4736,0.5163
MON_P72_C1,20260911,6.8,0.4414,0.5313
MON_P72_C2,20260911,7,0.438,0.484
MON_P72_C3,20260911,8.8,1.0526,1.2036
MON_P72_H1,20260911,7.2,0.8626,0.972
MON_P72_H2,20260911,7,0.7865,0.9223
MON_P72_H3,20260911,8.2,1.0506,1.1717
MON_P120_C1,20260911,7.6,0.5333,0.5952
MON_P120_C2,20260911,8,0.1864,0.2227
MON_P120_C3,20260911,7.2,0.6674,0.7513
MON_P120_H1,20260911,6.8,0.7583,0.902
MON_P120_H2,20260911,7.2,0.5737,0.6788
MON_P120_H3,20260911,7.4,0.7782,0.8351
POC_P0_C1,20260912,8.4,0.4152,0.4712
POC_P0_C2,20260912,7.4,0.1465,0.1649
POC_P0_C3,20260912,7.5,0.2062,0.2383
POC_P0_H1,20260912,7.5,0.2462,0.2953
POC_P0_H2,20260912,7.5,0.2284,0.2577
POC_P0_H3,20260912,7.5,0.2404,0.2738
POC_P1_C1,20260912,7.2,0.2527,0.2852
POC_P1_C2,20260912,7.6,0.3199,0.3507
POC_P1_C3,20260912,7.5,0.2235,0.2454
POC_P1_H1,20260912,7.2,0.2736,0.3051
POC_P1_H2,20260912,7.4,0.2201,0.2471
POC_P1_H3,20260912,7.5,0.2283,0.2569
POC_P3_C1,20260912,7.6,0.2136,0.2278
POC_P3_C2,20260912,7.4,0.2119,0.2417
POC_P3_C3,20260912,7.4,0.2095,0.2369
POC_P3_H1,20260912,7.3,0.1903,0.2168
POC_P3_H2,20260912,7.2,0.3205,0.3594
POC_P3_H3,20260912,7.5,0.3299,0.3685
POC_P12_C1,20260912,7.4,0.2438,0.2755
POC_P12_C2,20260912,7.5,0.253,0.3108
POC_P12_C3,20260912,7.6,0.2992,0.3321
POC_P12_H1,20260912,7.5,0.2901,0.3262
POC_P12_H2,20260912,7.8,0.3134,0.3543
POC_P12_H3,20260912,7,0.3479,0.3884
POC_P24_C1,20260912,7.5,0.2047,0.2342
POC_P24_C2,20260912,7.2,0.1935,0.2406
POC_P24_C3,20260912,6.8,0.2161,0.2576
