"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero","response_type"
"Montipora_capitata_HIv3___RNAseq.g4581.t1",0.265390903138564,0.495092497026241,-225.014436605098,-228.236372065915,17,12,474.572593321456,0,0,0,0,0.00145772388096373,0.00962929832147476,0.0120219599835986,0.0559864965092862,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4750.t1",0.843186180875531,0.962357432627692,-75.8507223636951,-76.8721421548344,17,12,4.47737398563501,0,0,0,0,0.295268212856813,0.465537898587752,0.943975471466198,1,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4751.t1",0.104534306832016,0.263914478794138,-210.143934948675,-214.701824152453,17,12,213.870330817319,0,0,0,0,0.271190348499404,0.44205246199678,0.00481331042955949,0.0259750458370255,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4752.t1",0.00388952878553433,0.0223937703099741,-215.491897749751,-224.164512112956,17,12,206.037354374494,0,0,0,0,4.78548411631899e-07,1.29721109527858e-05,0.0262658546672693,0.106153566297309,TRUE,FALSE,FALSE,"Transient"
"Montipora_capitata_HIv3___RNAseq.g4753.t1",2.15156380036583e-06,4.53985997119267e-05,-274.74469666249,-291.855190090179,17,12,2382.33371564084,0,0,0,0,3.45316489738474e-09,1.82605059046414e-07,0.00210541717231562,0.0128108993524378,TRUE,FALSE,FALSE,"Transient"
"Montipora_capitata_HIv3___RNAseq.g4754.t1",2.46832731685685e-10,1.76832144373585e-08,-276.521179976702,-303.34830277931,17,12,717.675181942255,0,0,0,0,7.27839153943255e-09,3.49839493658125e-07,4.37889268730395e-08,8.54501547755545e-07,FALSE,TRUE,FALSE,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.g4755.t1",2.74956876408841e-08,1.09578509328021e-06,-245.317171204421,-267.133660488086,17,12,307.173885763481,0,0,0,0,1.1098607542899e-07,3.75220227368861e-06,1.75537097220102e-11,6.70271030235487e-10,FALSE,TRUE,FALSE,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.g4756.t1",0.00577147620743521,0.0303279684955498,-287.271533892678,-295.475393783436,17,12,1189.18011788567,0,0,0,0,0.0363315146628239,0.113459153574438,2.02696066643571e-05,0.000213055321245985,FALSE,TRUE,FALSE,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.g4757.t1",0.149620761137403,0.338950390141795,-213.323227113939,-217.384398127626,17,12,141.847273222784,0,0,0,0,0.534781843419099,0.672140805623946,0.00236070077087583,0.0141046714644327,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4758.t1",0.829963093492059,0.956222929415058,-235.202865624402,-236.271081952018,17,12,320.379153559591,0,0,0,0,0.689970630103825,0.78465969798148,0.657720216160273,1,FALSE,FALSE,FALSE,"Other"
"Montipora_capitata_HIv3___RNAseq.g4759.t1",1.22598910871361e-08,5.44886060444367e-07,-345.705774748062,-368.385620879518,17,12,3406.48499629764,0,0,0,0,7.36311436883138e-05,0.000869841964050913,3.23426517998453e-16,2.71074665739706e-14,TRUE,FALSE,FALSE,"Transient"
