"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero","response_type","classification"
"Montipora_capitata_HIv3___RNAseq.g4752.t1",0.00388952878553433,0.0223937703099741,-215.491897749751,-224.164512112956,17,12,206.037354374494,0,0,0,0,4.78548411631899e-07,1.29721109527858e-05,0.0262658546672693,0.106153566297309,TRUE,FALSE,FALSE,"Transient","transient_down"
"Montipora_capitata_HIv3___RNAseq.g4753.t1",2.15156380036583e-06,4.53985997119267e-05,-274.74469666249,-291.855190090179,17,12,2382.33371564084,0,0,0,0,3.45316489738474e-09,1.82605059046414e-07,0.00210541717231562,0.0128108993524378,TRUE,FALSE,FALSE,"Transient","transient_up"
"Montipora_capitata_HIv3___RNAseq.g4754.t1",2.46832731685685e-10,1.76832144373585e-08,-276.521179976702,-303.34830277931,17,12,717.675181942255,0,0,0,0,7.27839153943255e-09,3.49839493658125e-07,4.37889268730395e-08,8.54501547755545e-07,FALSE,TRUE,FALSE,"Monotonous","transition_down"
"Montipora_capitata_HIv3___RNAseq.g4755.t1",2.74956876408841e-08,1.09578509328021e-06,-245.317171204421,-267.133660488086,17,12,307.173885763481,0,0,0,0,1.1098607542899e-07,3.75220227368861e-06,1.75537097220102e-11,6.70271030235487e-10,FALSE,TRUE,FALSE,"Monotonous","transition_down"
"Montipora_capitata_HIv3___RNAseq.g4756.t1",0.00577147620743521,0.0303279684955498,-287.271533892678,-295.475393783436,17,12,1189.18011788567,0,0,0,0,0.0363315146628239,0.113459153574438,2.02696066643571e-05,0.000213055321245985,FALSE,TRUE,FALSE,"Monotonous","transition_up"
"Montipora_capitata_HIv3___RNAseq.g4759.t1",1.22598910871361e-08,5.44886060444367e-07,-345.705774748062,-368.385620879518,17,12,3406.48499629764,0,0,0,0,7.36311436883138e-05,0.000869841964050913,3.23426517998453e-16,2.71074665739706e-14,TRUE,FALSE,FALSE,"Transient","transient_up"
"Montipora_capitata_HIv3___RNAseq.g4582.t1",0.000309168381878321,0.00290978024470967,-300.343087618707,-311.942850302262,17,12,2075.77663540556,0,0,0,0,0.00126167169922128,0.0086258667934263,0.148744499724086,0.409926108462907,FALSE,FALSE,FALSE,"Other","unclassified"
"Montipora_capitata_HIv3___RNAseq.g4585.t1",0.000281052185794812,0.00269464280686042,-269.818106440333,-281.525993500703,17,12,1004.3732657647,0,0,0,0,0.00147393056989719,0.00972354679185194,0.999849890248192,1,FALSE,FALSE,FALSE,"Other","unclassified"
"Montipora_capitata_HIv3___RNAseq.g4589.t1",0.00428499287899188,0.0241942485899769,-322.497639514343,-331.055634199688,17,12,4210.68476075812,0,0,0,0,1.44670934246386e-05,0.000223230961053308,0.0373151868769437,0.140610727356338,TRUE,FALSE,FALSE,"Transient","transient_down"
"Montipora_capitata_HIv3___TS.g26291.t1",0.000324453007211083,0.00302899985540623,-197.416463836962,-208.961457306899,17,12,89.1540416634085,0,0,0,0,0.000548164471668825,0.00448198934457698,0.00615670777364784,0.0319450215901517,FALSE,FALSE,FALSE,"Other","unclassified"
