"Gene","cluster","membership","response_type"
"Montipora_capitata_HIv3___RNAseq.10136_t",1,0.892539531159519,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.10187_t",1,0.46533686651428,"Other"
"Montipora_capitata_HIv3___RNAseq.10547_t",6,0.845947363181526,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.10831_t",6,0.962084818400905,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.10949_t",1,0.919844997186877,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.10995_t",6,0.58049971810687,"Other"
"Montipora_capitata_HIv3___RNAseq.11286_t",2,0.850793688620623,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.13680_t",6,0.47436625552908,"Other"
"Montipora_capitata_HIv3___RNAseq.13700_t",2,0.753700394023293,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.13784_t",3,0.970581285056685,"Transient"
"Montipora_capitata_HIv3___RNAseq.13864_t",2,0.808492777321349,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.13996_t",1,0.919393552153537,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.14659_t",2,0.747233814975036,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.14743_t",4,0.534117035333172,"Other"
"Montipora_capitata_HIv3___RNAseq.14934_t",6,0.995490283052728,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.1525_t",6,0.334207718607683,"Other"
"Montipora_capitata_HIv3___RNAseq.1535_t",6,0.911535812011623,"Other"
"Montipora_capitata_HIv3___RNAseq.16144_t",3,0.886069298486216,"Other"
"Montipora_capitata_HIv3___RNAseq.17622_t",1,0.806104985317782,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.17705_t",6,0.889658568300127,"Transient"
"Montipora_capitata_HIv3___RNAseq.17993_t",4,0.48513094682371,"Transient"
"Montipora_capitata_HIv3___RNAseq.18025_t",3,0.599635031595183,"Transient"
"Montipora_capitata_HIv3___RNAseq.18123_t",2,0.925093846749242,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.18806_t",6,0.871261822862151,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.18959_t",6,0.740766920301825,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.19098_t",2,0.868689700361518,"Monotonous"
"Montipora_capitata_HIv3___RNAseq.190_t",6,0.635126385264293,"Other"
"Montipora_capitata_HIv3___RNAseq.20109_t",5,0.970271258973856,"Transient"
"Montipora_capitata_HIv3___RNAseq.20338_t",5,0.852302136203533,"Other"
"Montipora_capitata_HIv3___RNAseq.20426_t",2,0.519964929632431,"Other"
