"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero","response_type","classification"
"Pocillopora_acuta_HIv2___TS.g10153.t1",0.153737579504361,0.259745899635434,-100.09400926077,-104.116834881016,17,12,4.36147724527319,0,0,0,0,0.0268662528472704,0.055014056836106,0.447138464980851,0.627432650953616,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___TS.g28292.t1a",0.898010774450751,0.955675530621064,-101.632684236746,-102.445997605479,17,12,6.54599481463208,0,0,0,0,0.106141022704659,0.171133444131935,0.963590781151651,1,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___TS.g28295.t1",0.0163568055531787,0.042039889458144,-175.99827749395,-182.940765875859,17,12,35.735781774347,0,0,0,0,0.000444821306160487,0.00155862436034682,0.597880345897708,0.774434365465319,FALSE,FALSE,FALSE,"Other","unclassified"
"Pocillopora_acuta_HIv2___RNAseq.g10157.t1",0.21284922201008,0.335185783947051,-142.848196599838,-146.40137924263,17,12,30.3840525534939,0,0,0,0,0.317590297983449,0.408932350129334,0.659034441542779,0.826643432232874,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___TS.g28301.t1",0.847973841277344,0.92073642034385,-123.936703371238,-124.940931056631,17,12,13.0360463322208,0,0,0,0,0.318785096427851,0.40996282819465,0.840331644563811,0.9578935807617,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___TS.g10172.t1",0.824413979250979,0.904726055198604,-67.3342846276174,-68.4218707800487,17,12,2.12551087757741,0,0,0,0,0.482523423843454,0.56604189427024,0.99869545672211,1,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g27421.t1",0.0806652224508131,0.155153182165939,-97.0779930220858,-101.985242735976,17,12,4.84163564787239,0,0,0,0,0.28586511875687,0.376062130223909,0.00378857668377774,0.0113220387953972,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g27422.t1",0.0291204276476459,0.0678714686440461,-111.079833549183,-117.30463370499,17,12,5.89795963355978,0,0,0,0,0.00386808755673328,0.0104454278640629,0.145871900159853,0.259426059746642,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g27424.t1",0.601932637857632,0.732224646188713,-126.954560187501,-128.775846869107,17,12,12.4175659247974,0,0,0,0,0.752996360659954,0.809643138093634,0.171692886461223,0.296448063774965,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___TS.g10211.t1",0.259868329430406,0.391033243096455,-126.969267034766,-130.223309717789,17,12,5.34990713182351,0,0,0,0,0.0228499935818067,0.0480168003492278,0.809348180735647,0.93888153375478,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g27465.t1",0.888900057911616,0.949304459380561,-82.0539242136616,-82.9039230292993,17,12,1.46181129356423,0,0,0,0,0.871310820153535,0.910366686165193,0.979332946290295,1,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g27471.t1",0.664166585110449,0.783968920443966,-141.863373281559,-143.479701740444,17,12,6.94343804578614,0,0,0,0,0.411794055660937,0.499699969556179,0.961888924462429,1,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g27479.t1",0.600902520382903,0.731491730710247,-79.1682252457337,-80.9929559226376,17,12,1.0083031549004,0,0,0,0,0.536256015270262,0.616234854259842,0.580825184105758,0.759004553954821,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___TS.g10294.t1",0.525320576565942,0.663494226977828,-105.701434665238,-107.78603807235,17,12,6.16834677057067,0,0,0,0,0.137144942625983,0.210820775318582,0.971627833485977,1,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___TS.g10396.t1",0.401141204407135,0.543921033765377,-124.417456848613,-126.978592280256,17,12,4.31188065052466,0,0,0,0,0.465906237277322,0.550562279159182,0.979919461047326,1,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g27689.t1",0.2942888328707,0.431274327553213,-110.343196497567,-113.405465292935,17,12,5.13419656821431,0,0,0,0,0.0956324094470981,0.15747840512479,0.872521483307399,0.97493653130101,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g27771.t1",0.094544172864188,0.176701849790025,-82.7533020878937,-87.4474357621859,17,12,1.74733130037241e-05,0,0,0,0,0.0696426475678719,0.121593088763759,0.93637788066523,1,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___TS.g10623.t1",0.932061994276316,0.976417935116162,-30.6210898716816,-31.2849099428374,17,12,1.37038602691918,0,0,0,0,0.801339040204005,0.850114717215146,0.871411430584602,0.974426634098697,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g28017.t1",0.412624337280703,0.555199154328132,-100.166959395651,-102.680334311228,17,12,3.31519915394664,0,0,0,0,0.0658604853282101,0.116078465449148,0.916567624189658,0.997564751741471,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g28123.t1",0.738601697599245,0.842355157520818,-105.301262035564,-106.675803808564,17,12,3.63524564322967,0,0,0,0,0.766806275305283,0.820882277980473,0.967758295088685,1,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g28136.t1a",0.859253853431659,0.929302734419106,-148.129957462437,-149.093078499896,17,12,29.3843749362465,0,0,0,0,0.00623290986952369,0.0158030908870377,0.740518848064013,0.8905868593887,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___TS.g11006.t1",0.999999870729763,1,-29.1082141261216,-29.1110558539682,17,12,0.00010845983286394,0,0,0,0,0.504888068107087,0.586730654489742,0.339169597604155,0.507634957623933,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g28225.t1",0.999999998757614,1,-40.1835100846378,-40.1839530686682,17,12,5.5669273890414e-05,0,0,0,0,0.439103342449265,0.52523507093315,0.517923133089266,0.698335682833499,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g28373.t1",0.0707286431101124,0.13962664934378,-105.561158095479,-110.642987674335,17,12,2.34907879758625,0,0,0,0,0.537525232405812,0.617437333460754,0.0724316168763328,0.145339205723773,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g28392.t1",0.129255409085806,0.226501219415419,-87.4004217185639,-91.666377767505,17,12,2.97017362510127,0,0,0,0,0.308298895356074,0.399315302880481,0.170622584146041,0.294967621209289,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___TS.g11293.t3",0.808736171683255,0.893496525109785,-93.3229478118418,-94.4645306775664,17,12,1.12632459988558,0,0,0,0,0.607522772047894,0.680326214872778,0.529505292006948,0.709448911520026,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g28522.t1",0.197319418456835,0.315794636533107,-79.9440363073869,-83.608387219561,17,12,15.9935380770202,0,0,0,0,1,1,0.193461615378732,0.326198360543601,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g28551.t1a",0.118310405573863,0.210845289418916,-94.5861703105689,-98.9745066578957,17,12,5.60605205453841,0,0,0,0,0.0920616081580746,0.152636347076417,0.0114351814988585,0.0298706390619008,FALSE,FALSE,FALSE,"Other",NA
"Pocillopora_acuta_HIv2___RNAseq.g27398.t1",0.0286126866061082,0.0668943585154615,-236.998563539639,-243.245501355472,17,12,418.817573194306,0,0,0,0,0.192896437140475,0.276480089576495,4.00090016371871e-06,2.27355778043537e-05,FALSE,TRUE,FALSE,"Monotonous",NA
"Pocillopora_acuta_HIv2___RNAseq.g27399.t1",0.0533397639364124,0.111096025330795,-256.859981684868,-262.311426330284,17,12,345.425351860895,0,0,0,0,0.168869226664832,0.249276005104614,0.407736292737025,0.584238020248254,FALSE,FALSE,FALSE,"Other",NA
