"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero","response_type"
"Pocillopora_acuta_HIv2___RNAseq.g27400.t1",3.2266786478044e-05,0.000238095749610603,-257.2385952668,-271.372382742282,17,12,917.954924113761,0,0,0,0,6.40953290695892e-19,2.18823193588258e-17,0.367214175377083,0.644857663963713,TRUE,FALSE,FALSE,"Transient"
"Pocillopora_acuta_HIv2___TS.g10157.t2",1.6848484430239e-09,3.23877235735422e-08,-236.144765059055,-260.937360263195,17,12,419.076307773202,0,0,0,0,5.75527080582735e-14,1.18320213160674e-12,1.34742397722998e-05,8.33133694587193e-05,TRUE,FALSE,FALSE,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g27405.t1",9.44740943460794e-14,3.59549579743339e-12,-303.79104280205,-338.875906297065,17,12,3030.49616749748,0,0,0,0,1.95976848128945e-18,6.43588822255884e-17,1.10552136403063e-15,2.71036838070222e-14,TRUE,FALSE,FALSE,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g27406.t1",8.03456482700597e-08,1.08883325765173e-06,-219.819327216144,-240.486023878925,17,12,315.817343195046,0,0,0,0,0.0516699375141413,0.114191469989513,9.09036933392233e-20,3.32945808856524e-18,FALSE,TRUE,FALSE,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.g27409.t1",0.0141946259615178,0.045108330158851,-330.022195087987,-337.138743106161,17,12,3210.88330960306,0,0,0,0,0.00635304138210342,0.019422081534834,0.0158120772478557,0.0478116913475888,FALSE,FALSE,FALSE,"Other"
"Pocillopora_acuta_HIv2___RNAseq.g27410.t1",0.000147632106169092,0.000902113173553999,-211.23547970349,-223.670399396339,17,12,164.781288995281,0,0,0,0,1,1,7.92314886381914e-10,9.7401479718966e-09,FALSE,TRUE,FALSE,"Monotonous"
"Pocillopora_acuta_HIv2___TS.g10174.t1",2.86353703047927e-18,1.90776043222659e-16,-259.316472399863,-305.197864306308,17,12,623.13692840501,0,0,0,0,3.51299113736609e-28,2.61138109669233e-26,2.28397125293388e-10,3.02591099269291e-09,TRUE,FALSE,FALSE,"Transient"
"Pocillopora_acuta_HIv2___TS.g10175.t2b",2.82194821760313e-05,0.000211540976669803,-234.461827219797,-248.744272217778,17,12,381.664099358726,0,0,0,0,0.766632347991601,0.901245291234368,7.02712347162808e-12,1.14699073214568e-10,FALSE,TRUE,FALSE,"Monotonous"
"Pocillopora_acuta_HIv2___TS.g10175.t2a",2.36202064176898e-06,2.3010259189344e-05,-193.237356544023,-210.2460878583,17,12,66.7192861905365,0,0,0,0,2.60993345403616e-05,0.000145893298097446,0.000199421373341599,0.000973086022223032,TRUE,FALSE,FALSE,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.g27418.t1",0.00121343774936806,0.00560820080795221,-248.603401381479,-258.637495593343,17,12,774.0939683322,0,0,0,0,0.0044923650172759,0.0143311377780138,0.000108861631070631,0.000564259577199192,FALSE,TRUE,FALSE,"Monotonous"
