"Gene","cluster","membership","response_type"
"Pocillopora_acuta_HIv2___RNAseq.10171_t",1,0.448205411421846,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.10431_t",6,0.70478948664587,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.10474_t",4,0.53680591306997,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.10518_t",6,0.849820251215702,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.10538_t",4,0.765267785417136,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.10616_t",3,0.834761895627084,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.10655_t",6,0.875371786721533,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.10794_t",3,0.581227370694023,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.10844_t",1,0.862099740216712,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.11055_t",4,0.515830758385051,"Other"
"Pocillopora_acuta_HIv2___RNAseq.11056_t",3,0.79258429511539,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.11061_t",1,0.288736999072266,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.11228_t",2,0.552696254930889,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.11263_t",4,0.975642557237378,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.11267_t",5,0.668538958232952,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.11479_t",4,0.963897294851588,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.11504_t",2,0.529398207365966,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.11590_t",3,0.792196003377762,"Other"
"Pocillopora_acuta_HIv2___RNAseq.11610_t",4,0.387341043998571,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.11672_t",2,0.227964908757578,"Other"
"Pocillopora_acuta_HIv2___RNAseq.11679_t",5,0.797134865483861,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.11750_t",3,0.883778611831889,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.11796_t",5,0.55182439930998,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.1179_t",6,0.796969814034984,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.11901_t",3,0.93494872913732,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.11917_t",5,0.863314039214282,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.12371_t",1,0.548599494547678,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.1237_t",1,0.675066817739959,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.12434_t",5,0.562726116852801,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.12612_t",5,0.281446640554289,"Other"
"Pocillopora_acuta_HIv2___RNAseq.1271_t",2,0.939122969957915,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.12803_t",1,0.815501663012571,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.12943_t",5,0.385481062804998,"Other"
"Pocillopora_acuta_HIv2___RNAseq.13017_t",3,0.956115843723155,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.13471_t",3,0.89045414621634,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.13673_t",6,0.808258539694196,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.13858_t",2,0.557868021185081,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.13956_t",2,0.50065582669728,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.14034_t",3,0.587734594292386,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.14108_t",5,0.876162239733294,"Other"
"Pocillopora_acuta_HIv2___RNAseq.1449_t",5,0.784431980114203,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.14501_t",5,0.803706321386245,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.14688_t",2,0.501033383098004,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.14721_t",3,0.805803023815039,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.14958_t",2,0.917647366425383,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.14995_t",3,0.325802705130861,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.1501_t",5,0.56170165674318,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.15066_t",3,0.408892751652671,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.15099_t",6,0.773928651064109,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.15343_t",5,0.799243653982751,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.1568_t",5,0.525106684051302,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.15738_t",3,0.926889662667147,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.15780_t",5,0.732050672626426,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.15878_t",1,0.309865265885203,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.15941_t",3,0.679864259732265,"Monotonous"
"Pocillopora_acuta_HIv2___RNAseq.1597_t",6,0.43950423802394,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.16206_t",2,0.653462067547716,"Transient"
"Pocillopora_acuta_HIv2___RNAseq.16683_t",4,0.975020097460371,"Monotonous"
