"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero","response_type"
"Porites_compressa_HIv1___RNAseq.g9685.t1",0.663081423224995,0.870888328267799,-84.6280921736595,-86.2479553490782,17,12,1.94030106634222,0,0,0,0,0.622737025743798,0.788761157408131,0.992404166306307,1,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9709.t1",0.184916732799239,0.390785672850848,-83.1427264324818,-86.9014132356364,17,12,16.6241617299774,0,0,0,0,0.0878745805119972,0.230365973818616,0.0310129823916631,0.116683852731846,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9710.t1",0.964276842484787,1,-62.3161798647209,-62.8054574005644,17,12,5.45799887415141,0,0,0,0,0.750023776822001,0.872789573434516,0.863285000399204,1,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___TS.g4355.t2",0.91047489562713,1,-72.7177780246444,-73.4789590795305,17,12,14.065236319762,0,0,0,0,0.632409189713371,0.795053106168242,0.749976310435479,1,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9732.t1",0.998801715762364,1,-63.6950487034358,-63.8083035318919,17,12,0.982127063808756,0,0,0,0,1,1,0.757235864620194,1,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9733.t1",0.0101401537138424,0.0458432997699316,-130.053468060279,-137.579741906756,17,12,20.8273629337322,0,0,0,0,0.0128146211492576,0.0586872504806581,0.223959243067281,0.50530057533079,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9734.t1",0.155588282571682,0.346322813088874,-106.618702490934,-110.624586298563,17,12,7.97075698888216,0,0,0,0,0.0157461619863926,0.0685717543687477,0.794914432255703,1,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9740.t1",0.833012139584047,0.976565874857181,-71.8016636151443,-72.8591725863651,17,12,2.84001848285568,0,0,0,0,0.637437754694943,0.799013229019595,0.998753973607127,1,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9741.t1",0.891369068130864,1,-82.4585807856806,-83.2987433793392,17,12,10.5740586321276,0,0,0,0,0.938820286248129,0.989521992649518,0.79826354229184,1,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9764.t1",0.989670077141211,1,-41.4855845501628,-41.7666653946172,17,12,0.000136474243435988,0,0,0,0,0.750243622037417,0.872896714194698,0.663363636992773,0.963911613791841,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9668.t2",0.0642582224998058,0.183685471792645,-379.063580692686,-384.271831305794,17,12,13771.7582002771,0,0,0,0,0.02283387749501,0.090466776205911,0.060478093162118,0.195538484912731,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9669.t1",0.00132358640113751,0.00937111443215873,-237.433677420617,-247.367204655867,17,12,805.541946617665,0,0,0,0,8.79523948083016e-07,2.95959270265585e-05,0.79261196377732,1,TRUE,FALSE,FALSE,"Transient"
"Porites_compressa_HIv1___RNAseq.g9670.t1",0.649812709202174,0.860901509123856,-81.6785112543283,-83.3416773595459,17,12,8.63302574747349,0,0,0,0,0.516091231639171,0.712518462322307,0.799475594261978,1,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___TS.g4315.t2",0.989551235800208,1,-317.707977612704,-317.990458406963,17,12,2236.5167579721,0,0,0,0,0.47682475186402,0.682220456843385,0.690717468130476,0.980212946129138,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9672.t1",1.02421751305633e-07,3.87314826257836e-06,-317.200622257518,-337.606403948592,17,12,3396.43617107499,0,0,0,0,0.12592159172158,0.294724706249759,5.51807997225836e-08,1.32376138392083e-06,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g9673.t1",0.0507138071953686,0.154553152357286,-235.649195098205,-241.166098289763,17,12,395.696414079788,0,0,0,0,0.544017726894821,0.732928322444008,0.00585946557876169,0.0307655515071269,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___TS.g4318.t1a",0.538374132586883,0.776900547779377,-219.573688579027,-221.612223178574,17,12,348.686085926066,0,0,0,0,0.52350649199079,0.718068177309324,0.0250940866121674,0.0987103489972395,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___TS.g4318.t1b",0.163966036812914,0.359126376996544,-124.350961770815,-128.282316660543,17,12,2.18974159803335,0,0,0,0,0.671729876430051,0.821869430390976,0.853878331111423,1,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9676.t1",0.193998527998176,0.40349580358041,-304.107202818805,-307.796298150498,17,12,2072.47367271048,0,0,0,0,0.0140242125081926,0.0627630881125233,0.746664660910749,1,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9677.t1",0.776547543624278,0.945608965359656,-226.804084517787,-228.053910305567,17,12,290.748399203125,0,0,0,0,1,1,0.0494417693032887,0.167643453587323,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9678.t1",0.000301875056650452,0.00293671233454856,-225.03234568347,-236.659192333365,17,12,330.468182734268,0,0,0,0,0.00293384400325639,0.0190588939833471,0.170176205262562,0.41642049266385,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.16_t",5.10792040653607e-05,0.000696562241153223,-161.833886225185,-175.456952992376,17,12,183.054455646931,0,0,0,0,0.167873825319257,0.357572418507554,2.91211397832643e-06,4.50280300855738e-05,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___TS.g4323.t1",0.208307582228348,0.423673304033568,-92.5221684784316,-96.107122737966,17,12,3.46433150499365,0,0,0,0,0.746531898822695,0.870347099886923,0.806503570343086,1,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.17_t",0.0539146436194824,0.161708638706831,-278.628090584754,-284.065610549896,17,12,1199.01948137577,0,0,0,0,0.000751976637398999,0.00673618172543932,0.319404926381722,0.637002556117975,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9681.t1",0.341337693534221,0.584822128296324,-200.969433554575,-203.796512964054,17,12,136.751325732557,0,0,0,0,0.372288245952274,0.590493287733598,0.864760766846498,1,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9686.t1",0.389654296425091,0.637695550100831,-368.093959325977,-370.703835715366,17,12,12818.8587356539,0,0,0,0,0.168528323858743,0.358411130155841,0.0769221530989421,0.234893239253151,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9687.t1",0.00812447825227504,0.0385761621085713,-191.156376584129,-198.950349864479,17,12,170.712332422304,0,0,0,0,0.139853430110975,0.317258065897428,0.259396720251213,0.557091995402417,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___TS.g4332.t1",0.00468382408888009,0.0252386695122484,-216.482768201688,-224.935195147754,17,12,189.303223243568,0,0,0,0,0.264024472694225,0.477066106034152,0.000814857684703035,0.00595799666698294,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9689.t1",0.00490269962496506,0.0261413921818347,-216.907502425931,-225.305669260506,17,12,191.438825234723,0,0,0,0,0.00129669887757184,0.0103120756558302,0.365686474035342,0.693867937344166,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9690.t1",0.850034429672641,0.985295375853605,-109.218991935245,-110.215775498805,17,12,5.41259346512612,0,0,0,0,0.517462307956277,0.713392311196955,0.906707991197334,1,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9691.t1",0.0408656827696053,0.131775716818715,-225.118166652789,-230.912949430003,17,12,254.625572892451,0,0,0,0,0.11498023907318,0.27801554376428,0.00265846536622611,0.0160841835053451,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9692.t1",0.992356211809931,1,-156.111844865716,-156.358638608676,17,12,45.7151695360834,0,0,0,0,0.0923205048486737,0.238742857614499,0.686928353511243,0.978296430518602,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9693.t1",0.21651320068305,0.434423200493204,-193.161202633851,-196.689172049438,17,12,133.057122779501,0,0,0,0,0.365535486878263,0.584821182621038,0.0142395246326139,0.0629276661629674,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___TS.g4339.t2",0.335514256879035,0.579242388432324,-154.790214794168,-157.644990645576,17,12,43.2604146323572,0,0,0,0,0.454522145969232,0.664312750504313,0.0140056256523006,0.0621136732429502,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9696.t1",0.569412664827097,0.801838497230269,-201.248894108669,-203.180024711041,17,12,63.7654768504607,0,0,0,0,0.17722455234239,0.370292484919824,0.501658260064744,0.833933298204133,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9697.t1",0.102548665771513,0.257185542728557,-243.172758108282,-247.756748358771,17,12,633.786386014224,0,0,0,0,0.000239362408852571,0.00277075846070522,0.250298204768226,0.544355529268892,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___TS.g4342.t1",0.0125646985696121,0.0541085045544764,-184.848669811964,-192.114298859325,17,12,140.459652275153,0,0,0,0,0.000433862246684903,0.00440138040068685,0.812079591317572,1,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___TS.g4343.t2",0.326242991581846,0.568627562710493,-258.646256074795,-261.545893222705,17,12,475.367131536556,0,0,0,0,0.0286225773958471,0.106379869915727,0.385557468866488,0.716206844455993,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9700.t1",0.0273345112246833,0.0975568457210169,-210.588711528305,-216.893085909521,17,12,215.730563070444,0,0,0,0,4.48987141220297e-06,0.000111908925534256,0.198847547148124,0.465331696135191,TRUE,FALSE,FALSE,"Transient"
"Porites_compressa_HIv1___TS.g4345.t1",0.189507225679617,0.397022837596664,-229.693541863032,-233.416691516778,17,12,328.935281592746,0,0,0,0,0.505537093383844,0.704681693343072,0.00489895333414617,0.0265069917461812,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9702.t1",0.214060728323886,0.431319354232084,-163.184333912401,-166.729139098319,17,12,44.0103480915627,0,0,0,0,0.898101742059002,0.963546950308867,0.0381492084167353,0.137403122991338,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___TS.g4347.t2",0.0526237683736882,0.158929214558875,-177.66403994243,-183.133026246678,17,12,100.000077102616,0,0,0,0,0.190235208926331,0.387088029294848,0.000758218126888064,0.00559896125286238,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9704.t1",0.674985311750883,0.87992300207005,-298.077337087807,-299.658470433101,17,12,2980.11955715831,0,0,0,0,0.112355307187328,0.27378763563145,0.370788558834998,0.699257898674525,FALSE,FALSE,FALSE,"Other"
