"Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_combined","converge_case","converge_control","converge_sigmoid","impulseTOsigmoid_p","impulseTOsigmoid_padj","sigmoidTOconst_p","sigmoidTOconst_padj","isTransient","isMonotonous","allZero","response_type"
"Porites_compressa_HIv1___RNAseq.g9669.t1",0.0013042522105908,0.0128297741177224,-237.41474593536,-247.365315202716,17,12,805.53279734466,0,0,0,0,8.87317872971988e-07,4.07083608851287e-05,0.792824255255637,1,TRUE,FALSE,FALSE,"Transient"
"Porites_compressa_HIv1___RNAseq.g9672.t1",1.16954763803212e-07,5.98889587571213e-06,-317.232773349088,-337.495843790784,17,12,3396.39530521354,0,0,0,0,0.12777840867248,0.409185362463413,6.24535596239311e-08,2.03167415251591e-06,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g9678.t1",0.00029484805485303,0.00397766926512678,-225.015464353628,-236.669024569851,17,12,330.464402149798,0,0,0,0,0.00289124276480819,0.0260857974597632,0.169264602607868,0.572030537353262,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.16_t",5.10904863125483e-05,0.000969581648704342,-161.834070302932,-175.456891036387,17,12,183.050743809625,0,0,0,0,0.167893485255274,0.488017183287668,2.91281102973943e-06,6.24471516124237e-05,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___TS.g4332.t1",0.00454855280659861,0.0340267591855438,-216.452347015698,-224.939560590877,17,12,189.300358742408,0,0,0,0,0.262481036481343,0.643368885919836,0.000788121694753714,0.00803976866727104,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9689.t1",0.00478360601811464,0.0353831774980594,-216.87945882905,-225.306848921254,17,12,191.43544730412,0,0,0,0,0.00126748787586052,0.0140176557066766,0.364086865724028,0.947881322833245,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9713.t1",0.00034846687785906,0.00455991082681897,-169.155205133556,-180.619097385586,17,12,50.744132875032,0,0,0,0,0.00352379245142296,0.0303154454934734,0.00730033214139447,0.0508161413704253,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9719.t1",0.000101559383993395,0.00168623749510073,-129.809535538372,-142.66460602161,17,12,21.7293794096982,0,0,0,0,0.0281127191140577,0.144597297479718,2.74671841295621e-05,0.000450203581241549,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g9725.t1",0.00126117424766749,0.0124989863294674,-250.771155950986,-260.760607260735,17,12,322.34271794034,0,0,0,0,8.10620548031593e-06,0.000247536150471367,0.86591719950855,1,TRUE,FALSE,FALSE,"Transient"
"Porites_compressa_HIv1___RNAseq.g9727.t1",0.000167819664422131,0.00253312975370693,-209.886917365796,-222.177513500874,17,12,175.916651301102,0,0,0,0,0.61630887519137,1,6.29660090718237e-11,3.86598684205803e-09,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g9747.t2",0.00150077744400934,0.0143221741944599,-216.987711405131,-226.775562052095,17,12,238.089164919165,0,0,0,0,1.18540488395909e-05,0.000333321253074537,0.0012021578079165,0.0114809662761029,TRUE,FALSE,FALSE,"Transient"
"Porites_compressa_HIv1___RNAseq.g9748.t1",1.42302741670255e-05,0.000344345700569146,-218.115755224991,-233.155218565373,17,12,294.840737459328,0,0,0,0,0.00695310571912312,0.0510293564391979,1.83405816498767e-08,6.70576423831623e-07,FALSE,TRUE,FALSE,"Monotonous"
"Porites_compressa_HIv1___RNAseq.g9752.t1",0.000250052252432796,0.00349126468504094,-209.574704920106,-221.414960014713,17,12,171.08111948215,0,0,0,0,1.40533640563496e-08,1.18202351977463e-06,0.0123256282888862,0.0775996630649937,TRUE,FALSE,FALSE,"Transient"
"Porites_compressa_HIv1___TS.g4400.t1",0.00539647523308529,0.0388772129542197,-216.458062285181,-224.742030882043,17,12,72.2797439838737,0,0,0,0,0.00207037907184749,0.020313972607224,0.126941457325385,0.467140463839499,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9759.t1",0.00644858638134761,0.0445156735187556,-269.977662067383,-278.048949847052,17,12,392.352609911792,0,0,0,0,0.0630585562348179,0.253489976504581,0.0190239931896086,0.109754247111048,FALSE,FALSE,FALSE,"Other"
"Porites_compressa_HIv1___RNAseq.g9766.t1",6.28696625635266e-05,0.0011406353065097,-183.306834925038,-196.698325888543,17,12,91.179755881389,0,0,0,0,1.85063741427005e-06,7.30240199453844e-05,8.75687975266194e-07,2.17667768006219e-05,TRUE,FALSE,FALSE,"Transient"
"Porites_compressa_HIv1___RNAseq.g9772.t1",5.16323185429871e-06,0.000148004928654539,-244.364895488501,-260.518745421133,17,12,563.404264869744,0,0,0,0,1.20568077541215e-05,0.000337537813577793,4.45397070740043e-06,9.09140992611156e-05,TRUE,FALSE,FALSE,"Transient"
"Porites_compressa_HIv1___RNAseq.g9780.t1",6.12744051419413e-05,0.00111750762473325,-194.185660493346,-207.605832394293,17,12,71.0206248467357,0,0,0,0,1.41069727585129e-06,5.88747370163226e-05,0.296118254365072,0.833534354150089,TRUE,FALSE,FALSE,"Transient"
