"Gene","cluster","membership","response_type"
"Porites_compressa_HIv1___RNAseq.10026_t",1,0.800541645756477,"Transient"
"Porites_compressa_HIv1___RNAseq.10306_t",1,0.607996764592372,"Other"
"Porites_compressa_HIv1___RNAseq.10550_t",3,0.403459100019795,"Monotonous"
"Porites_compressa_HIv1___RNAseq.10657_t",2,0.893951976634792,"Monotonous"
"Porites_compressa_HIv1___RNAseq.10692_t",2,0.516696855147009,"Monotonous"
"Porites_compressa_HIv1___RNAseq.12122_t",3,0.859571010922092,"Other"
"Porites_compressa_HIv1___RNAseq.12131_t",6,0.903571217282059,"Monotonous"
"Porites_compressa_HIv1___RNAseq.12682_t",2,0.979797363025058,"Monotonous"
"Porites_compressa_HIv1___RNAseq.12797_t",6,0.639611543629419,"Other"
"Porites_compressa_HIv1___RNAseq.12816_t",2,0.911592343641452,"Monotonous"
"Porites_compressa_HIv1___RNAseq.12829_t",1,0.4429302806431,"Other"
"Porites_compressa_HIv1___RNAseq.12889_t",5,0.717339323206744,"Other"
"Porites_compressa_HIv1___RNAseq.14661_t",3,0.878571720499482,"Transient"
"Porites_compressa_HIv1___RNAseq.14802_t",6,0.61634661642873,"Transient"
"Porites_compressa_HIv1___RNAseq.14822_t",3,0.887913861195743,"Monotonous"
"Porites_compressa_HIv1___RNAseq.14969_t",2,0.462385022628688,"Other"
"Porites_compressa_HIv1___RNAseq.15443_t",6,0.660475959974375,"Other"
"Porites_compressa_HIv1___RNAseq.1619_t",4,0.628014311557186,"Transient"
"Porites_compressa_HIv1___RNAseq.16535_t",3,0.866329480262396,"Other"
"Porites_compressa_HIv1___RNAseq.16752_t",4,0.74293382725727,"Other"
"Porites_compressa_HIv1___RNAseq.16822_t",3,0.79793654325319,"Monotonous"
"Porites_compressa_HIv1___RNAseq.16_t",3,0.591560372097904,"Monotonous"
"Porites_compressa_HIv1___RNAseq.17335_t",4,0.652792743141343,"Transient"
"Porites_compressa_HIv1___RNAseq.17553_t",6,0.440281065621143,"Monotonous"
"Porites_compressa_HIv1___RNAseq.17674_t",3,0.55339733727012,"Other"
"Porites_compressa_HIv1___RNAseq.1874_t",2,0.818953576683856,"Other"
"Porites_compressa_HIv1___RNAseq.1906_t",2,0.54678342221703,"Monotonous"
"Porites_compressa_HIv1___RNAseq.20305_t",6,0.86078040872313,"Other"
"Porites_compressa_HIv1___RNAseq.2061_t",1,0.903345721956291,"Other"
"Porites_compressa_HIv1___RNAseq.20647_t",3,0.545481454686722,"Monotonous"
"Porites_compressa_HIv1___RNAseq.20866_t",2,0.618504994647932,"Monotonous"
"Porites_compressa_HIv1___RNAseq.20915_t",2,0.610322821696873,"Monotonous"
"Porites_compressa_HIv1___RNAseq.20962_t",4,0.924257487032196,"Other"
"Porites_compressa_HIv1___RNAseq.21694_t",3,0.428420127583233,"Other"
"Porites_compressa_HIv1___RNAseq.21847_t",6,0.28298091842811,"Other"
"Porites_compressa_HIv1___RNAseq.21849_t",6,0.308851073684349,"Other"
"Porites_compressa_HIv1___RNAseq.22107_t",2,0.544184297189695,"Monotonous"
"Porites_compressa_HIv1___RNAseq.22528_ta",2,0.739999751713003,"Other"
"Porites_compressa_HIv1___RNAseq.2256_t",1,0.895984117796935,"Monotonous"
"Porites_compressa_HIv1___RNAseq.22797_t",2,0.730560249074992,"Monotonous"
"Porites_compressa_HIv1___RNAseq.23186_t",5,0.836891058122634,"Other"
"Porites_compressa_HIv1___RNAseq.23198_t",1,0.844869251496176,"Other"
"Porites_compressa_HIv1___RNAseq.23482_t",6,0.613348178554515,"Other"
"Porites_compressa_HIv1___RNAseq.23572_t",5,0.847180703129351,"Transient"
"Porites_compressa_HIv1___RNAseq.23819_t",2,0.800561087861319,"Other"
"Porites_compressa_HIv1___RNAseq.24064_t",5,0.930752653873993,"Transient"
"Porites_compressa_HIv1___RNAseq.24627_t",1,0.85264108604936,"Other"
"Porites_compressa_HIv1___RNAseq.24693_ta",5,0.978291750557103,"Transient"
"Porites_compressa_HIv1___RNAseq.2489_t",1,0.44243453215958,"Transient"
"Porites_compressa_HIv1___RNAseq.25145_t",2,0.31851337070412,"Other"
"Porites_compressa_HIv1___RNAseq.25265_t",2,0.615165331123112,"Monotonous"
"Porites_compressa_HIv1___RNAseq.25441_t",4,0.76104678904539,"Transient"
"Porites_compressa_HIv1___RNAseq.2604_t",2,0.440644368862708,"Other"
"Porites_compressa_HIv1___RNAseq.26486_t",6,0.955752534619363,"Monotonous"
"Porites_compressa_HIv1___RNAseq.26964_t",1,0.674032283868216,"Other"
"Porites_compressa_HIv1___RNAseq.27143_t",6,0.694496611755471,"Other"
"Porites_compressa_HIv1___RNAseq.28103_t",6,0.920452692275771,"Other"
"Porites_compressa_HIv1___RNAseq.28330_t",6,0.760262138375618,"Other"
"Porites_compressa_HIv1___RNAseq.28704_t",2,0.822542723900359,"Other"
"Porites_compressa_HIv1___RNAseq.29365_t",2,0.513669647397389,"Other"
"Porites_compressa_HIv1___RNAseq.29492_t",2,0.72747908229557,"Monotonous"
"Porites_compressa_HIv1___RNAseq.29529_t",2,0.789103656820552,"Other"
"Porites_compressa_HIv1___RNAseq.30279_t",6,0.639874388308548,"Other"
"Porites_compressa_HIv1___RNAseq.30483_t",5,0.955200573785673,"Transient"
"Porites_compressa_HIv1___RNAseq.30547_t",3,0.720042182306695,"Other"
"Porites_compressa_HIv1___RNAseq.30573_t",3,0.689298076208915,"Monotonous"
"Porites_compressa_HIv1___RNAseq.30850_t",3,0.909546129570298,"Other"
"Porites_compressa_HIv1___RNAseq.30879_t",1,0.445283574419928,"Transient"
"Porites_compressa_HIv1___RNAseq.31261_t",3,0.807192229913545,"Monotonous"
"Porites_compressa_HIv1___RNAseq.32297_t",1,0.965467675840868,"Other"
"Porites_compressa_HIv1___RNAseq.32321_t",3,0.929068359065529,"Other"
"Porites_compressa_HIv1___RNAseq.3237_t",5,0.983549726687081,"Transient"
"Porites_compressa_HIv1___RNAseq.32672_t",5,0.940184781852861,"Transient"
"Porites_compressa_HIv1___RNAseq.32725_t",4,0.495655910475739,"Other"
"Porites_compressa_HIv1___RNAseq.32790_t",1,0.876052000504978,"Monotonous"
"Porites_compressa_HIv1___RNAseq.3348_t",5,0.58417192854901,"Transient"
"Porites_compressa_HIv1___RNAseq.33512_t",3,0.56434759605072,"Other"
"Porites_compressa_HIv1___RNAseq.33623_t",2,0.959863761126434,"Monotonous"
"Porites_compressa_HIv1___RNAseq.33676_t",2,0.495629466947657,"Monotonous"
"Porites_compressa_HIv1___RNAseq.33903_t",5,0.845652247284474,"Other"
"Porites_compressa_HIv1___RNAseq.34236_t",6,0.505753342920604,"Other"
"Porites_compressa_HIv1___RNAseq.3489_t",3,0.406993798178948,"Other"
"Porites_compressa_HIv1___RNAseq.3490_t",2,0.724363395295558,"Monotonous"
"Porites_compressa_HIv1___RNAseq.35718_t",1,0.199127034983022,"Other"
"Porites_compressa_HIv1___RNAseq.36189_t",1,0.551490646107384,"Other"
"Porites_compressa_HIv1___RNAseq.37026_t",2,0.613240759795823,"Monotonous"
"Porites_compressa_HIv1___RNAseq.37390_t",1,0.862310208715183,"Monotonous"
"Porites_compressa_HIv1___RNAseq.37463_t",2,0.809569190795552,"Other"
"Porites_compressa_HIv1___RNAseq.37565_t",1,0.550873401735833,"Monotonous"
"Porites_compressa_HIv1___RNAseq.37716_t",2,0.717739412631426,"Other"
"Porites_compressa_HIv1___RNAseq.37833_t",4,0.590496691538722,"Transient"
"Porites_compressa_HIv1___RNAseq.38136_t",6,0.929632411648325,"Monotonous"
"Porites_compressa_HIv1___RNAseq.38169_t",3,0.756709119509384,"Other"
"Porites_compressa_HIv1___RNAseq.38388_t",3,0.969136585283368,"Other"
"Porites_compressa_HIv1___RNAseq.38615_t",6,0.815388964322404,"Other"
"Porites_compressa_HIv1___RNAseq.39516_t",1,0.596844685219802,"Other"
"Porites_compressa_HIv1___RNAseq.39518_t",1,0.612739531888328,"Other"
"Porites_compressa_HIv1___RNAseq.40614_t",6,0.719316547401238,"Other"
"Porites_compressa_HIv1___RNAseq.4146_t",1,0.68722297948407,"Other"
