"","sample","species","time","replicate","treatment"
"POC_R0_C1","POC_R0_C1","POC","0","C1","C"
"POC_R0_C2","POC_R0_C2","POC","0","C2","C"
"POC_R0_C3","POC_R0_C3","POC","0","C3","C"
"POC_R0_H1","POC_R0_H1","POC","0","H1","H"
"POC_R0_H2","POC_R0_H2","POC","0","H2","H"
"POC_R0_H3","POC_R0_H3","POC","0","H3","H"
"POC_R1_C1","POC_R1_C1","POC","1","C1","C"
"POC_R1_C2","POC_R1_C2","POC","1","C2","C"
"POC_R1_C3","POC_R1_C3","POC","1","C3","C"
"POC_R1_H1","POC_R1_H1","POC","1","H1","H"
"POC_R1_H2","POC_R1_H2","POC","1","H2","H"
"POC_R1_H3","POC_R1_H3","POC","1","H3","H"
"POC_R3_C1","POC_R3_C1","POC","3","C1","C"
"POC_R3_C2","POC_R3_C2","POC","3","C2","C"
"POC_R3_C3","POC_R3_C3","POC","3","C3","C"
"POC_R3_H1","POC_R3_H1","POC","3","H1","H"
"POC_R3_H2","POC_R3_H2","POC","3","H2","H"
"POC_R3_H3","POC_R3_H3","POC","3","H3","H"
"POC_R12_C1","POC_R12_C1","POC","12","C1","C"
"POC_R12_C2","POC_R12_C2","POC","12","C2","C"
"POC_R12_C3","POC_R12_C3","POC","12","C3","C"
"POC_R12_H1","POC_R12_H1","POC","12","H1","H"
"POC_R12_H2","POC_R12_H2","POC","12","H2","H"
"POC_R12_H3","POC_R12_H3","POC","12","H3","H"
"POC_R24_C1","POC_R24_C1","POC","24","C1","C"
"POC_R24_C2","POC_R24_C2","POC","24","C2","C"
"POC_R24_C3","POC_R24_C3","POC","24","C3","C"
"POC_R24_H1","POC_R24_H1","POC","24","H1","H"
"POC_R24_H2","POC_R24_H2","POC","24","H2","H"
"POC_R24_H3","POC_R24_H3","POC","24","H3","H"
"POC_R72_C1","POC_R72_C1","POC","72","C1","C"
"POC_R72_C2","POC_R72_C2","POC","72","C2","C"
"POC_R72_C3","POC_R72_C3","POC","72","C3","C"
"POC_R72_H1","POC_R72_H1","POC","72","H1","H"
"POC_R72_H2","POC_R72_H2","POC","72","H2","H"
"POC_R72_H3","POC_R72_H3","POC","72","H3","H"
"POC_R120_C1","POC_R120_C1","POC","120","C1","C"
"POC_R120_C2","POC_R120_C2","POC","120","C2","C"
"POC_R120_C3","POC_R120_C3","POC","120","C3","C"
"POC_R120_H1","POC_R120_H1","POC","120","H1","H"
"POC_R120_H2","POC_R120_H2","POC","120","H2","H"
"POC_R120_H3","POC_R120_H3","POC","120","H3","H"
