"sample","ME25","ME5","ME10","ME9","ME26","ME23","ME12","ME22","ME27","ME7","ME21","ME8","ME3","ME29","ME6","ME17","ME31","ME4","ME11","ME15","ME1","ME16","ME18","ME19","ME20","ME2","ME30","ME28","ME13","ME14","ME24","ME0"
"MON_R0_C1",0.0350612499194305,-0.0437170732481902,0.0386520581492796,-0.0226465958001306,-0.0384501152195463,-0.137388531543516,0.0608360916404042,-0.037487372186637,-0.00802290087443488,0.106031006627439,0.148882714304265,0.0521127433581667,0.123454279298391,0.0414078350009283,0.0753610814359827,0.0580041264040539,-0.176582906043179,-0.133425968795805,-0.110044635250896,-0.125225015734187,-0.105182243792754,-0.0550237711151543,0.0080151735783778,0.0176864846303895,-0.0278940461886794,0.157953197426661,0.0358004456180618,0.00542206574857162,0.0190382683972298,0.108332746431639,0.110059867555593,-0.0156862019499837
"MON_R0_C2",0.0856847628051667,0.144065573554406,0.0531024240411346,0.0138198302240645,0.0152084951246617,0.0513266918359956,0.0725255794816428,-0.0396743366802493,-0.00576677953748828,0.0626959962769744,0.122663297161584,-0.0326299486274286,0.0913817696396673,-0.0794320387490495,0.0470540222831994,0.00928378815968334,-0.165058549257141,-0.141724717138828,-0.121885701037059,-0.0527514634951937,-0.0984525354506722,-0.105339001330141,-0.0972433066468051,-0.0237579437903692,-0.0956090036544058,0.170659108795536,0.0428432935185828,-0.0059007170706224,0.0364022487777388,0.102875933753731,0.117649567472876,-0.0294582708092512
"MON_R0_C3",-0.0502792549369908,-0.0635862174423437,-0.0218258262278584,0.028025187828692,-0.114624940415139,0.109373301995687,-0.149760092193638,0.273910744475667,-0.0487438766107451,0.0619900689362119,0.0212001480854741,0.248914078899165,0.112180947689847,0.0568095394860469,0.130815794009593,0.045156621426841,-0.0270652568367832,0.184623761916548,-0.174992584459493,-0.1756576705197,-0.126358486770325,-0.108120555548402,-0.0911017938327104,-0.0612910432678605,0.0261680790375409,-0.0535128084882561,-0.199648037051089,0.0638905505634272,-0.121090501983731,0.177503526720082,-0.193817110231159,-0.0196748746598012
"MON_R0_H1",-0.0890744050457568,0.182450590305461,0.146753478682152,0.225461842592939,0.0253818881360984,0.256564288064063,-0.207844801518186,0.155334404400413,-0.197531724224019,-0.04308595959404,-0.0991776080571629,0.0429393870240548,0.0809902516793187,0.103308090884437,0.00759532220185389,0.128004571116771,-0.0538807678186324,0.12955841363216,-0.18961265141182,0.0374152950863719,-0.113270075218095,-0.0270272360669081,-0.0366415945455695,-0.134609974171092,0.00566539379790729,-0.0792365207213901,-0.187344774458573,-0.0157233239637116,-0.127047039875296,0.10808838497507,-0.203703603862004,-0.0233960152149897
"MON_R0_H2",-0.00283117708415753,0.0495091405407222,0.0369178194343354,0.0797229913011992,-0.0978475883531094,-0.165561960027817,0.0580118684596328,-0.0289037984804923,-0.00834099966849861,0.185720050772381,0.210001832485607,0.0224221859877924,0.106587081404343,0.0737053676673062,0.072261946979759,0.070853951811356,-0.163282226625184,-0.136145155098268,-0.119294103457061,-0.13880676390033,-0.113722703026106,-0.134767628581003,-0.0734231764673466,0.123160980528133,-0.0492502524987707,0.167104950348301,0.0105707677326782,-0.030696905753813,0.0179887663478395,0.100472850380371,0.124482661216169,-0.0152915726033045
"MON_R0_H3",0.0488647717627974,-0.156536075551411,0.0446158456437111,-0.10173921250264,-0.116729206104159,-0.142307270291422,-0.272361265975408,-0.175127877560829,-0.00760300213640789,0.0659314984634572,0.0530791647570838,0.173072056048971,0.141246193243945,0.115924700727608,0.17864564611352,0.0929401991924488,-0.0500857876542848,0.196947723870037,0.236857112902768,-0.0799434137922489,-0.0982857571960191,-0.0861896361903052,-0.0084187963634042,-0.0196095432582219,-0.0776142982647455,-0.160645291187531,-0.232860925808967,0.248499538591816,0.032184837731664,0.208723433589042,0.236443574092801,-0.223392388572631
"MON_R1_C1",-0.0323610438566391,-0.0348322244424331,0.0220584129577939,0.0444911154288342,-0.199058919711443,0.326135366902629,0.096711494198111,0.0114605702886806,-0.0143503498452594,0.182440236976248,0.134639343845364,-0.0628352341839701,0.0741402408085444,0.0252309469498107,0.0963694028637919,0.0753268455450036,-0.107623647720251,-0.126069067529975,-0.10999285624647,-0.0407947960966231,-0.0925586193041022,-0.16222366447477,-0.119890160086808,0.0643919525693607,-0.040327165497961,0.175989383434779,0.0828684817363507,-0.0748297828925335,0.0214815114621012,0.126618987876305,0.123236907599347,-0.01177715814139
"MON_R1_C2",0.0385253091039779,0.160405123220989,0.06268570437588,0.0626297975170022,-0.0640967034737845,-0.141919406598384,0.0520125712725008,-0.0699157090421964,-0.0496836805504128,0.155198066220486,0.23460671805335,-0.00162457938829266,0.126114969863455,0.0578213502487566,0.0960010590868617,0.0840578095522779,-0.178111784702271,-0.147729953992077,-0.121604609581549,-0.104187783725528,-0.135233123822971,-0.169115572586898,-0.169096045087418,0.0311007171909494,-0.117658526466488,0.162123161957502,0.036355023815174,-0.062761616670799,0.00990828311121401,0.117867353496821,0.114202287997343,-0.0158531946518949
"MON_R1_C3",0.165579756467526,0.0436806909304914,0.0767089670443364,0.246133968323967,0.0494931371663585,-0.091300304773503,-0.00051922487194596,-0.0789090181625619,-0.0675619162537925,-0.0512499523030528,-0.0742820916968248,0.0163173138926579,0.11656066577291,0.136410258620122,0.00661007372548662,0.138754651211292,-0.170873714314975,-0.148483706509332,-0.121729915770985,-0.119582181380619,-0.0981798456123189,0.045299094083496,0.0688269129508076,-0.139660358747543,-0.0147911570261365,0.12990622204519,0.0203988359584847,0.00398804592774727,0.00853308545671225,0.0627522985649523,0.0949619749817297,-0.0156744450896553
"MON_R1_H1",0.190990798899717,0.0484385742522057,0.147464908674847,0.0891816901773419,0.0918749196799408,0.224000845583575,-0.0431599336294599,-0.115543040400266,-0.142787086198168,-0.0483037741141718,0.00213787419355517,-0.0724510769401332,0.0307260050835111,0.0782096212551131,-0.122063734139064,0.0989341666445584,-0.135638992180792,-0.18229158282403,-0.159889144973104,0.0411951323266333,-0.0564786125813874,0.101188640600771,0.0636324253638485,-0.0666444518918304,-0.0838372195664241,0.0901043834695709,0.0265200319165397,-0.182221841031521,0.0360376860561686,0.0254815393213816,0.00265720202090273,-0.0158141074872981
