"module","treatment_time","correlation","pvalue","label"
"ME25","0hr-Control",0.0423012105681447,0.795505065785751,""
"ME25","1hr-Control",0.103097974910068,0.526692596726688,""
"ME25","3hr-Control",0.313669426260824,0.0487272206126515,"0.31"
"ME25","12hr-Control",0.18369532808874,0.256526720987565,""
"ME25","24hr-Control",-0.0627049545476386,0.700693834009003,""
"ME25","72hr-Control",-0.0629953696810266,0.699372375354042,""
"ME25","120hr-Control",0.0972054821283217,0.550705947809863,""
"ME25","0hr-Heat",-0.0258374081556398,0.874256125930933,""
"ME25","1hr-Heat",0.192821765881921,0.233234742091373,""
"ME25","3hr-Heat",0.479264865950986,0.00175461350484624,"0.48"
"ME25","12hr-Heat",-0.396238243615009,0.0113699696594011,"-0.4"
"ME25","24hr-Heat",-0.309766699993098,0.0517561976931516,""
"ME25","72hr-Heat",-0.209761038857283,0.193914546279998,""
"ME25","120hr-Heat",-0.430177736313406,0.00559561338064409,"-0.43"
"ME5","0hr-Control",0.0220684066815948,0.892482732469393,""
"ME5","1hr-Control",0.101602968016162,0.532736176091684,""
"ME5","3hr-Control",-0.0567773197214001,0.727851120661666,""
"ME5","12hr-Control",0.0735939009759964,0.651771771932407,""
"ME5","24hr-Control",0.0945294482796061,0.561779468578864,""
"ME5","72hr-Control",0.15029899229981,0.354599358336295,""
"ME5","120hr-Control",0.425564472420181,0.00618770319164267,"0.43"
"ME5","0hr-Heat",0.0452768372579285,0.781459341591257,""
"ME5","1hr-Heat",-0.12708298960624,0.434547955389177,""
"ME5","3hr-Heat",0.12542777626632,0.440604336880531,""
"ME5","12hr-Heat",-0.234691413121918,0.144923399051918,""
"ME5","24hr-Heat",-0.137805311519525,0.396451014200759,""
"ME5","72hr-Heat",-0.0502075423519144,0.758337046749189,""
"ME5","120hr-Heat",-0.452245298793259,0.00339208840575429,"-0.45"
"ME10","0hr-Control",0.0419781879213929,0.797033736520413,""
"ME10","1hr-Control",0.0969203229093625,0.55188102078413,""
"ME10","3hr-Control",0.0841676455952572,0.605602445286395,""
"ME10","12hr-Control",0.0340518736730345,0.834765058479693,""
"ME10","24hr-Control",0.189217110909054,0.242255978505035,""
"ME10","72hr-Control",0.0790389885933376,0.627821983619157,""
"ME10","120hr-Control",0.375017066789734,0.0171091625254047,"0.38"
"ME10","0hr-Heat",0.137040823806696,0.399101363113502,""
"ME10","1hr-Heat",0.102375488538612,0.529609053689557,""
"ME10","3hr-Heat",0.279674370333092,0.0804997808683074,""
"ME10","12hr-Heat",-0.464822433750952,0.00251228230646548,"-0.46"
"ME10","24hr-Heat",-0.386609311943119,0.0137296849708629,"-0.39"
"ME10","72hr-Heat",-0.192804515552148,0.233277361689994,""
"ME10","120hr-Heat",-0.453765453758035,0.00327313343162583,"-0.45"
"ME9","0hr-Control",0.0115248172014992,0.943731799112422,""
"ME9","1hr-Control",0.212058984774904,0.188964512681298,""
"ME9","3hr-Control",0.0273994531543282,0.866720381919361,""
"ME9","12hr-Control",-0.109670181127429,0.500529360357329,""
"ME9","24hr-Control",0.186943786466505,0.248064913898485,""
"ME9","72hr-Control",-0.0499450710026431,0.759562874032647,""
"ME9","120hr-Control",-0.0171378281682547,0.916407768740169,""
"ME9","0hr-Heat",0.122128452334761,0.452813911952798,""
"ME9","1hr-Heat",0.179246149650998,0.268425054722982,""
"ME9","3hr-Heat",0.371404087405827,0.0182958690547426,"0.37"
"ME9","12hr-Heat",-0.0378961349455281,0.816414236456447,""
