"","MEmagenta","MElightcyan","MElightyellow","MEpurple","MEyellow","MEgrey60","MEcyan","MEbrown","MEred","MEblue","MEgreen","MEblack","MElightgreen","MEgreenyellow","MEmidnightblue","MEturquoise","MEsalmon","MEtan"
"POC_R0_C1",0.00893055084539813,-0.0685945935298524,0.0320435427178356,-0.0252041092393652,-0.0999191123057112,0.0153461538882863,0.160163487583273,0.148869144285579,0.222741264600751,0.105486592121411,0.0803415125751192,-0.024124222306396,0.0250207206659723,-0.0651498586460319,-0.087346433328131,-0.120544244064287,-0.0668838959690201,-0.0978576620740393
"POC_R0_C2",-0.170710993016137,0.105919191236251,0.045702171524219,-0.0969282832466466,-0.118580299283075,0.0828497008508894,0.0158576092837188,0.169463459845054,0.132547455069854,0.159836005032465,0.101317548687884,-0.0185317998766564,0.03521149182911,-0.142423533136168,-0.0909635526202545,-0.14931402118762,-0.0545434108593913,-0.0978757990051009
"POC_R0_C3",0.0493505678863986,0.0294926425329656,0.00263365224089629,-0.0666403060067726,-0.104960689174582,0.00791171876025198,0.00948276143771536,0.127045437796082,0.0763172758483111,0.14727464703056,0.115305008995017,-0.011474742006906,0.0113972003635043,-0.120866520080306,-0.0751294051015985,-0.14235178811516,-0.0815979569742288,-0.115722447846329
"POC_R0_H1",0.184981352119608,-0.113789028737335,-0.0531582148282033,-0.0368890822461032,-0.104995680106013,0.0340681158173834,0.0728100149051494,0.117115036454659,0.146542552274113,0.0992110739860334,0.0793846535033662,-0.00443713155785546,0.0282292977025831,-0.0763435475109003,-0.0541643073161187,-0.118715013083541,-0.0241176168840685,-0.0990894311590083
"POC_R0_H2",-0.1819394058354,0.104081358599092,0.00686475965720017,-0.113247438427529,-0.128931473751317,-0.0376118952375451,-0.0328845869029757,0.14880333731755,0.102348565870233,0.174016727669161,0.142802449487314,0.0252288916661866,0.0237821830212732,-0.113671777781075,-0.0547156686679489,-0.159969179126018,-0.0835845428091355,-0.110089052805363
"POC_R0_H3",-0.134763804572424,0.210818844070738,-0.0363788701645131,-0.0728547137011763,-0.0883960625095671,-0.00917446329742346,-0.259299822137288,0.0608561661676546,-0.142962448955437,0.141395084164429,0.120259127973709,0.0911660563176125,-0.0228676760242754,0.033492572312586,0.174958204066943,-0.123165543231014,-0.0846498937719624,-0.117518268739424
"POC_R1_C1",0.219607630567291,-0.125578119447057,-0.0462116548573516,0.00519490518964742,-0.0586957036086366,0.139555824453368,0.0519459419930431,0.0760307199394108,0.112076992464882,0.0575151390089273,0.0356893915094101,-0.0120148795380552,-0.0617267539904099,-0.0181676267073275,0.0225272442279453,-0.0974232261079216,-0.0749174467395418,-0.111508001909218
"POC_R1_C2",0.135654465167396,-0.222521248472325,0.00850425597928249,0.0225329813267884,-0.0868323808778774,0.145596914633219,0.159054841851375,0.150204032478186,0.236482817863321,0.0739108069843869,0.0527387147886371,-0.054746175169249,-0.0185093995735353,-0.0498597740071671,-0.078119301838893,-0.105550971599397,-0.0311398379468441,-0.11367636303038
"POC_R1_C3",-0.163742276135793,0.176249029248715,0.0551899470518487,-0.0692152374786837,-0.0982311883183593,0.0766649758986273,-0.146410628753053,0.114294418533569,-0.0057839864426586,0.160580076021961,0.135598545002738,0.0312966588451352,-0.0131918766741173,-0.0830269309857206,0.00698769715008295,-0.14082354323953,-0.0504358529854319,-0.10416293823204
"POC_R1_H1",-0.166802965913987,0.174573281198232,0.411288991822247,0.216182982684337,0.0792061481526542,0.00467811095047876,0.285054632910796,0.235193609629011,0.246329095492254,0.0647014070114156,-0.061572338811458,-0.327807833479349,-0.0178354649813628,-0.333902133583109,-0.463698773234595,-0.0929518351424365,-0.0630213480206416,-0.0959167836732946
