"","MEdarkmagenta","MEgrey60","MEivory","MEorangered4","MEsienna3","MEdarkturquoise","MEfloralwhite","MEyellow","MEpurple","MEturquoise","MEroyalblue","MElightsteelblue1","MEdarkorange","MEsteelblue","MEdarkgreen","MEtan","MEorange","MEsalmon","MEdarkolivegreen","MElightcyan","MEmagenta","MEbrown","MEred","MEblack","MEdarkgrey","MEplum1","MEviolet","MEgreenyellow","MEpaleturquoise","MEsaddlebrown","MEskyblue","MEwhite","MEyellowgreen","MElightyellow","MEpink","MEdarkred","MElightcyan1","MEcyan","MElightgreen"
"POR_R0_C1",-0.0635769974634617,0.0345290058580184,-0.00243586943094343,0.0344348309823478,0.131769416005488,-0.0347026196238356,-0.00993325864949386,-0.0122382368106809,-0.0305138082405743,0.0413836636411972,0.0482864653156043,0.305086078450576,0.118817639771642,0.285819250857578,0.150905737084831,0.120289680367414,0.209272753709973,0.154229416057885,-0.0256957166593495,-0.0285287532313594,0.00675641450582681,-0.0233307355879052,0.0101629017912648,-0.02130759826047,-0.000695520650722477,-0.0560293258388291,0.049741449310579,-0.0336202049572594,-0.0859122478776587,-0.00870528688487798,-0.0870238532504235,-0.0367561942424176,0.00600071348584072,-0.00841222726203847,-0.0425443754599619,-0.0400825520129119,-0.0966789953889292,-0.137908745392791,-0.0223667334797045
"POR_R0_C2",-0.189432443724216,0.103644051196538,-0.0217399469830675,0.0901435205774782,0.195795836470727,-0.122546146879947,-0.143679437409783,-0.100371731682759,-0.10719509031424,-0.0460066729002034,-0.0696035182628791,0.300231081031664,0.193120460088368,0.29277559816309,0.152830318579552,0.186448660012711,0.228640588706043,0.0926499385485792,0.0499004122736916,0.00141090218180917,0.0561549325431474,-0.0332963923657132,0.0530138973791811,-0.0461200844424651,-0.0273309131857807,0.0024882565003882,0.164730241023818,0.264791330825538,0.0919478149636448,-0.257795224751248,-0.235663592568579,0.0903801074656961,0.107510826473625,-0.134935382238908,-0.0845333318232704,0.0116098589308621,-0.0980642807716542,-0.131783775834993,-0.0200396519935593
"POR_R0_C3",-0.168211810114364,-0.138845914288778,-0.132825809173766,-0.200822437583818,-0.112070620592491,-0.0939552108218079,-0.136857336446155,-0.0937348204213565,-0.0259906834768548,-0.0211974632771808,-0.0380232550535755,0.0137396927128021,0.144474126316622,0.192903861420704,0.207408661716603,0.206034817635354,0.221886244649025,0.127012663193161,0.118606535424236,0.0335566217735682,0.090681975268029,0.0773930061720525,0.129403419991556,-0.00670130926825374,-0.0169922930205361,0.0081754338773124,0.0234069467321162,-0.0490125206689138,0.00310178726353638,0.0452457472092639,0.103315932426875,0.126602976502509,0.126365697858884,0.162104286991166,0.213084117906853,0.0505217956182303,-0.0787218468803877,-0.096125275340019,0.0565390362068502
"POR_R0_H1",-0.0406960238943831,0.0118098168114159,0.0846321900217705,-0.0223754604688688,0.050133374285779,-0.0932047087575112,0.158000636964688,0.0680537441109805,0.0658180709594361,0.12815905683545,0.354395763213199,-0.122542426971212,-0.170135123084937,-0.100126519566958,-0.0662453835881804,-0.116340604179273,-0.00857658477544424,0.083726362776869,0.00104440378295293,0.0747358958880662,-0.0387167640659797,0.0248600041867034,-0.0699387403942751,0.0376072330000642,0.0782665658679887,0.0515837069579668,0.273094412967355,-0.0633868646365018,-0.0628455688300815,-0.0179628902483739,-0.0800883173815773,0.0213247589343164,-0.0441691602812367,0.125071925218983,-0.125043007281904,-0.165075925837711,-0.166207986671359,-0.131716954153544,-0.10438889842633
"POR_R0_H2",0.167351326092448,-0.011918451383287,0.10400179527151,-0.149367498592475,-0.047709113330309,-0.0656676486686364,-0.137258290807358,0.170653324202192,0.125448368600596,0.153585889433346,-0.0544897836439263,-0.098479674508095,-0.123241998927629,-0.0857951962270569,-0.0972763742097107,-0.156091853854589,-0.0361984835741934,0.118797121038666,-0.0944107401558055,0.0390188073135914,-0.0750698599632784,0.0102814912700897,-0.0824552287570107,0.0720287125811125,0.098327078165989,0.052505971190773,0.026187117868145,-0.0667272776428367,0.0306816234364605,0.0943639029177729,0.0645167473477726,0.0747992770758372,-0.0802093369056657,0.125947098103262,0.164568558457471,-0.164113761211695,-0.132634110985495,-0.124435523167527,-0.138859660586686
"POR_R0_H3",0.0106719988790605,-0.0271914243276171,0.0696691680418282,-0.0189031946158456,0.0288681036443712,-0.087170288827697,0.16537645341589,0.0956596742524449,0.0743337213552941,0.11911466757638,0.374975058908237,-0.0971489902701108,-0.142572408128423,-0.0738468641881922,-0.00494341800720145,-0.07454196705623,0.0442161119022908,0.0943712404893916,-0.0467966288559225,0.046089452961297,-0.0387510048974145,0.0276102388907146,-0.0465797143242222,0.0370847039936214,0.0888109211479968,0.0196685828487527,0.236746941072798,-0.0614019768797282,-0.0634259090013138,-0.0277697144562676,-0.0691053600664663,0.0265136048256019,-0.0679777834114424,0.130087732033374,-0.10896843425896,-0.142939003482275,-0.152133663415247,-0.134990675642715,-0.0798555119513954
"POR_R1_C1",0.0863780781659582,0.154701627472609,0.236327121391639,0.169949222307671,0.0971556001852534,0.250199875195417,0.176555821219837,0.150807251999078,0.140800401976883,0.179947470838024,-0.0723554959924213,-0.0726597293216188,-0.174480699884644,-0.119559284703968,-0.143212741605089,-0.164155400429813,-0.0775539387958794,0.0357988878406719,-0.0184560853016861,0.0873546150093409,-0.0630521684650445,-0.0111608289145636,-0.130195195757699,0.0613082443250092,0.119004316211211,0.0135753424995428,-0.180554283112177,-0.113567110822081,-0.0771993822434338,0.149570989758156,0.0270849989120632,-0.220285791888349,-0.194772881761305,-0.162951107108177,-0.122186312256414,-0.172513433768926,-0.109222360513163,-0.140014804746516,-0.151246260862767
"POR_R1_C2",0.00196757709948399,-0.0917706724557757,0.00541037402409365,-0.0243892469209731,0.00115836042972374,-0.0804861916891781,0.159047285125189,0.107848069389589,0.131732049942866,0.101974231693533,0.378943306690767,-0.110564059257005,-0.127723263456242,-0.0931515404007217,-0.056421389248704,-0.109692830221848,0.0120872988556566,0.0518363666620423,0.0124791722382156,0.114535369078288,0.000473614986622314,0.0975834144512474,0.00777582922520815,0.0741131618131937,0.13776571717693,0.0745382150082069,0.227507756253748,-0.0425676853368496,0.0125511556035387,-0.0107642923870618,-0.0497024155539464,0.0454853796719227,-0.0277844844020396,0.162399034760947,-0.103586140289452,-0.130501024772451,-0.118543942543882,-0.124858162419841,-0.0981578971960624
"POR_R1_C3",-0.233119908351697,-0.0625129644188579,-0.189171706329189,-0.00719624172632073,0.0919159765872741,-0.0524531053722842,0.0158794337278475,-0.15211476818642,-0.0959824971882685,-0.0405460019930326,0.0478281733087524,0.380103474225552,0.247763951748205,0.383937744843028,0.277179435121087,0.277764818929036,0.340243951474709,0.110937758437475,0.11515983763554,-0.022050112164809,0.103670627809629,0.0106623063290904,0.117125261846959,-0.0421170648474146,-0.0584721909303861,-0.0287527795949,0.0556101248706329,-0.0158623849111755,-0.035950297659624,-0.0229022170538892,-0.0697199426194706,-0.0145632168178782,0.118609103022824,0.0124515712450862,-0.0292905900726535,0.050424996777921,-0.0942946810775804,-0.105163361236093,0.0724633062897905
"POR_R1_H1",0.0545159392674083,0.231660344503943,0.19028636697955,0.143640042741638,0.231258015371982,-0.109431660658415,-0.166871988092362,0.119040519460158,0.027823106536548,0.103997362855006,-0.0858479237703195,0.0417396232478972,-0.119817967152636,-0.0890909284005137,-0.15084085862064,-0.176381785583206,-0.0480621112688428,0.0198090469456327,-0.080875764859208,0.0611190071911969,-0.06950899494028,-0.0819559191880658,-0.103219478595543,0.0380196183287973,0.0907036584196454,0.0428084652300999,0.198092683002534,0.323838239815994,0.38591927184045,-0.265037843538665,-0.241793175744769,0.178665799961618,-0.0500771837073531,-0.175854759383632,-0.0853245588769053,-0.155358428204712,-0.0964643152699375,-0.121768806999911,-0.160062947039562
