"gene_id","module","color","kME_own","kME_20","kME_16","kME_23","kME_2","kME_4","kME_18","kME_7","kME_13","kME_12","kME_17","kME_19","kME_8","kME_22","kME_9","kME_24","kME_1","kME_5","kME_15","kME_11","kME_14","kME_21","kME_10","kME_3","kME_6","kME_0"
"Pocillopora_acuta_HIv2___RNAseq.g25244.t1","ME0","grey",0.901011927292318,-0.304759938071124,-0.531184219228712,-0.284449497250615,-0.626827446610492,-0.426741170192789,-0.466146476504639,-0.59745239370596,-0.394327135997539,-0.206789963919838,0.171927358360775,0.541149628786548,0.206536083934903,0.202008333653664,0.480643573190955,0.273132395438978,0.549417269464128,0.575566153563453,0.0406046397269435,0.128682253469721,0.351449221594926,-0.0477400240815804,0.146083213270106,-0.0336214132397954,0.0699696861927068,0.901011927292318
"Pocillopora_acuta_HIv2___RNAseq.g14717.t1","ME0","grey",0.899131433591384,-0.3227183333682,-0.59265031159949,-0.503374890898097,-0.578752907703816,-0.601074737197036,-0.252280613986442,-0.588363147447154,-0.30787055067749,-0.407091233268741,0.0619570138842235,0.460590761927,0.402756958277872,0.407948957837796,0.559181163412212,0.206354277423697,0.524817372145154,0.615217370544491,0.04994103925809,0.0643409500845073,0.409950587688918,0.0969855826199727,0.302135859668489,-0.0360021083585656,-0.0196311413096917,0.899131433591384
"Pocillopora_acuta_HIv2___RNAseq.g13820.t1","ME0","grey",0.896084334727779,-0.422691312216362,-0.544643434578412,-0.437628399618588,-0.600807843925375,-0.567763098305752,-0.338631546442943,-0.686767331715346,-0.343270396477312,-0.539115887451929,0.140595160050747,0.289420003129436,0.373289376941896,0.403804672223541,0.549491620772341,0.384792266861492,0.466471503172771,0.693537004153534,0.161001991198398,0.349836691543371,0.534130955487439,0.238140100583831,0.185250033401916,0.0349992180848962,0.0931655210579359,0.896084334727779
"Pocillopora_acuta_HIv2___RNAseq.g23449.t1","ME0","grey",0.892109272090738,-0.415058110023727,-0.497319311304756,-0.401034393227802,-0.605432927380775,-0.548691830411093,-0.321917606378002,-0.623032049673541,-0.313776455175225,-0.445443267229637,0.172702580855035,0.369334513381391,0.377020739896533,0.372437458594548,0.531933098304018,0.398915407438233,0.502502390604175,0.653540791026304,0.0607772294975905,0.317735229829311,0.447942468645788,0.151723199511665,0.131301495028614,-0.022844719328166,0.0657870937364307,0.892109272090738
"Pocillopora_acuta_HIv2___RNAseq.g12336.t1","ME0","grey",0.880631880747853,-0.0821595164255535,-0.355189629528133,-0.0573616136224674,-0.476498558433837,-0.321984453527762,-0.431865506692497,-0.594609478842709,-0.519086174465419,-0.121656407174266,0.39228990844933,0.55393943605718,0.107512303709792,0.196164886597464,0.44978156983449,0.288572392208658,0.411694392037728,0.418520974066707,0.0400883134581936,0.286513748411266,0.316393677376337,-0.02364569412448,0.0586188461580282,0.0396374316900551,0.0185774077234295,0.880631880747853
"Pocillopora_acuta_HIv2___RNAseq.g5089.t1","ME0","grey",0.868389758678209,-0.210135247190087,-0.592575709691043,-0.431998888793834,-0.501663101758381,-0.426093113253855,-0.458093576710586,-0.655584881457994,-0.479153193215424,-0.337671715189019,0.0970459362392973,0.426158732144584,0.145501033541657,0.196909975178165,0.518686215789637,0.221764264465166,0.429594498050785,0.530774727067038,0.000471925204743696,0.145291740432832,0.434470779366672,0.0488712519249099,0.210189417158684,0.0846171519678767,0.134594045567363,0.868389758678209
"Pocillopora_acuta_HIv2___RNAseq.g7297.t1","ME0","grey",0.866726881086693,-0.268359006927321,-0.388244384204762,-0.291509832146231,-0.549800221635976,-0.463600172505477,-0.331090209868518,-0.595055152495171,-0.345308759000303,-0.313281077033407,0.2857976085294,0.446008893411764,0.288280394760838,0.275345650743045,0.487944353090431,0.316740638203966,0.457293203186501,0.551499230992488,0.116027213116277,0.252021045002315,0.390345291416187,0.0664338516314623,0.08621368249037,-0.0050945081990264,0.0166382827951149,0.866726881086693
"Pocillopora_acuta_HIv2___RNAseq.g4949.t2","ME0","grey",0.854515268949801,-0.467133713766463,-0.475074749869795,-0.414403017726584,-0.58318310479984,-0.529849392333831,-0.317239110842773,-0.698878411786181,-0.301015475805016,-0.561028939544899,0.107073398793657,0.243151310671436,0.366037849813812,0.496599912142148,0.523006262168922,0.327116081257144,0.421178553564021,0.706171610951096,0.0973436141275514,0.343677389891535,0.588784604739206,0.307025571988302,0.23485711821944,0.0737490387632097,0.145112892022221,0.854515268949801
"Pocillopora_acuta_HIv2___RNAseq.g7533.t1","ME0","grey",0.849902899103557,-0.432508561414022,-0.47522317329051,-0.326797596218397,-0.560834387251924,-0.50921232948027,-0.37013330795149,-0.752011445380973,-0.377690259552351,-0.558156875176637,0.142008369468416,0.184117675292181,0.285893932422415,0.459716213348489,0.613276343728094,0.296389202418166,0.382910513034212,0.677126027719951,0.125457684887859,0.324718178108988,0.634379523852582,0.272868313851371,0.267150264481631,0.128090946246279,0.14913811797374,0.849902899103557
"Pocillopora_acuta_HIv2___RNAseq.g15601.t1","ME0","grey",0.838269749018786,-0.0467124632152947,-0.296025218159942,-0.157333973880702,-0.421112921717087,-0.206595832366752,-0.498794104413943,-0.581556083895185,-0.578056465500161,-0.0322716116303874,0.421166155269537,0.571753133197266,-0.0260932279472258,0.122759272616288,0.461433450068483,0.183556586619405,0.380012827630929,0.328768566212615,-0.218296267605873,0.147322184522904,0.267816287117338,-0.12416044638955,0.0787080962585248,0.0529419992788317,0.108599649667157,0.838269749018786
