"sample","ME20","ME16","ME23","ME2","ME4","ME18","ME7","ME13","ME12","ME17","ME19","ME8","ME22","ME9","ME24","ME1","ME5","ME15","ME11","ME14","ME21","ME10","ME3","ME6","ME0"
"POC_R0_C1",-0.0355924844227539,0.154467886270078,0.0637036100568596,0.0706288073551442,0.192932842690399,-0.0851299245613058,-0.0446012893509921,0.0154010971273888,-0.0284274111210593,-0.1461335388926,-0.111334372687578,-0.120872116686804,-0.126498012079435,-0.128187386426397,-0.0704173968923496,-0.125136911230209,-0.0514262665645154,-0.0124489467870224,0.0188199899335001,0.0237038389032048,0.0092696790139223,0.0132086750105691,0.124741629202162,0.224360738680595,-0.0778989573750336
"POC_R0_C2",0.0187766320937426,0.0249668141668253,0.04004044413248,0.137007853771849,0.166337220459796,-0.0648951961626236,-0.0120966634465886,-0.128044074906176,0.0101187349155408,-0.120753833261313,-0.0564482970098347,-0.139783574489567,0.0916179987806137,-0.0771632586415635,-0.249629332290858,-0.135606757391213,-0.17007110808388,0.0951527361945416,-0.140745954234305,-0.110701883449433,0.0281284719804723,0.14188719152562,0.167632399725207,0.12483060448806,-0.0473348577303927
"POC_R0_C3",-0.0143597517108772,0.143913365976077,0.067032688401272,0.141579221881715,0.126682683625408,-0.053525816485141,-0.019199456378315,-0.0766572254133016,-0.023363085296952,-0.122424866330149,-0.119098259414907,-0.120886049484158,-0.0552533742401995,-0.0431786476322164,-0.0371775788990953,-0.143360577176735,-0.13169934385258,-0.0263633001214602,0.0659072081644412,-0.0306052581512248,0.0463676798379969,0.0571240957270631,0.112881330153793,0.0667939733082398,-0.0650987297957403
"POC_R0_H1",-0.0641041857535309,0.133602372934639,0.0763138069541625,0.0742074156908006,0.165124781116354,-0.052473206097931,-0.0138837888025145,-0.0286390080315591,-0.0174859863673175,0.0668486345336686,-0.114480517788975,-0.0856682681301952,-0.0890526754003214,-0.149583172771815,0.0815864414444613,-0.128833251968451,-0.0610386950632611,-0.00968780445040442,0.192847490867943,0.0239387956063005,0.091197560021396,-0.0578340696820438,0.096515532379274,0.140192594104802,-0.100124064813671
"POC_R0_H2",0.000986191483645172,0.150693138294061,0.07977070287001,0.177070169092946,0.1359429378718,-0.01821304535326,0.0278682002793079,-0.0755638649362263,-0.00661714035540362,-0.140187311160937,-0.10791539022034,-0.113091667845478,-0.0295489829991554,-0.0284701340259913,-0.263174449194303,-0.151671238384881,-0.186011418467415,-0.0725180071216916,-0.150325915275762,-0.133696178245407,-0.00613717739498531,0.144967133550801,0.142906595580142,0.0876787724004855,-0.0589239543460847
"POC_R0_H3",0.108246457792165,0.0848763838460666,0.0769571609025036,0.171036993731357,0.000703649202987179,0.184797707017236,0.0853651716048037,0.0938918705494434,-0.0421642889119844,-0.069365344295743,-0.0339201391651076,0.0881978595394899,0.142539686039271,-0.081476206059649,-0.236086647635393,-0.134644377320474,-0.117077660042435,-0.0359103442649453,-0.138718928166768,-0.0879168673770445,0.159841061995093,0.161343297376217,0.0707187716823739,-0.167145057765822,-0.0725222290405778
"POC_R1_C1",-0.0665247502963817,0.136108833426061,0.133684707316974,0.0408342592886231,0.0758756823098602,0.018087128266218,-0.0343883258901711,0.050876995962782,-0.108415615618927,0.0347261843777719,-0.170817306562993,-0.0168966772758386,0.0261554777186941,-0.134760214995567,0.100352016856226,-0.118277345047765,0.00710723949767496,0.106619976315798,0.222240841627466,0.106235424769775,0.158045624434043,-0.130109260329431,0.0625367634916139,0.105255670367874,-0.113870623134225
"POC_R1_C2",-0.05112486381749,0.237442090175711,0.145416540431028,0.0254813583353965,0.163295844833933,-0.137039995316372,-0.0697477746608699,0.00377336493524369,-0.077243968489032,0.0557057103491997,-0.116219003070006,-0.0819634990904857,-0.209079446081049,-0.177736729147282,0.00244167674657653,-0.127913330783701,0.00906615184183903,0.133302732395815,0.153055500386871,0.0981175953638475,0.0975051823495031,-0.0945385520024402,0.140913883969152,0.237365596910125,-0.0664275575175815
"POC_R1_C3",0.125050280185383,0.110499032547733,0.13000406413564,0.185565458068846,0.0296021505722727,0.0555581466654495,0.0299833500499292,-0.0392931368567839,0.00470118667395475,-0.0416741137048627,0.0103496032547965,-0.0535757876166317,-0.0332026835782079,-0.0571455124127131,-0.249466259979581,-0.135192594187661,-0.156134949418858,0.0801184287448689,-0.149469902120572,-0.0686805263547464,0.0410335811512644,0.19681394733757,0.117967521780266,-0.0243539163380507,-0.0446890052012293
"POC_R1_H1",-0.105305225096868,-0.060272955864842,0.0659415070827516,-0.0212597473873624,0.11804153435932,-0.399200539665415,-0.311972641943293,-0.355652057043676,-0.0406737626953803,-0.00853780664389819,-0.0794549670359312,-0.344811497805481,-0.0282072380375522,0.190593626661295,-0.196149913835672,-0.062250976554158,0.0265877022061325,-0.0316512883756248,-0.127904519054101,0.237446079163297,-0.0777410558088606,0.273701070207855,0.265049833225172,0.256239934881907,0.165136466658622
"POC_R1_H2",-0.0548855216707816,0.0284864121645803,0.0860718297538408,0.0646620628470558,0.18516913629098,-0.324799259370027,-0.175435921784597,-0.322505288973067,0.0476465765979061,-0.171654066131113,-0.0918616676473674,-0.343079543504569,-0.112692997389658,0.258104472031238,-0.234852405034444,-0.0737513139477804,-0.150381309924494,-0.0667894362233865,-0.196622753810612,-0.0693187381564808,-0.181412987334201,0.170903681642808,0.191713787449173,0.230919037151877,0.0780178727295756
"POC_R1_H3",-0.162166332745541,0.240024433355068,0.135148088245099,0.00600304782134324,-0.0745021716198378,0.153312320039153,0.0027432059467307,0.0721960456840011,-0.120768693298622,0.31355349490719,-0.224611629374615,0.124527710014498,0.202687348467265,0.266336623845547,0.171556612257597,-0.0383486855275122,0.0515437670547625,-0.135603973996952,0.295380437385807,0.0237474899879577,0.152958413437021,-0.140478785688546,-0.0437088407614986,-0.0576679270894731,-0.027358070794829
"POC_R3_C1",0.133995678386531,-0.102648114364693,-0.0894451829673979,-0.00539733579305246,-0.0731218883958108,0.13537046218619,-0.149451081039328,0.120375650238236,-0.164838204229683,0.000816078324351955,0.0556541389252357,0.132753702872608,0.2798641734597,-0.218148132414427,-0.155969487148802,-0.0823014295706812,0.193161501032161,0.149141472671465,-0.0493905191491349,0.41691788897117,0.338766305395204,0.271798874378559,0.12782054611355,-0.00159402801937108,-0.0284199387352374
