"module","treatmentH.time_factor1","treatmentH.time_factor3","treatmentH.time_factor12","treatmentH.time_factor24","treatmentH.time_factor72","treatmentH.time_factor120","AveExpr","F","P.Value","adj.P.Val"
"ME1",0.0726923052884415,0.375384425264707,0.285066327695935,0.315544259433761,0.30023397567069,0.311665568710327,2.31296463463574e-18,42.5334082195985,1.29250812334761e-13,3.23127030836903e-12
"ME0",0.160673719248524,0.573908142046718,-0.0444462950932395,0.0385872019286354,0.0810181840453946,0.121381789489315,5.33014439463826e-17,29.6793959170037,1.53609895301985e-11,1.92012369127481e-10
"ME2",-0.0918581359727412,-0.401108264744419,-0.357653679209926,-0.32929089157389,-0.22348985355636,-0.258607333196024,4.6878836791278e-18,12.5524718121704,3.87504026756927e-07,3.2292002229744e-06
"ME12",0.0305860573900479,-0.203551114564449,-0.126453040170151,0.170671650417895,0.257990099881943,0.295437772254872,1.72439774100075e-17,11.2172811391114,1.22538050753293e-06,7.65862817208079e-06
"ME3",0.0622503567037291,-0.0595212270757221,-0.209443488485722,-0.235126754242301,-0.338571459102788,-0.28196583037344,5.68947997180488e-18,10.6133055097952,2.12271476199711e-06,1.04516266965952e-05
"ME7",-0.195253199845847,-0.364796230436412,-0.00711042451738947,0.0830406803700594,0.154932711610341,0.0927286829035585,1.0036614396723e-17,10.4338659776934,2.50839040718284e-06,1.04516266965952e-05
"ME19",-0.0499354798725363,0.166964125156902,-0.173346847913521,0.161461124876634,0.214670078043083,0.316252418824958,3.65531018152256e-18,7.96686049491935,3.02519958223022e-05,0.000103832172403502
"ME23",-0.0614029383126717,-0.243209176641606,-0.0776402539790617,0.00220272486901094,-0.0835969858700907,-0.165054713393108,2.21383757886564e-17,7.88111942642734,3.32262951691206e-05,0.000103832172403502
"ME13",-0.26676924171591,-0.299595389541353,0.211952687516232,0.261035900733819,0.0732492358188452,0.11269313048603,1.40016966275271e-17,7.07825463892256,8.21299262754987e-05,0.000228138684098607
"ME9",0.365225799750307,0.459645981547948,0.196821947118867,0.0808463275856152,0.166253048983256,0.0280247271449687,4.04768811061255e-18,6.17887661393602,0.000240749949552348,0.000601874873880869
"ME20",-0.135353937715623,-0.355614275822567,-0.394829598885367,-0.219692712016511,-0.120408086201094,-0.111547422538634,6.51037590240105e-18,5.77885975127025,0.000397324668951714,0.000903010611253896
"ME5",0.0262142574959601,0.321063429342966,0.333935159515954,0.206059218546562,0.0503272791171757,0.0965764118480988,1.30723804796824e-17,5.66712734583894,0.000458202818095326,0.000954589204365262
"ME21",-0.187971877143321,-0.134884858832872,-0.114868125143949,-0.335313935466955,-0.378729383771511,-0.374095656911728,-5.26612483778674e-17,4.57072915161824,0.00197834060970331,0.00380450117250637
"ME17",-0.0540014588169934,-0.0310767397565752,-0.267696980343085,-0.111323669686052,0.188135016100817,0.188577219840874,1.23573233325907e-17,4.232101053426,0.00318459984535352,0.00568678543813129
"ME16",-0.107211965052162,-0.362217208639811,-0.254346524498498,-0.168532426426961,0.0059520900151019,-0.0519125715981681,-2.89120579329468e-19,4.0598166480106,0.00407570722801278,0.00679284538002131
"ME15",-0.126543063643115,0.0928864488241189,0.157958793605584,0.00783706674430209,-0.379450972280665,0.0790820366735195,1.17506864027477e-17,3.72285123478771,0.00666160472974347,0.0104087573902242
"ME6",0.155494233913931,0.150300343104504,0.0364942344143329,0.107569054048703,-0.188674164145672,-0.218260652091035,7.88369865421602e-18,2.63563039707471,0.0350109810543865,0.0507487132094187
"ME14",0.0454244281781985,0.0886155196506902,0.124221723112235,-0.101984033380431,-0.185843403525393,-0.139894718835206,1.62940097922107e-17,2.60845101592596,0.0365390735107815,0.0507487132094187
"ME11",-0.0715982263114826,0.174951347205989,0.0461524766448327,-0.225168083259896,-0.182974021830734,-0.294918386271733,1.2803911370305e-18,2.57044036358719,0.0387916117565515,0.0510415944165151
"ME4",0.0480387332996194,-0.27565644637299,-0.236196324908194,-0.0945699087909291,-0.0985122247415382,-0.0476066419864112,1.59274462005609e-17,2.43151743707549,0.0483050898676404,0.0603813623345505
"ME24",-0.0174409309776029,0.31420940115762,0.345382707132201,0.0580318778438161,0.172751402261595,0.052713559434853,1.08936503997353e-17,2.17242855386855,0.072875755172849,0.0867568513962488
"ME18",-0.274985050462233,-0.367220031675161,-0.0535247615522864,-0.0849045680488602,0.0304123021392941,-0.0992878469604219,1.16474290529871e-17,1.53890683683776,0.198541731079352,0.225615603499264
"ME8",-0.227302343845647,0.0896765883695564,0.15755442942189,0.0710967211070923,0.0870024668613689,0.00022236968702839,-9.08664677892613e-18,1.51003275425251,0.207653358424263,0.225710172200286
"ME10",0.0985678107248983,-0.00903869310380706,-0.099013252665106,-0.22728671044758,-0.15753972144467,-0.113198854704885,-6.30902407036803e-18,1.2726662915838,0.298412608717827,0.310846467414403
"ME22",0.0546141166006009,0.0508936822930688,-0.0748990012764431,-0.223535422319374,0.0367229786681144,-0.0177600391056866,-4.22219303170784e-17,0.766100566869409,0.602164970681023,0.602164970681023
