"module","treatment_time","correlation","pvalue","label"
"ME20","0hr-Control",-0.0186786976029303,0.906536143976232,""
"ME20","1hr-Control",0.00443406977562184,0.977766673464736,""
"ME20","3hr-Control",0.207302264285262,0.187741150899849,""
"ME20","12hr-Control",0.1034005559514,0.51463384729446,""
"ME20","24hr-Control",0.0860802636299619,0.587793618047528,""
"ME20","72hr-Control",0.276444297551446,0.0763590608414468,""
"ME20","120hr-Control",0.382992659809656,0.0122991849605999,"0.38"
"ME20","0hr-Heat",0.0270384792653574,0.865032039261675,""
"ME20","1hr-Heat",-0.193138532317983,0.220392505446371,""
"ME20","3hr-Heat",-0.386173773471188,0.0115368293051706,"-0.39"
"ME20","12hr-Heat",-0.560562439487158,0.000112940887655056,"-0.56"
"ME20","24hr-Heat",-0.263085724691456,0.0923101883619867,""
"ME20","72hr-Heat",0.105735878153485,0.505130503565096,""
"ME20","120hr-Heat",0.228210699148525,0.146056790898907,""
"ME16","0hr-Control",0.19373227685637,0.218949795267152,""
"ME16","1hr-Control",0.29001596068708,0.0624536110801214,""
"ME16","3hr-Control",0.0500240076138871,0.753060839147673,""
"ME16","12hr-Control",-0.0448874364001987,0.777738766552826,""
"ME16","24hr-Control",0.243949209128443,0.119497450850696,""
"ME16","72hr-Control",0.0953586369674466,0.548029238698956,""
"ME16","120hr-Control",-0.0810475383230185,0.609885043099652,""
"ME16","0hr-Heat",0.221187380452337,0.159218894791613,""
"ME16","1hr-Heat",0.124764625742545,0.431136090986218,""
"ME16","3hr-Heat",-0.573582439812916,7.16168198154835e-05,"-0.57"
"ME16","12hr-Heat",-0.474603441154059,0.00149527765453625,"-0.47"
"ME16","24hr-Heat",-0.0315216121901038,0.842913985488102,""
"ME16","72hr-Heat",0.133512229935609,0.399268130479887,""
"ME16","120hr-Heat",-0.146901859503423,0.353225086967319,""
"ME23","0hr-Control",0.102319978415882,0.519061183381153,""
"ME23","1hr-Control",0.245113275067575,0.117688366594681,""
"ME23","3hr-Control",-0.0777105734744857,0.624725374540987,""
"ME23","12hr-Control",-0.445213561790359,0.00313210544027444,"-0.45"
"ME23","24hr-Control",0.203417574599663,0.196332783784642,""
"ME23","72hr-Control",0.149830721865961,0.343602626868382,""
"ME23","120hr-Control",0.25669723840927,0.100795047808146,""
"ME23","0hr-Heat",0.139625679451656,0.377830361215363,""
"ME23","1hr-Heat",0.172051242871334,0.27592492642154,""
"ME23","3hr-Heat",-0.477557332317316,0.00138311629981773,"-0.48"
"ME23","12hr-Heat",-0.547461098347102,0.00017529825445741,"-0.55"
"ME23","24hr-Heat",0.24468252835863,0.118355368342032,""
"ME23","72hr-Heat",0.0368763524710887,0.816652515408449,""
"ME23","120hr-Heat",-0.00267202558179746,0.986600858508432,""
"ME2","0hr-Control",0.209230841799056,0.18357641027955,""
"ME2","1hr-Control",0.150913208890776,0.340087395563624,""
"ME2","3hr-Control",0.0607792721304303,0.702193356934561,""
"ME2","12hr-Control",0.258508392955111,0.0983310983195582,""
"ME2","24hr-Control",0.28649426074983,0.0658516456048221,""
"ME2","72hr-Control",0.209543633507155,0.182907194592578,""
"ME2","120hr-Control",0.164916999609467,0.296625370172599,""
"ME2","0hr-Heat",0.253027537022207,0.105932180240527,""
"ME2","1hr-Heat",0.0296009610434063,0.852376172088082,""
"ME2","3hr-Heat",-0.616389692873341,1.3852349158926e-05,"-0.62"
"ME2","12hr-Heat",-0.340553819574422,0.0273232202152576,"-0.34"
"ME2","24hr-Heat",-0.261587711003761,0.0942484338404394,""
"ME2","72hr-Heat",-0.148367948026215,0.348388103527341,""
"ME2","120hr-Heat",-0.256115936229701,0.10159581701463,""
"ME4","0hr-Control",0.291156007585965,0.0613839937018107,""
"ME4","1hr-Control",0.161034321685072,0.308300257923882,""
