"sample","ME25","ME9","ME22","ME27","ME7","ME17","ME1","ME23","ME6","ME8","ME13","ME18","ME15","ME19","ME28","ME14","ME26","ME16","ME3","ME2","ME4","ME10","ME12","ME20","ME24","ME21","ME5","ME11","ME0"
"POR_R0_C1",0.226639978671842,0.042937261897349,0.0158818695666198,0.238086098805617,-0.120865841712966,0.131729146587521,0.0218172273166126,0.0898033426734934,-0.0225239792556476,-0.0253010621799669,-0.0958034268815724,-0.14815353870129,0.110510518639931,0.0556644528646759,-0.238543318730385,-0.0887577959589635,0.211854568961207,0.0932444844978164,-0.0397326715275731,0.0788005909184823,-0.0603590230858869,0.34232361584528,0.219327486309497,-0.178542472638175,-0.189590962605575,-0.109539310260955,0.122551394952955,0.136336566104925,0.0113909460153327
"POR_R0_C2",0.259487006153768,0.179144153377556,0.173981228273771,-0.162252379790845,-0.167430872725045,-0.170598575587753,0.0775558056135605,0.168741256507141,0.0364974326926534,0.137753753125077,-0.242929276522271,-0.264347404833865,-0.1758378610991,-0.243991230891046,-0.232532286082532,-0.164693534474175,-0.181172037416693,-0.0343260288897024,-0.119952755363921,-0.0503442609511238,-0.149585518995978,0.138496543499607,0.0707511747518718,0.0900142755341625,-0.081718681837095,0.135079546717038,0.190506963934406,0.165700634401175,0.298092259650555
"POR_R0_C3",0.170822528882145,-0.148967064299357,0.127155731771952,0.173359870113655,0.185525186945103,0.132751983030061,0.116164140091727,-0.00230556986073271,0.15513158177736,0.079280222296087,0.0945604158443221,0.000989073324451112,0.000124909853107924,0.0925809822303798,0.0124123196360907,-0.16140944706818,-0.167686401590073,0.17201645792771,-0.104785101864257,-0.0190386641559139,-0.107777707666992,-0.0918139164703948,0.104678103182574,-0.124887158680241,-0.0582609186639192,-0.220374182872343,-0.101951447981856,-0.179162153776139,-0.0194341966957899
"POR_R0_H1",-0.133735198925286,0.217594403312936,0.224787633053717,0.320579029616241,0.00424557350119397,0.132118923578807,-0.132957786273413,-0.172939057592068,-0.191105985761299,0.0526248225314273,-0.235547602402515,-0.0482992389317989,-0.136886113488512,0.175328756338441,0.170305384291325,0.193075814897106,0.193169064130797,0.134936395120786,0.0839425249232709,0.0938802534740225,0.151949614523155,-0.19446848205987,-0.00109411158979315,-0.198882034173592,-0.258505974584715,0.0851899027573919,0.0531045159477576,-0.108991193624668,-0.0716429389411226
"POR_R0_H2",-0.0616168368273571,-0.149344505446898,0.125519196722164,0.163038618825164,0.0951066394448592,0.125580413301825,-0.167544989378129,-0.24317916219867,0.117136546768971,0.0287498240360764,0.0846994637747845,-0.0533871957742698,0.0312067055001137,0.185245911643239,-0.0990690892543862,-0.133207334929669,-0.152740646304257,-0.0378135140504256,0.179782232530539,0.190016099116518,0.166485210549947,0.128399753328373,0.154773889547836,-0.131057721107371,-0.0509962565276921,-0.207945387315885,0.0197376119332912,-0.194850281653694,-0.102688348503826
"POR_R0_H3",-0.101225894009246,0.182930956288418,0.190173596927343,0.280860881733806,0.0202158488085409,0.127811730191162,-0.115602097424261,-0.0986699295803844,-0.183768156175571,0.0388979617344411,-0.227289730601473,-0.0201735777377222,-0.134506735386325,0.142566001077064,0.257819902106797,0.157844280422209,0.202414915210569,0.129500880002821,0.118997532773642,0.112405649361883,0.105752413513187,-0.0983558762544336,0.0306633903600849,-0.167580704293597,-0.251728170698542,0.0868352465695404,-0.0122002951605136,-0.0923235720552092,-0.0755031655744796
"POR_R1_C1",-0.120805989003368,-0.0961265202225524,-0.186112309628247,-0.170059564550312,-0.189623833080301,-0.192690604537162,-0.192812582575963,-0.237878534838293,-0.163575617449604,-0.251198223709259,0.0925523102073687,-0.00884729185932741,0.218325538445549,0.177016835334479,0.172997612291431,0.181623041794638,0.0873473854895749,0.130306732076364,0.166761837686744,0.154824246829856,0.197690568586075,-0.101465960633645,-0.0983643811937256,0.17132023766635,0.186954260821007,0.0836573431451291,0.202434765853318,0.110757868617194,-0.104312321160367
"POR_R1_C2",-0.141166212210139,0.182419372897639,0.158028603053061,0.217627903330015,0.0518219035291586,0.143918915969792,-0.120248663164395,0.000132553003499359,-0.17951030349749,0.0412885946170379,-0.215509834036837,-0.0291567785138223,-0.139709826146395,0.0692393627828259,0.330371820586407,0.154080045496924,0.184228204044063,0.242883835579653,0.129159708406765,0.0525872452694739,0.12881858626913,-0.100000060319181,-0.0431355501684326,-0.175153107339251,-0.22548316013082,0.104034729268933,-0.0937679761577239,-0.10468091412016,-0.0528039420523871
"POR_R1_C3",0.373446863393493,0.0611528260474289,0.0270733990378837,0.206341897836315,-0.0987719432266397,0.169626847692854,0.164076939830052,0.325883057386912,0.00342899282418487,0.0182316305447766,-0.0841311109910312,-0.124380356397323,0.128483554545826,-0.00909347732251358,-0.238420351300261,-0.0850512507434823,0.220720830885432,-0.0571156161134337,-0.202469366258135,-0.0516666751453845,-0.143814698792268,0.173688345563384,0.0656259427480296,-0.183596714512848,-0.222559891380216,-0.0832372209867726,0.037554774667934,0.170625581073011,0.0802333240184021
"POR_R1_H1",-0.0519545190903429,0.241429082401999,0.247953853592854,-0.170432118009415,-0.209715719731228,-0.230640860853933,-0.181484858989845,-0.0235646896751738,0.102840157255291,0.137081798223085,-0.225721422862597,-0.284868788917446,-0.219407029254587,-0.289959833639974,-0.165375949595162,-0.179215455135382,-0.192721355156519,-0.0186315026855726,0.110009486471114,0.101191145865955,0.111754908428669,0.163206154861017,-0.0367958907245706,0.168319684920301,-0.0365997182050328,0.158913794336032,0.272462649063863,0.154459851886853,0.340831826063617
"POR_R1_H2",-0.137890666726661,0.189029439340005,0.239772858710399,-0.181301740389931,-0.210579617305455,-0.201207822455634,-0.173118247410966,0.0181529554202993,0.028953768499622,0.116087286416515,-0.230706095159551,-0.263386080199209,-0.212898492209309,-0.27219147639939,-0.123642907716991,-0.151048246492852,-0.192844468585154,0.105336507122491,0.123340982108033,0.137792708237354,0.149751302651562,0.0108509718837564,-0.051249033586199,0.120334392397837,-0.0628574266653477,0.116022038918663,0.271552579178494,0.134604969180513,0.248388030436441
