Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
MON_R0_C1	0.01	3506.0
MON_R0_C2	0.01	1223.0
MON_R0_C3	1.18	205969.0
MON_R0_H1	9.61	2494006.0
MON_R0_H2	0.02	5238.0
MON_R0_H3	0.01	1180.0
MON_R120_C1	0.02	3707.0
MON_R120_C2	0.02	3526.0
MON_R120_C3	0.01	2780.0
MON_R120_H1	0.01	2016.0
MON_R120_H2	0.04	10054.0
MON_R120_H3	0.03	5959.0
MON_R12_C1	0.01	1628.0
MON_R12_C2	0.03	4763.0
MON_R12_C3	0.01	1688.0
MON_R12_H1	0.02	3672.0
MON_R12_H2	0.02	4023.0
MON_R12_H3	0.02	2501.0
MON_R1_C1	0.01	2312.0
MON_R1_C2	0.03	6106.0
MON_R1_C3	0.01	3200.0
MON_R1_H1	0.03	4947.0
MON_R1_H2	2.4	400280.0
MON_R1_H3	0.01	1766.0
MON_R24_C1	0.03	4723.0
MON_R24_C2	0.02	4262.0
MON_R24_C3	0.02	3785.0
MON_R24_H1	0.01	2202.0
MON_R24_H2	0.01	1727.0
MON_R24_H3	0.02	4416.0
MON_R3_C1	0.01	1606.0
MON_R3_C2	0.02	2434.0
MON_R3_C3	0.01	2357.0
MON_R3_H1	0.03	4897.0
MON_R3_H2	0.01	2134.0
MON_R3_H3	0.02	3222.0
MON_R72_C1	0.01	2652.0
MON_R72_C2	0.01	1995.0
MON_R72_C3	0.02	3905.0
MON_R72_H1	0.13	19628.0
MON_R72_H2	0.18	37009.0
MON_R72_H3	0.01	1583.0
