Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
MON_R0_C1	34387353.0	276.0	3506.0	0.01	213.18	278.0	0.0	179.0	60.0	0.0	39.0	4.32	0.02	3.17	0.02	1.84	16450.0	0.05	1635.0	0.0	0.0	99.92	0.02	0	34358885	6877
MON_R0_C2	16101198.0	275.0	1223.0	0.01	208.83	77.0	0.0	36.0	20.0	0.0	21.0	4.32	0.01	2.54	0.01	2.6	6034.0	0.04	600.0	0.0	0.0	99.93	0.02	0	16090121	3220
MON_R0_C3	17414616.0	276.0	205969.0	1.18	262.13	538888.0	0.0	235483.0	226727.0	135.0	76543.0	0.79	0.06	4.43	0.04	3.58	58043.0	0.33	10183.0	0.06	0.0	98.41	0.02	0	17136938	3483
MON_R0_H1	25941298.0	276.0	2494006.0	9.61	263.08	6283550.0	0.0	2748547.0	2639542.0	1515.0	893946.0	0.77	0.07	4.34	0.04	3.61	624543.0	2.41	152533.0	0.59	0.0	87.35	0.04	0	22659839	10377
MON_R0_H2	32910896.0	266.0	5238.0	0.02	201.73	300.0	0.0	216.0	36.0	0.0	48.0	4.49	0.01	2.96	0.01	2.5	22312.0	0.07	2388.0	0.01	0.0	99.88	0.03	0	32871085	9873
MON_R0_H3	17067830.0	276.0	1180.0	0.01	211.06	165.0	0.0	97.0	38.0	0.0	30.0	4.15	0.04	3.29	0.01	1.75	3850.0	0.02	501.0	0.0	0.0	99.95	0.02	0	17058886	3413
MON_R120_C1	20292643.0	277.0	3707.0	0.02	213.94	217.0	0.0	144.0	42.0	0.0	31.0	4.31	0.02	2.97	0.02	2.67	15774.0	0.08	2107.0	0.01	0.0	99.87	0.02	0	20266996	4059
MON_R120_C2	18507536.0	277.0	3526.0	0.02	217.72	234.0	0.0	158.0	57.0	0.0	19.0	4.2	0.03	3.92	0.01	2.35	18335.0	0.1	2456.0	0.01	0.0	99.84	0.02	0	18479517	3702
MON_R120_C3	28419957.0	259.0	2780.0	0.01	189.41	250.0	0.0	162.0	16.0	0.0	72.0	4.01	0.03	3.61	0.03	5.72	5024.0	0.02	991.0	0.0	0.0	99.94	0.02	0	28405477	5685
MON_R120_H1	15508429.0	277.0	2016.0	0.01	218.88	409.0	0.0	223.0	134.0	0.0	52.0	4.12	0.01	3.19	0.0	2.71	9495.0	0.06	997.0	0.01	0.0	99.9	0.02	0	15492819	3102
MON_R120_H2	28172612.0	277.0	10054.0	0.04	217.88	299.0	0.0	192.0	70.0	0.0	37.0	4.31	0.01	2.83	0.01	1.44	66743.0	0.24	6569.0	0.02	0.0	99.68	0.02	0	28083611	5635
MON_R120_H3	18606948.0	276.0	5959.0	0.03	220.26	603.0	0.0	372.0	162.0	0.0	69.0	4.3	0.01	3.59	0.0	1.76	33920.0	0.18	3081.0	0.02	0.0	99.75	0.02	0	18560267	3721
MON_R12_C1	15100946.0	277.0	1628.0	0.01	217.92	168.0	0.0	127.0	30.0	0.0	11.0	4.24	0.02	3.58	0.0	1.6	11494.0	0.08	1134.0	0.01	0.0	99.88	0.02	0	15083670	3020
MON_R12_C2	15870136.0	277.0	4763.0	0.03	232.54	4623.0	0.0	2006.0	1956.0	0.0	661.0	2.93	0.04	3.88	0.02	3.63	13654.0	0.09	1613.0	0.01	0.0	99.85	0.03	0	15845345	4761
MON_R12_C3	18046013.0	277.0	1688.0	0.01	213.99	123.0	0.0	73.0	33.0	0.0	17.0	4.27	0.02	3.78	0.01	1.88	7879.0	0.04	971.0	0.01	0.0	99.92	0.02	0	18031866	3609
MON_R12_H1	18594615.0	275.0	3672.0	0.02	219.68	365.0	0.0	203.0	100.0	0.0	62.0	4.17	0.03	2.93	0.01	1.89	15432.0	0.08	2067.0	0.01	0.0	99.86	0.03	0	18567866	5578
MON_R12_H2	16820137.0	277.0	4023.0	0.02	216.93	157.0	0.0	92.0	34.0	0.0	31.0	4.42	0.01	3.16	0.0	1.75	18493.0	0.11	1788.0	0.01	0.0	99.84	0.02	0	16792469	3364
MON_R12_H3	15284909.0	277.0	2501.0	0.02	217.57	130.0	0.0	95.0	23.0	0.0	12.0	4.33	0.03	3.56	0.01	2.36	11811.0	0.08	1186.0	0.01	0.0	99.88	0.02	0	15266354	3057
MON_R1_C1	18187431.0	276.0	2312.0	0.01	212.83	160.0	0.0	93.0	28.0	0.0	39.0	4.29	0.02	2.53	0.02	2.38	10308.0	0.06	1110.0	0.01	0.0	99.91	0.02	0	18170064	3637
MON_R1_C2	18709242.0	277.0	6106.0	0.03	215.41	284.0	0.0	170.0	83.0	0.0	31.0	4.41	0.01	2.61	0.01	1.62	28859.0	0.15	2801.0	0.01	0.0	99.78	0.02	0	18667734	3742
MON_R1_C3	22406370.0	277.0	3200.0	0.01	213.87	314.0	0.0	156.0	102.0	0.0	56.0	4.17	0.01	1.95	0.03	1.88	16073.0	0.07	2221.0	0.01	0.0	99.89	0.02	0	22380395	4481
MON_R1_H1	15133391.0	277.0	4947.0	0.03	235.47	4444.0	0.0	2023.0	1758.0	0.0	663.0	2.86	0.05	3.9	0.02	2.33	13463.0	0.09	2514.0	0.02	0.0	99.83	0.03	0	15107927	4540
MON_R1_H2	16676138.0	277.0	400280.0	2.4	262.87	1047089.0	0.0	456511.0	440564.0	272.0	149742.0	0.75	0.07	4.47	0.04	3.61	91609.0	0.55	20278.0	0.12	0.0	96.91	0.02	0	16160636	3335
