Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
MON_R0_C1	0.35	121994.0
MON_R0_C2	0.22	35981.0
MON_R0_C3	0.05	8764.0
MON_R0_H1	0.12	29843.0
MON_R0_H2	0.34	111416.0
MON_R0_H3	0.33	55513.0
MON_R120_C1	0.49	99235.0
MON_R120_C2	0.58	106506.0
MON_R120_C3	0.11	31120.0
MON_R120_H1	0.24	36573.0
MON_R120_H2	0.54	153487.0
MON_R120_H3	0.24	45482.0
MON_R12_C1	0.45	68401.0
MON_R12_C2	0.68	107506.0
MON_R12_C3	0.27	48793.0
MON_R12_H1	0.64	119786.0
MON_R12_H2	0.42	69978.0
MON_R12_H3	0.45	69240.0
MON_R1_C1	0.23	41445.0
MON_R1_C2	0.56	103977.0
MON_R1_C3	0.15	34313.0
MON_R1_H1	0.73	110597.0
MON_R1_H2	0.03	4272.0
MON_R1_H3	0.18	28514.0
MON_R24_C1	0.64	105438.0
MON_R24_C2	0.82	149644.0
MON_R24_C3	0.26	52665.0
MON_R24_H1	0.27	50848.0
MON_R24_H2	0.14	21251.0
MON_R24_H3	1.02	192563.0
MON_R3_C1	0.11	19303.0
MON_R3_C2	0.64	100871.0
MON_R3_C3	0.67	123205.0
MON_R3_H1	0.56	108780.0
MON_R3_H2	0.17	55543.0
MON_R3_H3	0.33	49912.0
MON_R72_C1	0.37	69672.0
MON_R72_C2	0.21	33637.0
MON_R72_C3	0.38	87981.0
MON_R72_H1	0.12	18966.0
MON_R72_H2	0.22	46267.0
MON_R72_H3	0.29	48285.0
