Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
MON_R0_C1	34387353.0	276.0	121994.0	0.35	266.26	242475.0	0.0	78480.0	124327.0	19.0	39649.0	0.67	0.01	3.24	0.01	3.58	503358.0	1.46	1164.0	0.0	0.0	98.18	0.0	0	33760837	0
MON_R0_C2	16101198.0	275.0	35981.0	0.22	265.02	71371.0	0.0	23355.0	36290.0	10.0	11716.0	0.72	0.01	3.18	0.01	3.1	150421.0	0.93	257.0	0.0	0.0	98.84	0.0	0	15914539	0
MON_R0_C3	17414616.0	276.0	8764.0	0.05	231.36	315.0	0.0	122.0	138.0	0.0	55.0	3.45	0.0	1.57	0.0	1.27	12417.0	0.07	168.0	0.0	0.0	99.88	0.0	0	17393267	0
MON_R0_H1	25941298.0	276.0	29843.0	0.12	231.56	5099.0	0.0	2005.0	2352.0	0.0	742.0	3.29	0.03	1.41	0.01	1.88	44334.0	0.17	8427.0	0.03	0.0	99.68	0.0	0	25858694	0
MON_R0_H2	32910896.0	266.0	111416.0	0.34	258.62	199879.0	0.0	64447.0	102898.0	9.0	32525.0	0.84	0.02	3.37	0.01	3.13	443372.0	1.35	1020.0	0.0	0.0	98.31	0.0	0	32355088	0
MON_R0_H3	17067830.0	276.0	55513.0	0.33	267.51	115516.0	0.0	37279.0	59246.0	16.0	18975.0	0.58	0.02	3.39	0.01	3.09	237512.0	1.39	763.0	0.0	0.0	98.28	0.0	0	16774042	0
MON_R120_C1	20292643.0	277.0	99235.0	0.49	266.36	170851.0	0.0	55737.0	87419.0	29.0	27666.0	0.75	0.03	3.48	0.02	3.71	392112.0	1.93	5201.0	0.03	0.0	97.55	0.0	0	19796095	0
MON_R120_C2	18507536.0	277.0	106506.0	0.58	266.57	184982.0	0.0	60120.0	94678.0	27.0	30157.0	0.74	0.03	3.37	0.02	3.62	423607.0	2.29	3550.0	0.02	0.0	97.12	0.0	0	17973873	0
MON_R120_C3	28419957.0	259.0	31120.0	0.11	254.71	49083.0	0.0	15313.0	25291.0	9.0	8470.0	0.8	0.05	3.94	0.02	2.63	127722.0	0.45	4610.0	0.02	0.0	99.42	0.0	0	28256505	0
MON_R120_H1	15508429.0	277.0	36573.0	0.24	264.04	71409.0	0.0	22919.0	37051.0	12.0	11427.0	0.8	0.02	3.41	0.01	2.97	150802.0	0.97	333.0	0.0	0.0	98.79	0.0	0	15320721	0
MON_R120_H2	28172612.0	277.0	153487.0	0.54	261.37	262639.0	0.0	85348.0	134293.0	38.0	42960.0	1.0	0.02	3.47	0.01	2.73	588651.0	2.09	3023.0	0.01	0.0	97.35	0.0	0	27427451	0
MON_R120_H3	18606948.0	276.0	45482.0	0.24	255.61	63748.0	0.0	20340.0	33147.0	7.0	10254.0	1.47	0.01	2.85	0.01	2.33	154970.0	0.83	324.0	0.0	0.0	98.92	0.0	0	18406172	0
MON_R12_C1	15100946.0	277.0	68401.0	0.45	266.93	138782.0	0.0	45042.0	71057.0	15.0	22668.0	0.68	0.02	3.54	0.01	3.4	281928.0	1.87	552.0	0.0	0.0	97.68	0.0	0	14750065	0
MON_R12_C2	15870136.0	277.0	107506.0	0.68	266.72	218479.0	0.0	71061.0	111661.0	25.0	35732.0	0.65	0.02	3.5	0.01	3.63	447690.0	2.82	1264.0	0.01	0.0	96.49	0.0	0	15313676	0
MON_R12_C3	18046013.0	277.0	48793.0	0.27	265.83	88863.0	0.0	28946.0	45474.0	8.0	14435.0	0.76	0.02	3.45	0.01	3.25	194086.0	1.08	1761.0	0.01	0.0	98.64	0.0	0	17801373	0
MON_R12_H1	18594615.0	275.0	119786.0	0.64	265.82	219748.0	0.0	71049.0	112925.0	26.0	35748.0	0.73	0.02	3.68	0.01	3.19	483673.0	2.6	3619.0	0.02	0.0	96.73	0.0	0	17987537	0
MON_R12_H2	16820137.0	277.0	69978.0	0.42	263.69	124110.0	0.0	40453.0	63605.0	20.0	20032.0	0.86	0.02	3.45	0.01	3.42	274349.0	1.63	963.0	0.01	0.0	97.95	0.0	0	16474847	0
MON_R12_H3	15284909.0	277.0	69240.0	0.45	265.65	131614.0	0.0	42526.0	67877.0	11.0	21200.0	0.73	0.02	3.35	0.01	3.72	282303.0	1.85	1012.0	0.01	0.0	97.69	0.0	0	14932354	0
MON_R1_C1	18187431.0	276.0	41445.0	0.23	263.94	75876.0	0.0	24697.0	38781.0	8.0	12390.0	0.8	0.02	3.25	0.01	3.38	163832.0	0.9	643.0	0.0	0.0	98.87	0.0	0	17981511	0
MON_R1_C2	18709242.0	277.0	103977.0	0.56	263.47	191952.0	0.0	62065.0	98391.0	15.0	31481.0	0.86	0.02	3.37	0.01	3.54	410348.0	2.19	699.0	0.0	0.0	97.25	0.0	0	18194218	0
MON_R1_C3	22406370.0	277.0	34313.0	0.15	261.27	56206.0	0.0	18123.0	29038.0	4.0	9041.0	1.0	0.02	3.48	0.01	3.52	129382.0	0.58	1432.0	0.01	0.0	99.26	0.0	0	22241243	0
MON_R1_H1	15133391.0	277.0	110597.0	0.73	267.34	187535.0	0.0	61126.0	95705.0	37.0	30667.0	0.72	0.03	3.53	0.02	3.5	436425.0	2.88	7195.0	0.05	0.0	96.34	0.0	0	14579174	0
MON_R1_H2	16676138.0	277.0	4272.0	0.03	226.72	688.0	0.0	267.0	324.0	0.0	97.0	3.36	0.01	3.0	0.01	1.66	7153.0	0.04	344.0	0.0	0.0	99.93	0.0	0	16664369	0
MON_R1_H3	16190302.0	276.0	28514.0	0.18	263.14	52083.0	0.0	16836.0	26863.0	1.0	8383.0	0.92	0.02	3.42	0.01	3.08	111776.0	0.69	276.0	0.0	0.0	99.13	0.0	0	16049736	0
MON_R24_C1	16411293.0	277.0	105438.0	0.64	266.32	209162.0	0.0	67464.0	107683.0	15.0	34000.0	0.69	0.02	3.52	0.01	3.66	432209.0	2.63	1028.0	0.01	0.0	96.72	0.0	0	15872618	0
MON_R24_C2	18340435.0	276.0	149644.0	0.82	266.31	258966.0	0.0	84332.0	132774.0	37.0	41823.0	0.73	0.03	3.31	0.02	3.76	586346.0	3.2	7463.0	0.04	0.0	95.95	0.0	0	17596982	0
MON_R24_C3	20015554.0	275.0	52665.0	0.26	260.91	82815.0	0.0	26709.0	42585.0	13.0	13508.0	1.06	0.02	3.41	0.02	3.91	192622.0	0.96	1760.0	0.01	0.0	98.77	0.0	0	19768507	0
MON_R24_H1	18542272.0	277.0	50848.0	0.27	264.84	82675.0	0.0	26746.0	42304.0	10.0	13615.0	0.86	0.02	3.37	0.02	3.62	195363.0	1.05	3103.0	0.02	0.0	98.66	0.0	0	18292958	0
MON_R24_H2	15431326.0	277.0	21251.0	0.14	259.99	31750.0	0.0	10285.0	16230.0	2.0	5233.0	1.16	0.02	3.86	0.01	2.79	76417.0	0.5	453.0	0.0	0.0	99.36	0.0	0	15333205	0
