Sample	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
MON_R0_C1	1.15	28801183.0	76.19	26198511.0
MON_R0_C2	1.16	13161281.0	74.99	12073904.0
MON_R0_C3	1.17	14288297.0	74.27	12933601.0
MON_R0_H1	1.13	18212918.0	64.08	16624308.0
MON_R0_H2	1.16	22887162.0	63.35	20849059.0
MON_R0_H3	1.19	14370396.0	77.13	13164890.0
MON_R120_C1	1.17	16962039.0	76.86	15596570.0
MON_R120_C2	1.16	15292115.0	75.99	14063051.0
MON_R120_C3	1.26	18194371.0	58.35	16583573.0
MON_R120_H1	1.14	13066324.0	77.1	11957191.0
MON_R120_H2	1.12	22691081.0	73.11	20598398.0
MON_R120_H3	1.09	14899784.0	72.81	13547719.0
MON_R12_C1	1.19	12781713.0	77.11	11643594.0
MON_R12_C2	1.17	12925466.0	74.0	11743820.0
MON_R12_C3	1.14	15209713.0	77.57	13998260.0
MON_R12_H1	1.14	14734026.0	72.5	13481779.0
MON_R12_H2	1.13	13855459.0	74.88	12595755.0
MON_R12_H3	1.08	12709814.0	75.31	11510839.0
MON_R1_C1	1.14	14114520.0	70.97	12908077.0
MON_R1_C2	1.12	15140841.0	72.99	13655387.0
MON_R1_C3	1.12	16818910.0	68.43	15331869.0
MON_R1_H1	1.11	11325336.0	68.65	10389301.0
MON_R1_H2	1.13	13189912.0	72.11	12025197.0
MON_R1_H3	1.17	13353287.0	74.96	12135710.0
MON_R24_C1	1.16	13477918.0	74.45	12217961.0
MON_R24_C2	1.14	14626043.0	73.02	13392481.0
MON_R24_C3	1.17	16039448.0	72.95	14601284.0
MON_R24_H1	1.15	15879883.0	78.38	14533075.0
MON_R24_H2	1.12	13051847.0	77.43	11948199.0
MON_R24_H3	1.15	15368375.0	74.44	14097977.0
MON_R3_C1	1.17	14529843.0	78.94	13312204.0
MON_R3_C2	1.12	12850953.0	74.18	11719526.0
MON_R3_C3	1.12	14467615.0	71.99	13274680.0
MON_R3_H1	1.14	15352108.0	72.0	13950339.0
MON_R3_H2	1.23	22903281.0	64.26	20813119.0
MON_R3_H3	1.2	12539556.0	74.01	11315307.0
MON_R72_C1	1.15	14974928.0	73.44	13777151.0
MON_R72_C2	1.15	12753278.0	73.5	11654285.0
MON_R72_C3	1.19	18368000.0	73.17	16768621.0
MON_R72_H1	0.98	48294.0	0.23	35398.0
MON_R72_H2	2.73	137802.0	0.49	101922.0
MON_R72_H3	1.16	13334861.0	73.22	12244799.0
