Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
MON_R0_C1	34387353.0	276.0	26198511.0	76.19	278.08	24681628.0	22809268.0	24286599.0	198574.0	14552.0	181903.0	0.58	0.04	2.83	0.03	2.4	2602852.0	7.57	450396.0	1.31	0.0	14.77	0.17	0	5077157	58437
MON_R0_C2	16101198.0	275.0	12073904.0	74.99	277.55	11152829.0	10288363.0	10971327.0	88435.0	6710.0	86357.0	0.59	0.04	2.78	0.03	2.41	1087487.0	6.75	169068.0	1.05	0.0	17.04	0.17	0	2743370	27369
MON_R0_C3	17414616.0	276.0	12933601.0	74.27	277.69	11944550.0	10993744.0	11747558.0	102331.0	7271.0	87390.0	0.61	0.04	2.83	0.03	2.48	1354797.0	7.78	424108.0	2.44	0.0	15.33	0.18	0	2670751	31359
MON_R0_H1	25941298.0	276.0	16624308.0	64.08	278.16	14997952.0	13828466.0	14749955.0	124718.0	8628.0	114651.0	0.59	0.04	2.84	0.03	2.41	1588692.0	6.12	803284.0	3.1	0.0	26.58	0.11	0	6896473	28541
MON_R0_H2	32910896.0	266.0	20849059.0	63.35	274.56	19149649.0	17579323.0	18817790.0	153391.0	12345.0	166123.0	0.58	0.04	2.72	0.04	2.37	2038365.0	6.19	448430.0	1.36	0.0	28.96	0.13	0	9532252	42790
MON_R0_H3	17067830.0	276.0	13164890.0	77.13	277.99	11958757.0	11016842.0	11762013.0	102290.0	7260.0	87194.0	0.6	0.05	2.84	0.04	2.47	1205611.0	7.06	154730.0	0.91	0.0	14.74	0.16	0	2515296	27303
MON_R120_C1	20292643.0	277.0	15596570.0	76.86	278.38	14317508.0	13165741.0	14085249.0	127541.0	6762.0	97956.0	0.58	0.04	2.79	0.03	2.42	1365569.0	6.73	428936.0	2.11	0.0	14.14	0.16	0	2869103	32465
MON_R120_C2	18507536.0	277.0	14063051.0	75.99	278.47	13030417.0	11924461.0	12830061.0	106330.0	6650.0	87376.0	0.58	0.04	2.79	0.03	2.41	1229176.0	6.64	435781.0	2.35	0.0	14.85	0.17	0	2748069	31459
MON_R120_C3	28419957.0	259.0	16583573.0	58.35	272.02	14626273.0	13353352.0	14383739.0	113007.0	8172.0	121355.0	0.61	0.04	2.8	0.03	2.38	1611007.0	5.67	145741.0	0.51	0.0	35.06	0.41	0	9963125	116511
MON_R120_H1	15508429.0	277.0	11957191.0	77.1	277.99	10459271.0	9641833.0	10277162.0	90586.0	6003.0	85520.0	0.6	0.05	2.84	0.04	2.42	1109220.0	7.15	273218.0	1.76	0.0	13.89	0.09	0	2154838	13962
