Sample	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
MON_R0_C1	1.16	28610145.0	77.18	26101301.0
MON_R0_C2	1.16	13063598.0	75.66	12008699.0
MON_R0_C3	1.17	14124115.0	76.26	12868743.0
MON_R0_H1	1.13	17918767.0	66.52	16530414.0
MON_R0_H2	1.16	22713564.0	64.18	20753865.0
MON_R0_H3	1.18	14289761.0	77.64	13109467.0
MON_R120_C1	1.17	16758122.0	78.64	15492854.0
MON_R120_C2	1.16	15090525.0	78.01	13963599.0
MON_R120_C3	1.26	18087296.0	58.46	16494008.0
MON_R120_H1	1.14	12952572.0	78.41	11906065.0
MON_R120_H2	1.12	22188957.0	77.59	20468578.0
MON_R120_H3	1.1	14654629.0	75.89	13475280.0
MON_R12_C1	1.19	12658651.0	78.54	11582175.0
MON_R12_C2	1.17	12767213.0	76.02	11679087.0
MON_R12_C3	1.14	15082060.0	78.58	13919568.0
MON_R12_H1	1.13	14600416.0	74.05	13432382.0
MON_R12_H2	1.14	13672523.0	77.76	12537939.0
MON_R12_H3	1.08	12580143.0	77.14	11459999.0
MON_R1_C1	1.14	13998348.0	72.22	12845868.0
MON_R1_C2	1.13	14858583.0	76.86	13566430.0
MON_R1_C3	1.13	16658006.0	69.84	15247093.0
MON_R1_H1	1.11	11199517.0	70.22	10328325.0
MON_R1_H2	1.13	13091414.0	73.11	11968311.0
MON_R1_H3	1.16	13244286.0	75.99	12073413.0
MON_R24_C1	1.16	13310765.0	76.65	12153943.0
MON_R24_C2	1.14	14451249.0	74.92	13313658.0
MON_R24_C3	1.17	15858251.0	74.8	14518629.0
MON_R24_H1	1.15	15735228.0	79.98	14467543.0
MON_R24_H2	1.12	12921186.0	79.14	11888481.0
MON_R24_H3	1.15	15163552.0	76.93	14033992.0
MON_R3_C1	1.17	14384372.0	80.51	13237407.0
MON_R3_C2	1.12	12715714.0	75.91	11656093.0
MON_R3_C3	1.12	14362718.0	72.65	13204705.0
MON_R3_H1	1.14	15184870.0	73.84	13878038.0
MON_R3_H2	1.23	22788743.0	64.38	20717991.0
MON_R3_H3	1.19	12338293.0	77.05	11237890.0
MON_R72_C1	1.15	14838198.0	74.47	13696041.0
MON_R72_C2	1.15	12632452.0	74.81	11596385.0
MON_R72_C3	1.19	18178597.0	74.56	16674340.0
MON_R72_H1	0.96	32494.0	0.21	29835.0
MON_R72_H2	2.74	111251.0	0.7	98641.0
MON_R72_H3	1.16	13241117.0	73.94	12189151.0
