Module	Section	Sample Name	Source
QualiMap	rna_genome_results	MON_R0_C1	/project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/alignment_qc/MON_MCapV3_rRNA_removed/MON_R0_C1/rnaseq_qc_results.txt
QualiMap	rna_genome_results	MON_R0_H1	/project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/alignment_qc/MON_MCapV3_rRNA_removed/MON_R0_H1/rnaseq_qc_results.txt
QualiMap	rna_genome_results	MON_R0_C3	/project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/alignment_qc/MON_MCapV3_rRNA_removed/MON_R0_C3/rnaseq_qc_results.txt
QualiMap	rna_genome_results	MON_R1_C3	/project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/alignment_qc/MON_MCapV3_rRNA_removed/MON_R1_C3/rnaseq_qc_results.txt
QualiMap	rna_genome_results	MON_R12_H3	/project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/alignment_qc/MON_MCapV3_rRNA_removed/MON_R12_H3/rnaseq_qc_results.txt
QualiMap	rna_genome_results	MON_R1_H1	/project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/alignment_qc/MON_MCapV3_rRNA_removed/MON_R1_H1/rnaseq_qc_results.txt
QualiMap	rna_genome_results	MON_R1_C2	/project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/alignment_qc/MON_MCapV3_rRNA_removed/MON_R1_C2/rnaseq_qc_results.txt
QualiMap	rna_genome_results	MON_R1_C1	/project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/alignment_qc/MON_MCapV3_rRNA_removed/MON_R1_C1/rnaseq_qc_results.txt
QualiMap	rna_genome_results	MON_R120_H2	/project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/alignment_qc/MON_MCapV3_rRNA_removed/MON_R120_H2/rnaseq_qc_results.txt
QualiMap	rna_genome_results	MON_R12_C2	/project/pi_hputnam_uri_edu/zdellaert/TimeSeries/4-multi-species/output_RNA/alignment_qc/MON_MCapV3_rRNA_removed/MON_R12_C2/rnaseq_qc_results.txt
