Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
MON_R0_C1	33817555.0	276.0	26101301.0	77.18	278.1	24601893.0	22733345.0	24208876.0	198459.0	14535.0	180023.0	0.58	0.04	2.82	0.03	2.38	2509013.0	7.42	130087.0	0.38	0.0	14.85	0.17	0	5019690	57464
MON_R0_C2	15871718.0	275.0	12008699.0	75.66	277.58	11100441.0	10238456.0	10920435.0	88382.0	6704.0	84920.0	0.59	0.04	2.77	0.03	2.38	1054999.0	6.65	57018.0	0.36	0.0	17.16	0.17	0	2724016	26986
MON_R0_C3	16873775.0	276.0	12868743.0	76.26	277.72	11906208.0	10957837.0	11710850.0	102276.0	7263.0	85819.0	0.61	0.04	2.82	0.03	2.46	1255460.0	7.44	69736.0	0.41	0.0	15.69	0.19	0	2647772	32064
MON_R0_H1	24848454.0	276.0	16530414.0	66.52	278.18	14932529.0	13765534.0	14686023.0	124640.0	8626.0	113240.0	0.59	0.04	2.84	0.03	2.4	1388423.0	5.59	72104.0	0.29	0.0	27.48	0.11	0	6830172	27341
MON_R0_H2	32339004.0	266.0	20753865.0	64.18	274.59	19082225.0	17516176.0	18752872.0	153311.0	12315.0	163727.0	0.58	0.04	2.71	0.03	2.35	1959927.0	6.06	106347.0	0.33	0.0	29.3	0.13	0	9476818	42047
MON_R0_H3	16884991.0	276.0	13109467.0	77.64	278.02	11914779.0	10975440.0	11719432.0	102209.0	7253.0	85885.0	0.59	0.05	2.82	0.04	2.45	1180384.0	6.99	70881.0	0.42	0.0	14.79	0.16	0	2497244	27015
MON_R120_C1	19701620.0	277.0	15492854.0	78.64	278.4	14226241.0	13077116.0	13995300.0	127479.0	6750.0	96712.0	0.58	0.04	2.78	0.03	2.4	1265359.0	6.42	70521.0	0.36	0.0	14.42	0.17	0	2839412	33474
MON_R120_C2	17900822.0	277.0	13963599.0	78.01	278.5	12949182.0	11846132.0	12750480.0	106277.0	6639.0	85786.0	0.58	0.04	2.77	0.03	2.39	1127030.0	6.3	60901.0	0.34	0.0	15.19	0.17	0	2718864	30428
MON_R120_C3	28212958.0	259.0	16494008.0	58.46	272.05	14550372.0	13282878.0	14311340.0	112963.0	8152.0	117917.0	0.61	0.04	2.77	0.03	2.35	1593471.0	5.65	99784.0	0.35	0.0	35.13	0.41	0	9910036	115659
MON_R120_H1	15183734.0	277.0	11906065.0	78.41	278.02	10426579.0	9611312.0	10245876.0	90560.0	5991.0	84152.0	0.6	0.05	2.82	0.04	2.4	1046584.0	6.89	79788.0	0.53	0.0	14.08	0.09	0	2137633	13664
MON_R120_H2	26379783.0	277.0	20468578.0	77.59	278.28	16871697.0	15645307.0	16577516.0	137543.0	9727.0	146911.0	0.59	0.05	2.81	0.04	2.42	1720577.0	6.52	106821.0	0.4	0.0	15.36	0.12	0	4052150	31657
MON_R120_H3	17755229.0	276.0	13475280.0	75.89	277.59	11190623.0	10286857.0	10985208.0	96278.0	7097.0	102040.0	0.61	0.05	2.77	0.04	2.38	1179486.0	6.64	94563.0	0.53	0.0	16.85	0.08	0	2991696	14204
MON_R12_C1	14746998.0	277.0	11582175.0	78.54	278.35	10837252.0	10039524.0	10666648.0	88103.0	6288.0	76213.0	0.58	0.04	2.84	0.04	2.47	1076554.0	7.3	72656.0	0.49	0.0	13.49	0.18	0	1989072	26541
MON_R12_C2	15364133.0	277.0	11679087.0	76.02	278.1	10796497.0	9934951.0	10622686.0	90995.0	6397.0	76419.0	0.59	0.05	2.84	0.04	2.44	1088209.0	7.08	67442.0	0.44	0.0	16.3	0.17	0	2503287	26108
MON_R12_C3	17713163.0	277.0	13919568.0	78.58	278.42	12514560.0	11619146.0	12318320.0	100432.0	6728.0	89080.0	0.58	0.04	2.83	0.03	2.39	1162606.0	6.56	61229.0	0.35	0.0	14.31	0.2	0	2534339	35421
MON_R12_H1	18140431.0	275.0	13432382.0	74.05	277.64	10416794.0	9648195.0	10235454.0	83965.0	6123.0	91252.0	0.62	0.05	2.81	0.04	2.44	1168179.0	6.44	51520.0	0.28	0.0	19.14	0.09	0	3472024	16326
MON_R12_H2	16123961.0	277.0	12537939.0	77.76	278.22	10898255.0	10084054.0	10723356.0	85489.0	7190.0	82220.0	0.59	0.04	2.79	0.04	2.41	1134659.0	7.04	60442.0	0.37	0.0	14.72	0.1	0	2374788	16133
MON_R12_H3	14856890.0	277.0	11459999.0	77.14	278.13	9472317.0	8745098.0	9311091.0	75795.0	6196.0	79235.0	0.6	0.05	2.8	0.04	2.42	1120247.0	7.54	60667.0	0.41	0.0	14.79	0.13	0	2196669	19308
MON_R1_C1	17785908.0	276.0	12845868.0	72.22	278.1	11582267.0	10664642.0	11390667.0	96649.0	7302.0	87649.0	0.59	0.04	2.8	0.04	2.4	1152564.0	6.48	63229.0	0.36	0.0	20.8	0.14	0	3699348	24899
MON_R1_C2	17651955.0	277.0	13566430.0	76.86	278.23	12534394.0	11560018.0	12338649.0	100217.0	7520.0	88008.0	0.58	0.04	2.81	0.03	2.37	1292279.0	7.32	72515.0	0.41	0.0	15.27	0.14	0	2696013	24718
MON_R1_C3	21831738.0	277.0	15247093.0	69.84	278.39	13745300.0	12720603.0	13520804.0	110845.0	7715.0	105936.0	0.58	0.04	2.83	0.03	2.39	1411018.0	6.46	70837.0	0.32	0.0	23.17	0.2	0	5059120	43670
