Sample	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
MON_R0_C1	32.57	85737.0	0.15	52156.0
MON_R0_C2	5.92	39005.0	0.16	25071.0
MON_R0_C3		65257.0	0.21	37196.0
MON_R0_H1	13.89	98599.0	0.2	51991.0
MON_R0_H2		104680.0	0.22	74036.0
MON_R0_H3	7.93	36657.0	0.14	24523.0
MON_R120_C1	2.26	59758.0	0.17	34768.0
MON_R120_C2	2.34	57157.0	0.16	30480.0
MON_R120_C3		59309.0	0.15	43313.0
MON_R120_H1	23.65	43855.0	0.16	25210.0
MON_R120_H2	5.04	169940.0	0.28	78215.0
MON_R120_H3	2.0	101774.0	0.28	52030.0
MON_R12_C1		43912.0	0.16	24463.0
MON_R12_C2	1.47	55856.0	0.2	32502.0
MON_R12_C3	20.39	40609.0	0.14	24968.0
MON_R12_H1	4.69	54626.0	0.18	32564.0
MON_R12_H2	3.98	67829.0	0.22	37565.0
MON_R12_H3	3.23	52471.0	0.2	29960.0
MON_R1_C1	2.1	46668.0	0.16	28296.0
MON_R1_C2	3.98	93719.0	0.27	50308.0
MON_R1_C3	11.16	67226.0	0.16	36320.0
MON_R1_H1		37217.0	0.14	20916.0
MON_R1_H2	11.44	39433.0	0.15	24993.0
MON_R1_H3	6.28	43688.0	0.17	27570.0
MON_R24_C1		58504.0	0.2	33106.0
MON_R24_C2	2.74	57134.0	0.18	32483.0
MON_R24_C3	2.35	69816.0	0.21	41614.0
MON_R24_H1	3.76	52069.0	0.16	29194.0
MON_R24_H2	2.81	43788.0	0.15	23866.0
MON_R24_H3		63023.0	0.15	29006.0
MON_R3_C1	3.14	45835.0	0.15	25932.0
MON_R3_C2	2.76	45788.0	0.16	25557.0
MON_R3_C3		36848.0	0.13	24125.0
MON_R3_H1	1.2	63142.0	0.19	37614.0
MON_R3_H2		61372.0	0.13	42975.0
MON_R3_H3		63679.0	0.2	31260.0
MON_R72_C1	42.87	49358.0	0.17	32585.0
MON_R72_C2		49710.0	0.19	29506.0
MON_R72_C3		65414.0	0.17	38823.0
MON_R72_H1		55792.0	0.16	24114.0
MON_R72_H2		120986.0	0.32	66069.0
MON_R72_H3		44593.0	0.17	28417.0
