Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
MON_R0_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R0_C1_Aligned.sortedByCoord.out.bam	85737.0	312488.0	208156.0	6286.0	0.0	68603232.0	32.57	6286.0	21742.0	76246.0	5195.0
MON_R0_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R0_C2_Aligned.sortedByCoord.out.bam	39005.0	135938.0	85758.0	3082.0	0.0	32124386.0	5.92	3082.0	11164.0	35878.0	2837.0
MON_R0_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R0_C3_Aligned.sortedByCoord.out.bam	65257.0	246106.0	171692.0	3756.0	0.0	34698718.0		3756.0	14654.0	55958.0	2965.0
MON_R0_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R0_H1_Aligned.sortedByCoord.out.bam	98599.0	385108.0	281112.0	4338.0	0.0	51685398.0	13.89	4338.0	13714.0	85880.0	3113.0
MON_R0_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R0_H2_Aligned.sortedByCoord.out.bam	104680.0	333612.0	185466.0	5788.0	0.0	65612432.0		5788.0	24080.0	118134.0	6328.0
MON_R0_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R0_H3_Aligned.sortedByCoord.out.bam	36657.0	126936.0	77880.0	4142.0	0.0	34062346.0	7.93	4142.0	12770.0	32096.0	3289.0
MON_R120_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R120_C1_Aligned.sortedByCoord.out.bam	59758.0	222660.0	153100.0	3830.0	0.0	40465770.0	2.26	3830.0	12892.0	52782.0	3062.0
MON_R120_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R120_C2_Aligned.sortedByCoord.out.bam	57157.0	222592.0	161614.0	3006.0	0.0	36900758.0	2.34	3006.0	10494.0	47450.0	2543.0
MON_R120_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R120_C3_Aligned.sortedByCoord.out.bam	59309.0	188682.0	102006.0	5932.0	0.0	56721296.0		5932.0	22008.0	58620.0	5878.0
MON_R120_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R120_H1_Aligned.sortedByCoord.out.bam	43855.0	165528.0	115094.0	2774.0	0.0	30929148.0	23.65	2774.0	10282.0	37342.0	2440.0
MON_R120_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R120_H2_Aligned.sortedByCoord.out.bam	169940.0	706942.0	550490.0	5042.0	0.0	56005344.0	5.04	5042.0	16790.0	134564.0	3555.0
MON_R120_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R120_H3_Aligned.sortedByCoord.out.bam	101774.0	404424.0	300334.0	3436.0	0.0	37010347.0	2.0	3436.0	12920.0	87656.0	2649.0
MON_R12_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_PacutaV2/MON_R12_C1_Aligned.sortedByCoord.out.bam	43912.0	168678.0	119736.0	3424.0	0.0	30114067.0		3424.0	10208.0	35276.0	2770.0
