Sample	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
MON_R0_C1	7.43	170333.0	0.38	132238.0
MON_R0_C2	3.79	89058.0	0.44	70500.0
MON_R0_C3	23.82	105119.0	0.47	81416.0
MON_R0_H1	10.17	106768.0	0.32	83255.0
MON_R0_H2	4.33	162323.0	0.38	125192.0
MON_R0_H3	5.52	85303.0	0.38	64559.0
MON_R120_C1	3.96	116285.0	0.47	94894.0
MON_R120_C2	9.63	104436.0	0.46	85063.0
MON_R120_C3	19.26	164937.0	0.47	133793.0
MON_R120_H1	2.86	66562.0	0.31	47711.0
MON_R120_H2	6.64	107966.0	0.28	78311.0
MON_R120_H3	4.98	79495.0	0.3	55200.0
MON_R12_C1	6.59	117526.0	0.64	96342.0
MON_R12_C2	9.88	102376.0	0.51	80460.0
MON_R12_C3	3.32	104243.0	0.47	85391.0
MON_R12_H1	3.47	71088.0	0.28	51827.0
MON_R12_H2	3.25	72710.0	0.31	51979.0
MON_R12_H3	5.49	69679.0	0.33	50584.0
MON_R1_C1	4.89	86824.0	0.36	65294.0
MON_R1_C2	13.92	108471.0	0.44	82105.0
MON_R1_C3	4.77	100839.0	0.35	78727.0
MON_R1_H1	4.08	67617.0	0.36	53980.0
MON_R1_H2	10.62	83949.0	0.39	64346.0
MON_R1_H3	4.05	97195.0	0.47	75920.0
MON_R24_C1	3.93	89254.0	0.41	67976.0
MON_R24_C2	3.16	88933.0	0.39	71047.0
MON_R24_C3	3.09	95444.0	0.36	71902.0
MON_R24_H1	6.54	72790.0	0.29	54192.0
MON_R24_H2	8.48	58947.0	0.29	44217.0
MON_R24_H3	4.96	59475.0	0.23	43799.0
MON_R3_C1	2.63	127595.0	0.64	107318.0
MON_R3_C2	6.31	87010.0	0.44	69087.0
MON_R3_C3	6.36	94387.0	0.41	75403.0
MON_R3_H1	3.81	79063.0	0.32	62737.0
MON_R3_H2	3.66	165242.0	0.4	129328.0
MON_R3_H3	6.18	66015.0	0.32	49257.0
MON_R72_C1	4.64	113774.0	0.5	93483.0
MON_R72_C2	7.82	87727.0	0.43	68186.0
MON_R72_C3	18.6	156357.0	0.55	126537.0
MON_R72_H1		9748.0	0.04	5537.0
MON_R72_H2		2918.0	0.01	1249.0
MON_R72_H3	3.22	71831.0	0.32	54155.0
