Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
MON_R0_C1	34387353.0	276.0	132238.0	0.38	236.69	37832.0	29674.0	33721.0	379.0	86.0	3646.0	3.71	0.12	2.89	0.08	2.28	38096.0	0.11	24232.0	0.07	0.0	99.33	0.11	0	34154963	37824
MON_R0_C2	16101198.0	275.0	70500.0	0.44	234.99	21924.0	17720.0	19787.0	225.0	41.0	1871.0	3.75	0.12	2.97	0.06	2.23	18560.0	0.12	8871.0	0.06	0.0	99.3	0.09	0	15988776	14491
MON_R0_C3	17414616.0	276.0	81416.0	0.47	239.36	26453.0	22017.0	24181.0	178.0	41.0	2053.0	3.65	0.13	3.15	0.06	2.28	23707.0	0.14	23540.0	0.14	0.0	99.06	0.2	0	17251123	34830
MON_R0_H1	25941298.0	276.0	83255.0	0.32	237.39	24667.0	20135.0	22467.0	198.0	50.0	1952.0	3.69	0.13	3.28	0.06	2.11	23513.0	0.09	45150.0	0.17	0.0	99.16	0.25	0	25724524	64856
MON_R0_H2	32910896.0	266.0	125192.0	0.38	225.37	30943.0	21756.0	26254.0	428.0	103.0	4158.0	3.79	0.12	2.7	0.07	2.16	37134.0	0.11	35660.0	0.11	0.0	99.28	0.12	0	32673418	39492
MON_R0_H3	17067830.0	276.0	64559.0	0.38	236.85	15598.0	11358.0	13412.0	156.0	34.0	1996.0	3.66	0.13	2.98	0.09	2.38	20749.0	0.12	6171.0	0.04	0.0	99.4	0.06	0	16966110	10241
MON_R120_C1	20292643.0	277.0	94894.0	0.47	237.26	35394.0	30987.0	33019.0	285.0	22.0	2068.0	3.77	0.12	3.31	0.06	2.21	21392.0	0.11	20151.0	0.1	0.0	99.17	0.15	0	20125765	30441
MON_R120_C2	18507536.0	277.0	85063.0	0.46	238.57	29674.0	25397.0	27527.0	238.0	41.0	1868.0	3.74	0.12	3.46	0.06	2.21	19373.0	0.1	21582.0	0.12	0.0	99.14	0.18	0	18348205	33313
MON_R120_C3	28419957.0	259.0	133793.0	0.47	222.57	49929.0	40768.0	44693.0	360.0	75.0	4801.0	3.85	0.12	2.99	0.06	2.17	31146.0	0.11	7282.0	0.03	0.0	99.31	0.08	0	28224999	22737
MON_R120_H1	15508429.0	277.0	47711.0	0.31	237.22	7179.0	3687.0	5408.0	146.0	55.0	1570.0	3.53	0.15	2.97	0.1	2.31	18853.0	0.12	13732.0	0.09	0.0	99.34	0.14	0	15406421	21712
MON_R120_H2	28172612.0	277.0	78311.0	0.28	235.33	11375.0	5767.0	8617.0	158.0	62.0	2538.0	3.63	0.14	2.84	0.11	2.04	29660.0	0.11	83828.0	0.3	0.0	98.92	0.4	0	27868123	112690
