Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
MON_R0_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_Pcomp/MON_R0_C1_Aligned.sortedByCoord.out.bam	170333.0	501897.0	234272.0	55934.0	0.0	68434039.0	7.43	55934.0	82586.0	125919.0	27205.0
MON_R0_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_Pcomp/MON_R0_C2_Aligned.sortedByCoord.out.bam	89058.0	255526.0	113360.0	31368.0	0.0	32024278.0	3.79	31368.0	44520.0	65094.0	15439.0
MON_R0_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_Pcomp/MON_R0_C3_Aligned.sortedByCoord.out.bam	105119.0	312174.0	145962.0	39948.0	0.0	34618990.0	23.82	39948.0	52339.0	70511.0	18994.0
MON_R0_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_Pcomp/MON_R0_H1_Aligned.sortedByCoord.out.bam	106768.0	314456.0	140398.0	38476.0	0.0	51669060.0	10.17	38476.0	49652.0	78338.0	18855.0
MON_R0_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_Pcomp/MON_R0_H2_Aligned.sortedByCoord.out.bam	162323.0	480903.0	225964.0	37488.0	0.0	65497143.0	4.33	37488.0	79004.0	133869.0	22292.0
MON_R0_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_Pcomp/MON_R0_H3_Aligned.sortedByCoord.out.bam	85303.0	263604.0	133632.0	22628.0	0.0	33965049.0	5.52	22628.0	39203.0	67265.0	11826.0
MON_R120_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_Pcomp/MON_R120_C1_Aligned.sortedByCoord.out.bam	116285.0	323285.0	130144.0	47206.0	0.0	40352715.0	3.96	47206.0	63554.0	79001.0	24749.0
MON_R120_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_Pcomp/MON_R120_C2_Aligned.sortedByCoord.out.bam	104436.0	288310.0	115488.0	46560.0	0.0	36806200.0	9.63	46560.0	53946.0	69596.0	21229.0
MON_R120_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_Pcomp/MON_R120_C3_Aligned.sortedByCoord.out.bam	164937.0	463622.0	195618.0	61954.0	0.0	56510038.0	19.26	61954.0	93084.0	112518.0	31178.0
MON_R120_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_Pcomp/MON_R120_H1_Aligned.sortedByCoord.out.bam	66562.0	216949.0	119586.0	12536.0	0.0	30883732.0	2.86	12536.0	26463.0	56414.0	6578.0
MON_R120_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_Pcomp/MON_R120_H2_Aligned.sortedByCoord.out.bam	107966.0	341227.0	173506.0	18706.0	0.0	56129287.0	6.64	18706.0	41310.0	96541.0	9559.0
MON_R120_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_Pcomp/MON_R120_H3_Aligned.sortedByCoord.out.bam	79495.0	257704.0	140142.0	12988.0	0.0	37054904.0	4.98	12988.0	29927.0	67459.0	6678.0
MON_R12_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_Pcomp/MON_R12_C1_Aligned.sortedByCoord.out.bam	117526.0	324393.0	130598.0	62508.0	0.0	29966839.0	6.59	62508.0	73719.0	56442.0	30736.0
MON_R12_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_Pcomp/MON_R12_C2_Aligned.sortedByCoord.out.bam	102376.0	297244.0	133164.0	40130.0	0.0	31535518.0	9.88	40130.0	57016.0	63754.0	21090.0
MON_R12_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/MON_Pcomp/MON_R12_C3_Aligned.sortedByCoord.out.bam	104243.0	286633.0	114118.0	46452.0	0.0	35883537.0	3.32	46452.0	56184.0	68129.0	21438.0
