Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
POC_R0_C1	0.02	3123.0
POC_R0_C2	0.05	9379.0
POC_R0_C3	0.09	17997.0
POC_R0_H1	0.03	5078.0
POC_R0_H2	0.03	5414.0
POC_R0_H3	0.04	7347.0
POC_R120_C1	0.04	12258.0
POC_R120_C2	0.02	3367.0
POC_R120_C3	0.02	3686.0
POC_R120_H1	0.08	14206.0
POC_R120_H2	0.02	6049.0
POC_R120_H3	0.08	16329.0
POC_R12_C1	0.04	6548.0
POC_R12_C2	0.12	24089.0
POC_R12_C3	0.03	11530.0
POC_R12_H1	0.05	9697.0
POC_R12_H2	0.04	7511.0
POC_R12_H3	0.02	2540.0
POC_R1_C1	0.03	6660.0
POC_R1_C2	0.01	3528.0
POC_R1_C3	0.04	6805.0
POC_R1_H1	0.04	11532.0
POC_R1_H2	0.02	4142.0
POC_R1_H3	0.06	12842.0
POC_R24_C1	0.06	12378.0
POC_R24_C2	0.08	13885.0
POC_R24_C3	0.02	5577.0
POC_R24_H1	0.03	4957.0
POC_R24_H2	0.04	6021.0
POC_R24_H3	0.04	7600.0
POC_R3_C1	0.03	5291.0
POC_R3_C2	0.05	9204.0
POC_R3_C3	0.08	17620.0
POC_R3_H1	0.04	6760.0
POC_R3_H2	0.01	2673.0
POC_R3_H3	0.05	7807.0
POC_R72_C1	0.03	4818.0
POC_R72_C2	0.02	5652.0
POC_R72_C3	0.04	7025.0
POC_R72_H1	0.04	9331.0
POC_R72_H2	0.05	8805.0
POC_R72_H3	0.1	15276.0
