Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
POC_R0_C1	19155605.0	276.0	3123.0	0.02	214.31	146.0	0.0	61.0	53.0	0.0	32.0	4.16	0.02	2.5	0.12	1.67	15442.0	0.08	3984.0	0.02	0.0	99.86	0.02	0	19129225	3831
POC_R0_C2	18332777.0	275.0	9379.0	0.05	216.2	279.0	0.0	118.0	90.0	0.0	71.0	4.11	0.01	2.39	0.13	1.62	63682.0	0.35	13731.0	0.07	0.0	99.5	0.03	0	18240485	5500
POC_R0_C3	19413836.0	275.0	17997.0	0.09	215.74	202.0	0.0	95.0	31.0	1.0	75.0	4.11	0.0	1.33	0.14	1.6	131073.0	0.68	26320.0	0.14	0.0	99.08	0.02	0	19234563	3883
POC_R0_H1	18505556.0	276.0	5078.0	0.03	216.64	759.0	0.0	360.0	270.0	0.0	129.0	3.99	0.02	2.75	0.12	1.61	29457.0	0.16	6622.0	0.04	0.0	99.75	0.03	0	18458847	5552
POC_R0_H2	17194253.0	276.0	5414.0	0.03	216.87	282.0	0.0	158.0	84.0	0.0	40.0	4.1	0.02	2.9	0.15	1.63	38212.0	0.22	8552.0	0.05	0.0	99.67	0.03	0	17136917	5158
POC_R0_H3	20720904.0	277.0	7347.0	0.04	216.77	211.0	0.0	118.0	46.0	0.0	47.0	4.09	0.01	2.61	0.14	1.58	55331.0	0.27	11643.0	0.06	0.0	99.62	0.02	0	20642439	4144
POC_R120_C1	29678285.0	266.0	12258.0	0.04	204.02	613.0	0.0	340.0	137.0	0.0	136.0	4.31	0.02	2.82	0.09	1.67	73776.0	0.25	13665.0	0.05	0.0	99.63	0.03	0	29569682	8904
POC_R120_C2	16540844.0	276.0	3367.0	0.02	215.45	244.0	0.0	139.0	66.0	0.0	39.0	4.1	0.02	2.38	0.13	1.65	17906.0	0.11	4399.0	0.03	0.0	99.82	0.02	0	16511864	3308
POC_R120_C3	18412529.0	276.0	3686.0	0.02	216.23	446.0	0.0	206.0	168.0	0.0	72.0	4.02	0.02	3.14	0.12	1.64	20350.0	0.11	4478.0	0.02	0.0	99.82	0.03	0	18378492	5523
POC_R120_H1	18059569.0	276.0	14206.0	0.08	217.7	164.0	0.0	78.0	27.0	0.0	59.0	4.07	0.0	1.34	0.14	1.54	110332.0	0.61	20777.0	0.12	0.0	99.18	0.02	0	17910642	3612
