Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
POC_R0_C1	0.32	61526.0
POC_R0_C2	0.65	119137.0
POC_R0_C3	0.44	86160.0
POC_R0_H1	0.62	115594.0
POC_R0_H2	0.75	128285.0
POC_R0_H3	0.49	101226.0
POC_R120_C1	0.72	213131.0
POC_R120_C2	0.52	86178.0
POC_R120_C3	0.52	96533.0
POC_R120_H1	0.41	73350.0
POC_R120_H2	1.4	420919.0
POC_R120_H3	0.78	152227.0
POC_R12_C1	0.92	147222.0
POC_R12_C2	0.8	165889.0
POC_R12_C3	0.45	155085.0
POC_R12_H1	0.63	119346.0
POC_R12_H2	0.98	184514.0
POC_R12_H3	0.66	100585.0
POC_R1_C1	0.59	119398.0
POC_R1_C2	0.37	93157.0
POC_R1_C3	0.29	54311.0
POC_R1_H1	0.4	116350.0
POC_R1_H2	0.55	109433.0
POC_R1_H3	0.36	71536.0
POC_R24_C1	0.27	57270.0
POC_R24_C2	0.34	56185.0
POC_R24_C3	0.47	106815.0
POC_R24_H1	0.51	96101.0
POC_R24_H2	1.0	167129.0
POC_R24_H3	0.39	71044.0
POC_R3_C1	0.42	85678.0
POC_R3_C2	0.59	109782.0
POC_R3_C3	0.35	76948.0
POC_R3_H1	0.75	115474.0
POC_R3_H2	0.18	57195.0
POC_R3_H3	0.54	92456.0
POC_R72_C1	0.45	84589.0
POC_R72_C2	0.53	124086.0
POC_R72_C3	1.11	197926.0
POC_R72_H1	0.54	120453.0
POC_R72_H2	1.1	189190.0
POC_R72_H3	0.49	75276.0
