Module	Section	Sample Name	Source
STAR	SummaryLog	POC_R1_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Dtrenchii/POC_R1_C1_Log.final.out
STAR	SummaryLog	POC_R0_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Dtrenchii/POC_R0_H3_Log.final.out
STAR	SummaryLog	POC_R0_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Dtrenchii/POC_R0_C1_Log.final.out
STAR	SummaryLog	POC_R12_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Dtrenchii/POC_R12_C2_Log.final.out
STAR	SummaryLog	POC_R1_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Dtrenchii/POC_R1_H3_Log.final.out
STAR	SummaryLog	POC_R24_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Dtrenchii/POC_R24_H3_Log.final.out
STAR	SummaryLog	POC_R72_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Dtrenchii/POC_R72_C2_Log.final.out
STAR	SummaryLog	POC_R120_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Dtrenchii/POC_R120_H3_Log.final.out
STAR	SummaryLog	POC_R3_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Dtrenchii/POC_R3_C1_Log.final.out
STAR	SummaryLog	POC_R120_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Dtrenchii/POC_R120_C1_Log.final.out
STAR	SummaryLog	POC_R3_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Dtrenchii/POC_R3_H3_Log.final.out
STAR	SummaryLog	POC_R24_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_Dtrenchii/POC_R24_C1_Log.final.out
