Sample	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
POC_R0_C1	0.84	39460.0	0.14	27346.0
POC_R0_C2	0.66	51523.0	0.16	29676.0
POC_R0_C3	0.92	75178.0	0.2	38216.0
POC_R0_H1	1.32	41240.0	0.15	26860.0
POC_R0_H2	0.83	42281.0	0.16	26717.0
POC_R0_H3	1.14	52843.0	0.15	32048.0
POC_R120_C1	1.72	89104.0	0.18	54160.0
POC_R120_C2	1.69	34957.0	0.14	23572.0
POC_R120_C3	1.46	38323.0	0.14	25842.0
POC_R120_H1	2.6	64589.0	0.19	34197.0
POC_R120_H2	2.4	49398.0	0.12	36426.0
POC_R120_H3	2.09	72439.0	0.19	36677.0
POC_R12_C1	0.58	39620.0	0.15	24192.0
POC_R12_C2	1.01	56887.0	0.16	32962.0
POC_R12_C3	1.74	96823.0	0.18	63140.0
POC_R12_H1	1.64	49479.0	0.15	28361.0
POC_R12_H2	0.77	44636.0	0.15	27451.0
POC_R12_H3	0.78	35196.0	0.16	23874.0
POC_R1_C1	0.88	49204.0	0.15	30454.0
POC_R1_C2	1.08	49140.0	0.13	33657.0
POC_R1_C3	0.68	49695.0	0.16	30237.0
POC_R1_H1	0.98	88151.0	0.19	55014.0
POC_R1_H2	0.71	49165.0	0.16	32436.0
POC_R1_H3	0.74	66308.0	0.19	37178.0
POC_R24_C1	0.74	64702.0	0.17	36717.0
POC_R24_C2	0.48	58907.0	0.19	30379.0
POC_R24_C3	0.68	48795.0	0.14	31989.0
POC_R24_H1	1.03	43816.0	0.15	28321.0
POC_R24_H2	0.55	37808.0	0.14	23367.0
POC_R24_H3	0.7	45058.0	0.15	26964.0
POC_R3_C1	0.42	42150.0	0.14	27596.0
POC_R3_C2	1.5	49523.0	0.15	28776.0
POC_R3_C3	0.6	74031.0	0.17	38787.0
POC_R3_H1	0.5	43554.0	0.17	26470.0
POC_R3_H2	0.98	62014.0	0.15	45024.0
POC_R3_H3	1.28	47531.0	0.17	28404.0
POC_R72_C1	0.53	43426.0	0.15	28429.0
POC_R72_C2	0.89	51689.0	0.14	33338.0
POC_R72_C3	0.52	42887.0	0.15	26215.0
POC_R72_H1	1.0	59065.0	0.16	35029.0
POC_R72_H2	0.79	46209.0	0.15	26396.0
POC_R72_H3	0.97	59478.0	0.2	30133.0
