Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
POC_R0_C1	19155605.0	276.0	27346.0	0.14	232.4	6481.0	4627.0	5534.0	34.0	4.0	909.0	3.45	0.11	2.57	0.11	1.77	12114.0	0.06	14848.0	0.08	0.0	99.68	0.03	0	19095550	5747
POC_R0_C2	18332777.0	275.0	29676.0	0.16	233.0	5427.0	3312.0	4541.0	47.0	1.0	838.0	3.55	0.09	2.49	0.17	1.28	21847.0	0.12	70774.0	0.39	0.0	99.3	0.03	0	18204980	5500
POC_R0_C3	19413836.0	275.0	38216.0	0.2	236.99	6870.0	4017.0	5931.0	50.0	7.0	882.0	3.61	0.08	2.49	0.21	1.15	36962.0	0.19	146911.0	0.76	0.0	98.83	0.03	0	19185923	5824
POC_R0_H1	18505556.0	276.0	26860.0	0.15	232.27	5680.0	3756.0	4771.0	38.0	2.0	869.0	3.45	0.1	2.56	0.12	1.46	14381.0	0.08	31484.0	0.17	0.0	99.58	0.03	0	18427279	5552
POC_R0_H2	17194253.0	276.0	26717.0	0.16	236.4	5640.0	3730.0	4795.0	47.0	3.0	795.0	3.44	0.09	2.6	0.14	1.35	15564.0	0.09	39843.0	0.23	0.0	99.49	0.03	0	17106971	5158
POC_R0_H3	20720904.0	277.0	32048.0	0.15	235.58	6840.0	4465.0	5888.0	44.0	1.0	907.0	3.51	0.09	2.49	0.15	1.36	20795.0	0.1	61545.0	0.3	0.0	99.42	0.03	0	20600300	6216
POC_R120_C1	29678285.0	266.0	54160.0	0.18	218.68	11461.0	7721.0	9650.0	89.0	9.0	1713.0	3.62	0.09	2.46	0.13	1.41	34945.0	0.12	85883.0	0.29	0.0	99.37	0.04	0	29491426	11871
POC_R120_C2	16540844.0	276.0	23572.0	0.14	231.44	5099.0	3543.0	4261.0	34.0	1.0	803.0	3.44	0.11	2.55	0.11	1.58	11385.0	0.07	18822.0	0.11	0.0	99.64	0.03	0	16482103	4962
POC_R120_C3	18412529.0	276.0	25842.0	0.14	232.41	6221.0	4369.0	5303.0	44.0	0.0	874.0	3.46	0.11	2.52	0.11	1.63	12481.0	0.07	20718.0	0.11	0.0	99.65	0.03	0	18347964	5524
POC_R120_H1	18059569.0	276.0	34197.0	0.19	238.06	6413.0	3574.0	5572.0	58.0	5.0	778.0	3.54	0.07	2.51	0.2	1.19	30392.0	0.17	124408.0	0.69	0.0	98.92	0.03	0	17865154	5418
POC_R120_H2	30156569.0	276.0	36426.0	0.12	228.06	9320.0	7290.0	8146.0	30.0	4.0	1140.0	3.5	0.1	2.59	0.08	1.78	12972.0	0.04	8230.0	0.03	0.0	99.76	0.04	0	30086877	12064
POC_R120_H3	19432523.0	276.0	36677.0	0.19	238.54	5767.0	2980.0	4818.0	77.0	7.0	865.0	3.62	0.08	2.54	0.21	1.16	35762.0	0.18	129576.0	0.67	0.0	98.93	0.03	0	19224678	5830
POC_R12_C1	15950909.0	277.0	24192.0	0.15	236.32	4344.0	2563.0	3622.0	34.0	3.0	685.0	3.5	0.11	2.66	0.14	1.34	15428.0	0.1	45415.0	0.28	0.0	99.44	0.03	0	15861089	4785
POC_R12_C2	20841125.0	277.0	32962.0	0.16	237.43	6374.0	3832.0	5520.0	50.0	2.0	802.0	3.55	0.09	2.6	0.17	1.27	23925.0	0.11	86453.0	0.41	0.0	99.29	0.03	0	20691533	6252
POC_R12_C3	34184331.0	266.0	63140.0	0.18	219.56	14212.0	9970.0	12192.0	84.0	3.0	1933.0	3.51	0.09	2.39	0.12	1.48	33683.0	0.1	74137.0	0.22	0.0	99.46	0.04	0	33999697	13674
POC_R12_H1	18800091.0	277.0	28361.0	0.15	236.34	4458.0	2457.0	3618.0	37.0	1.0	802.0	3.51	0.09	2.64	0.17	1.24	21118.0	0.11	78481.0	0.42	0.0	99.29	0.03	0	18666491	5640
POC_R12_H2	18767083.0	277.0	27451.0	0.15	235.47	4531.0	2779.0	3800.0	27.0	0.0	704.0	3.52	0.1	2.6	0.15	1.33	17185.0	0.09	50624.0	0.27	0.0	99.47	0.03	0	18666193	5630
POC_R12_H3	15294654.0	276.0	23874.0	0.16	237.14	3893.0	2345.0	3145.0	33.0	4.0	711.0	3.34	0.12	2.57	0.1	1.6	11322.0	0.07	14915.0	0.1	0.0	99.64	0.03	0	15239954	4589
POC_R1_C1	20322596.0	275.0	30454.0	0.15	232.49	5900.0	3728.0	4954.0	47.0	6.0	893.0	3.52	0.09	2.48	0.13	1.39	18750.0	0.09	46330.0	0.23	0.0	99.5	0.03	0	20220965	6097
POC_R1_C2	25354966.0	275.0	33657.0	0.13	232.26	9694.0	6988.0	8022.0	54.0	1.0	1617.0	3.55	0.12	2.81	0.1	1.83	15483.0	0.06	16692.0	0.07	0.0	99.71	0.03	0	25281527	7607
POC_R1_C3	18780811.0	276.0	30237.0	0.16	235.49	6329.0	3964.0	5465.0	60.0	5.0	799.0	3.53	0.09	2.52	0.15	1.37	19458.0	0.1	57901.0	0.31	0.0	99.4	0.03	0	18667581	5634
POC_R1_H1	29405414.0	267.0	55014.0	0.19	220.16	9821.0	6495.0	8233.0	73.0	10.0	1505.0	3.54	0.09	2.61	0.13	1.41	33137.0	0.11	77376.0	0.26	0.0	99.4	0.04	0	29228125	11762
POC_R1_H2	20024009.0	277.0	32436.0	0.16	236.39	5462.0	3397.0	4504.0	26.0	4.0	928.0	3.43	0.11	2.53	0.11	1.56	16729.0	0.08	29083.0	0.15	0.0	99.58	0.03	0	19939754	6007
POC_R1_H3	19823541.0	276.0	37178.0	0.19	237.91	6499.0	3762.0	5495.0	71.0	2.0	931.0	3.55	0.1	2.73	0.17	1.24	29130.0	0.15	104920.0	0.53	0.0	99.11	0.03	0	19646366	5947
POC_R24_C1	21120682.0	277.0	36717.0	0.17	237.93	6377.0	3614.0	5360.0	52.0	3.0	962.0	3.54	0.09	2.51	0.18	1.28	27985.0	0.13	101370.0	0.48	0.0	99.19	0.03	0	20948274	6336
POC_R24_C2	16396475.0	277.0	30379.0	0.19	238.06	5164.0	2876.0	4441.0	53.0	0.0	670.0	3.65	0.08	2.51	0.23	1.16	28528.0	0.17	125805.0	0.77	0.0	98.85	0.03	0	16206844	4919
POC_R24_C3	22674647.0	277.0	31989.0	0.14	235.67	6531.0	4415.0	5529.0	48.0	3.0	951.0	3.45	0.09	2.37	0.12	1.46	16806.0	0.07	37561.0	0.17	0.0	99.59	0.03	0	22581489	6802
POC_R24_H1	18977274.0	274.0	28321.0	0.15	231.55	5037.0	3280.0	4154.0	28.0	3.0	852.0	3.48	0.1	2.54	0.11	1.44	15495.0	0.08	31050.0	0.16	0.0	99.58	0.03	0	18896715	5693
POC_R24_H2	16733336.0	277.0	23367.0	0.14	236.07	4152.0	2656.0	3489.0	36.0	1.0	626.0	3.51	0.11	2.6	0.14	1.34	14441.0	0.09	41878.0	0.25	0.0	99.5	0.03	0	16648630	5020
POC_R24_H3	18033331.0	277.0	26964.0	0.15	236.31	4947.0	3047.0	4228.0	32.0	5.0	682.0	3.54	0.1	2.65	0.16	1.29	18094.0	0.1	58492.0	0.32	0.0	99.4	0.03	0	17924371	5410
POC_R3_C1	20389362.0	276.0	27596.0	0.14	232.37	6318.0	4470.0	5502.0	65.0	2.0	749.0	3.5	0.1	2.66	0.13	1.42	14555.0	0.07	38961.0	0.19	0.0	99.57	0.03	0	20302133	6117
POC_R3_C2	18647667.0	275.0	28776.0	0.15	231.7	5557.0	3660.0	4744.0	43.0	2.0	768.0	3.58	0.08	2.58	0.16	1.24	20747.0	0.11	67163.0	0.36	0.0	99.34	0.03	0	18525386	5595
POC_R3_C3	22206991.0	276.0	38787.0	0.17	237.93	6589.0	3677.0	5605.0	72.0	3.0	909.0	3.62	0.08	2.5	0.21	1.17	35244.0	0.16	147827.0	0.67	0.0	98.97	0.03	0	21978471	6662
POC_R3_H1	15404553.0	278.0	26470.0	0.17	239.63	3367.0	1715.0	2675.0	26.0	1.0	665.0	3.43	0.1	2.58	0.14	1.28	17084.0	0.11	52286.0	0.34	0.0	99.35	0.03	0	15304092	4621
POC_R3_H2	31036781.0	266.0	45024.0	0.15	220.17	8660.0	5526.0	6748.0	46.0	2.0	1864.0	3.53	0.11	2.91	0.08	1.97	16990.0	0.05	4945.0	0.02	0.0	99.75	0.04	0	30957408	12414
POC_R3_H3	16987689.0	277.0	28404.0	0.17	237.14	4508.0	2660.0	3809.0	59.0	1.0	639.0	3.39	0.09	2.72	0.16	1.25	19127.0	0.11	65396.0	0.38	0.0	99.31	0.03	0	16869666	5096
POC_R72_C1	18783520.0	275.0	28429.0	0.15	231.06	6112.0	4170.0	5178.0	56.0	0.0	878.0	3.48	0.11	2.42	0.12	1.52	14997.0	0.08	31580.0	0.17	0.0	99.57	0.03	0	18702879	5635
POC_R72_C2	23233557.0	277.0	33338.0	0.14	235.73	7053.0	4653.0	5989.0	42.0	4.0	1018.0	3.48	0.1	2.56	0.12	1.48	18351.0	0.08	39546.0	0.17	0.0	99.58	0.03	0	23135352	6970
POC_R72_C3	17855369.0	277.0	26215.0	0.15	237.17	5039.0	3103.0	4293.0	33.0	0.0	713.0	3.49	0.1	2.55	0.15	1.36	16672.0	0.09	46842.0	0.26	0.0	99.47	0.03	0	17760284	5356
POC_R72_H1	22264917.0	277.0	35029.0	0.16	238.4	6390.0	3889.0	5491.0	53.0	0.0	846.0	3.49	0.1	2.66	0.15	1.28	24036.0	0.11	74898.0	0.34	0.0	99.37	0.03	0	22124275	6679
POC_R72_H2	17132924.0	277.0	26396.0	0.15	237.49	4470.0	2631.0	3747.0	32.0	1.0	690.0	3.55	0.09	2.62	0.16	1.24	19814.0	0.12	66427.0	0.39	0.0	99.32	0.03	0	17015148	5139
