Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
POC_R0_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_MCapV3/POC_R0_C1_Aligned.sortedByCoord.out.bam	39460.0	154904.0	97082.0	5706.0	0.0	38232290.0	0.84	5706.0	17532.0	31398.0	4672.0
POC_R0_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_MCapV3/POC_R0_C2_Aligned.sortedByCoord.out.bam	51523.0	302042.0	226394.0	4664.0	0.0	36562508.0	0.66	4664.0	14452.0	40170.0	3714.0
POC_R0_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_MCapV3/POC_R0_C3_Aligned.sortedByCoord.out.bam	75178.0	523416.0	413622.0	5196.0	0.0	38677316.0	0.92	5196.0	17046.0	54074.0	4358.0
POC_R0_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_MCapV3/POC_R0_H1_Aligned.sortedByCoord.out.bam	41240.0	191984.0	131188.0	5112.0	0.0	36928631.0	1.32	5112.0	15164.0	33378.0	3925.0
POC_R0_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_MCapV3/POC_R0_H2_Aligned.sortedByCoord.out.bam	42281.0	209914.0	147638.0	5068.0	0.0	34303944.0	0.83	5068.0	14850.0	33464.0	3913.0
POC_R0_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_MCapV3/POC_R0_H3_Aligned.sortedByCoord.out.bam	52843.0	281774.0	204214.0	5632.0	0.0	41336122.0	1.14	5632.0	17252.0	41122.0	4829.0
POC_R120_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_MCapV3/POC_R120_C1_Aligned.sortedByCoord.out.bam	89104.0	488369.0	357124.0	7472.0	0.0	59178361.0	1.72	7472.0	30254.0	70445.0	7520.0
POC_R120_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_MCapV3/POC_R120_C2_Aligned.sortedByCoord.out.bam	34957.0	147904.0	96618.0	4338.0	0.0	33011774.0	1.69	4338.0	13746.0	29004.0	3694.0
POC_R120_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_MCapV3/POC_R120_C3_Aligned.sortedByCoord.out.bam	38323.0	163376.0	107122.0	5182.0	0.0	36748412.0	1.46	5182.0	15968.0	30494.0	4280.0
POC_R120_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_MCapV3/POC_R120_H1_Aligned.sortedByCoord.out.bam	64589.0	431870.0	336508.0	4886.0	0.0	35989960.0	2.6	4886.0	15502.0	47904.0	3956.0
POC_R120_H2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_MCapV3/POC_R120_H2_Aligned.sortedByCoord.out.bam	49398.0	172854.0	98340.0	6682.0	0.0	60214342.0	2.4	6682.0	21382.0	44670.0	6114.0
POC_R120_H3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_MCapV3/POC_R120_H3_Aligned.sortedByCoord.out.bam	72439.0	501712.0	396524.0	4670.0	0.0	38720168.0	2.09	4670.0	16062.0	52484.0	3852.0
POC_R12_C1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_MCapV3/POC_R12_C1_Aligned.sortedByCoord.out.bam	39620.0	205306.0	147428.0	4114.0	0.0	31822578.0	0.58	4114.0	12670.0	31528.0	3238.0
POC_R12_C2	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_MCapV3/POC_R12_C2_Aligned.sortedByCoord.out.bam	56887.0	327736.0	243364.0	5632.0	0.0	41568476.0	1.01	5632.0	16512.0	43672.0	4333.0
POC_R12_C3	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_MCapV3/POC_R12_C3_Aligned.sortedByCoord.out.bam	96823.0	469802.0	325214.0	9230.0	0.0	68175016.0	1.74	9230.0	35632.0	81256.0	9735.0
POC_R12_H1	/scratch4/workspace/zdellaert_uri_edu-shared_TimeSeries/TimeSeries/aligned/POC_MCapV3/POC_R12_H1_Aligned.sortedByCoord.out.bam	49479.0	290548.0	217660.0	4484.0	0.0	37501224.0	1.64	4484.0	12658.0	39512.0	3267.0
