Sample	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
POC_R0_C1	1.08	15463173.0	75.45	14452762.0
POC_R0_C2	1.11	14593432.0	71.76	13154786.0
POC_R0_C3	1.11	15895407.0	71.14	13810344.0
POC_R0_H1	1.12	14727979.0	73.74	13646692.0
POC_R0_H2	1.11	13949512.0	73.97	12719058.0
POC_R0_H3	1.1	17235490.0	75.6	15664852.0
POC_R120_C1	1.1	20217167.0	62.68	18602051.0
POC_R120_C2	1.08	13182416.0	74.2	12272700.0
POC_R120_C3	1.12	14649302.0	74.03	13631350.0
POC_R120_H1	1.08	14876412.0	71.8	12967404.0
POC_R120_H2	1.11	21572793.0	67.44	20336866.0
POC_R120_H3	1.11	15476803.0	69.41	13487201.0
POC_R12_C1	1.1	12888407.0	73.3	11692444.0
POC_R12_C2	1.07	17119662.0	73.38	15294002.0
POC_R12_C3	1.08	23482267.0	63.27	21627403.0
POC_R12_H1	1.11	15626424.0	74.89	14079948.0
POC_R12_H2	1.1	15152730.0	73.75	13839895.0
POC_R12_H3	1.12	12097207.0	73.56	11250641.0
POC_R1_C1	1.1	16059404.0	72.85	14805233.0
POC_R1_C2	1.08	19934034.0	73.67	18678486.0
POC_R1_C3	1.09	15796300.0	76.27	14324225.0
POC_R1_H1	1.09	20812951.0	64.7	19025840.0
POC_R1_H2	1.1	16523622.0	75.82	15182732.0
POC_R1_H3	1.13	16643443.0	73.95	14658989.0
POC_R24_C1	1.09	17872332.0	75.21	15885081.0
POC_R24_C2	1.09	14017508.0	73.63	12072668.0
POC_R24_C3	1.09	18775900.0	76.24	17286373.0
POC_R24_H1	1.13	14929524.0	72.86	13826211.0
POC_R24_H2	1.12	13507287.0	73.82	12353229.0
POC_R24_H3	1.09	15132375.0	76.25	13749851.0
POC_R3_C1	1.12	16821543.0	76.56	15609135.0
POC_R3_C2	1.1	14988777.0	72.94	13602252.0
POC_R3_C3	1.09	18706215.0	73.25	16267007.0
POC_R3_H1	1.13	12541274.0	72.86	11224152.0
POC_R3_H2	1.09	21343151.0	63.7	19769036.0
POC_R3_H3	1.07	14162400.0	74.24	12611191.0
POC_R72_C1	1.09	14895181.0	73.52	13809154.0
POC_R72_C2	1.12	19099599.0	75.77	17603892.0
POC_R72_C3	1.12	14267671.0	72.65	12971358.0
POC_R72_H1	1.1	18467029.0	74.8	16653686.0
POC_R72_H2	1.11	13608668.0	71.14	12187712.0
POC_R72_H3	1.1	13062377.0	71.59	11035197.0
