Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
POC_R0_C1	19155605.0	276.0	14452762.0	75.45	276.42	14542879.0	13371978.0	14331668.0	78197.0	6896.0	126118.0	1.04	0.06	2.57	0.04	2.51	1010474.0	5.28	55330.0	0.29	0.0	18.56	0.42	0	3556557	80482
POC_R0_C2	18332777.0	275.0	13154786.0	71.76	275.86	12783370.0	11666923.0	12583645.0	68526.0	5568.0	125631.0	1.04	0.06	2.59	0.04	2.5	1438701.0	7.85	49636.0	0.27	0.0	19.71	0.41	0	3614467	75187
POC_R0_C3	19413836.0	275.0	13810344.0	71.14	275.59	13422311.0	12290327.0	13222126.0	71586.0	6064.0	122535.0	1.02	0.05	2.59	0.04	2.53	2085149.0	10.74	55067.0	0.28	0.0	17.43	0.41	0	3383683	79593
POC_R0_H1	18505556.0	276.0	13646692.0	73.74	276.35	13768012.0	12652454.0	13563249.0	73760.0	6560.0	124443.0	1.05	0.05	2.58	0.04	2.51	1081360.0	5.84	48571.0	0.26	0.0	19.78	0.37	0	3660461	68472
POC_R0_H2	17194253.0	276.0	12719058.0	73.97	276.71	12689768.0	11591946.0	12485512.0	68943.0	5858.0	129455.0	1.03	0.06	2.6	0.04	2.52	1230513.0	7.16	51066.0	0.3	0.0	18.16	0.42	0	3121424	72192
POC_R0_H3	20720904.0	277.0	15664852.0	75.6	276.7	15694849.0	14299443.0	15435948.0	82428.0	7658.0	168815.0	1.03	0.06	2.62	0.04	2.51	1570705.0	7.58	57097.0	0.28	0.0	16.15	0.39	0	3347415	80835
POC_R120_C1	13618183.0	275.0	9786896.0	71.87	276.1	9797735.0	8984389.0	9664475.0	52434.0	4533.0	76293.0	1.05	0.06	2.61	0.04	2.53	818590.0	6.01	36934.0	0.27	0.0	21.49	0.37	0	2925396	50367
POC_R120_C2	16540844.0	276.0	12272700.0	74.2	276.39	12158700.0	11163828.0	11991258.0	64798.0	5130.0	97514.0	1.05	0.06	2.59	0.04	2.53	909773.0	5.5	44570.0	0.27	0.0	19.64	0.4	0	3247657	66144
POC_R120_C3	18412529.0	276.0	13631350.0	74.03	276.42	13523783.0	12393368.0	13333907.0	71978.0	5991.0	111907.0	1.06	0.06	2.58	0.04	2.53	1018010.0	5.53	49425.0	0.27	0.0	19.79	0.38	0	3643778	69966
POC_R120_H1	18059569.0	276.0	12967404.0	71.8	275.93	12398255.0	11220666.0	12215875.0	62808.0	5818.0	113754.0	1.04	0.06	2.55	0.04	2.52	1909077.0	10.57	56067.0	0.31	0.0	16.86	0.46	0	3043971	83050
POC_R120_H2	30156569.0	276.0	20336866.0	67.44	276.1	18988367.0	17409126.0	18705566.0	107860.0	9719.0	165222.0	1.08	0.06	2.53	0.04	2.44	1236075.0	4.1	66514.0	0.22	0.0	27.85	0.39	0	8399491	117623
