Sample	bam_file	reads_aligned	total_alignments	non_unique_alignments	reads_aligned_genes	ambiguous_alignments	not_aligned	5_3_bias	reads_aligned_exonic	reads_aligned_intronic	reads_aligned_intergenic	reads_aligned_overlapping_exon
POC_R0_C1	POC_R0_C1_Aligned.sortedByCoord.out.bam	15463173.0	34866006.0	5958966.0	12267958.0	694.0	7384801.0	1.08	12267958.0	7495882.0	9139642.0	3884001.0
POC_R0_C2	POC_R0_C2_Aligned.sortedByCoord.out.bam	14593432.0	34831345.0	8520412.0	10582434.0	538.0	7478635.0	1.11	10582434.0	6862850.0	8862375.0	3493940.0
POC_R0_C3	POC_R0_C3_Aligned.sortedByCoord.out.bam	15895407.0	40076657.0	12454557.0	11162575.0	524.0	7036772.0	1.11	11162575.0	7172562.0	9283579.0	3604791.0
POC_R0_H1	POC_R0_H1_Aligned.sortedByCoord.out.bam	14727979.0	33655568.0	6360967.0	11533383.0	552.0	7555081.0	1.12	11533383.0	7087707.0	8670571.0	3687246.0
POC_R0_H2	POC_R0_H2_Aligned.sortedByCoord.out.bam	13949512.0	32735189.0	7295858.0	10511608.0	520.0	6489423.0	1.11	10511608.0	6827093.0	8097548.0	3411553.0
POC_R0_H3	POC_R0_H3_Aligned.sortedByCoord.out.bam	17235490.0	40599441.0	9268090.0	12626092.0	726.0	6970761.0	1.1	12626092.0	8516695.0	10184314.0	4318390.0
POC_R120_C1	POC_R120_C1_Aligned.sortedByCoord.out.bam	10605428.0	24424633.0	4849949.0	8021874.0	450.0	6025452.0	1.1	8021874.0	5332249.0	6218415.0	2711014.0
POC_R120_C2	POC_R120_C2_Aligned.sortedByCoord.out.bam	13182416.0	29892648.0	5346118.0	10196002.0	620.0	6716799.0	1.08	10196002.0	6449939.0	7897787.0	3302895.0
POC_R120_C3	POC_R120_C3_Aligned.sortedByCoord.out.bam	14649302.0	33218202.0	5954317.0	11374431.0	626.0	7526396.0	1.12	11374431.0	7141211.0	8745319.0	3655544.0
POC_R120_H1	POC_R120_H1_Aligned.sortedByCoord.out.bam	14876412.0	37335318.0	11398660.0	9880840.0	604.0	6366245.0	1.08	9880840.0	7091685.0	8959313.0	3534599.0
POC_R120_H2	POC_R120_H2_Aligned.sortedByCoord.out.bam	21572793.0	47762295.0	7087035.0	16395881.0	1082.0	17167404.0	1.11	16395881.0	9285824.0	14988789.0	5150392.0
POC_R120_H3	POC_R120_H3_Aligned.sortedByCoord.out.bam	15476803.0	38903481.0	11927276.0	10541514.0	554.0	7911354.0	1.11	10541514.0	7072487.0	9357536.0	3525486.0
POC_R12_C1	POC_R12_C1_Aligned.sortedByCoord.out.bam	12888407.0	30476152.0	7089920.0	9663070.0	514.0	6124955.0	1.1	9663070.0	6283403.0	7436749.0	3124367.0
POC_R12_C2	POC_R12_C2_Aligned.sortedByCoord.out.bam	17119662.0	41417072.0	10827432.0	12761481.0	686.0	7442861.0	1.07	12761481.0	7943349.0	9880984.0	4000630.0
POC_R12_C3	POC_R12_C3_Aligned.sortedByCoord.out.bam	10615221.0	24386083.0	4754319.0	8041043.0	460.0	5407227.0	1.1	8041043.0	5511645.0	6076244.0	2721809.0
POC_R12_H1	POC_R12_H1_Aligned.sortedByCoord.out.bam	15626424.0	37326649.0	9164764.0	11520602.0	568.0	6347280.0	1.11	11520602.0	7510011.0	9127038.0	3829100.0
POC_R12_H2	POC_R12_H2_Aligned.sortedByCoord.out.bam	15152730.0	35448978.0	7767366.0	11513703.0	542.0	7228641.0	1.1	11513703.0	7298104.0	8865951.0	3739048.0
POC_R12_H3	POC_R12_H3_Aligned.sortedByCoord.out.bam	12097207.0	27589141.0	5086086.0	9031780.0	456.0	6394824.0	1.12	9031780.0	6338194.0	7129437.0	3036272.0
POC_R1_C1	POC_R1_C1_Aligned.sortedByCoord.out.bam	16059404.0	37029195.0	7417315.0	12262826.0	636.0	8526301.0	1.1	12262826.0	7977011.0	9368829.0	4068105.0
POC_R1_C2	POC_R1_C2_Aligned.sortedByCoord.out.bam	19934034.0	44732045.0	7373082.0	16041885.0	880.0	10841730.0	1.08	16041885.0	9515442.0	11797132.0	4956075.0
POC_R1_C3	POC_R1_C3_Aligned.sortedByCoord.out.bam	15796300.0	37352826.0	8703010.0	11705816.0	802.0	5968959.0	1.09	11705816.0	7704269.0	9236187.0	3894475.0
POC_R1_H1	POC_R1_H1_Aligned.sortedByCoord.out.bam	11538226.0	26842181.0	5668511.0	8660572.0	482.0	5691188.0	1.1	8660572.0	5400480.0	7108914.0	2730662.0
POC_R1_H2	POC_R1_H2_Aligned.sortedByCoord.out.bam	16523622.0	38337534.0	7969931.0	12415029.0	690.0	7000702.0	1.1	12415029.0	8198622.0	9749146.0	3994457.0
POC_R1_H3	POC_R1_H3_Aligned.sortedByCoord.out.bam	16643443.0	41212489.0	11892363.0	11500532.0	554.0	6360133.0	1.13	11500532.0	8085475.0	9729831.0	3966327.0
POC_R24_C1	POC_R24_C1_Aligned.sortedByCoord.out.bam	17872332.0	43638709.0	11866888.0	13001217.0	614.0	6496627.0	1.09	13001217.0	8495515.0	10271109.0	4218345.0
POC_R24_C2	POC_R24_C2_Aligned.sortedByCoord.out.bam	14017508.0	35714062.0	11567406.0	9748723.0	530.0	4757888.0	1.09	9748723.0	6316716.0	8078121.0	3206860.0
POC_R24_C3	POC_R24_C3_Aligned.sortedByCoord.out.bam	18775900.0	43303507.0	8729006.0	14295752.0	790.0	7797434.0	1.09	14295752.0	9417257.0	10856998.0	4762237.0
POC_R24_H1	POC_R24_H1_Aligned.sortedByCoord.out.bam	14929524.0	34218041.0	6564043.0	11188691.0	506.0	8095418.0	1.13	11188691.0	7370495.0	9091012.0	3736823.0
POC_R24_H2	POC_R24_H2_Aligned.sortedByCoord.out.bam	13507287.0	31549940.0	6841867.0	10169919.0	494.0	6452047.0	1.12	10169919.0	6458447.0	8076259.0	3330425.0
POC_R24_H3	POC_R24_H3_Aligned.sortedByCoord.out.bam	15132375.0	35690329.0	8188958.0	10952519.0	500.0	5801854.0	1.09	10952519.0	7480307.0	9064583.0	3852084.0
POC_R3_C1	POC_R3_C1_Aligned.sortedByCoord.out.bam	16821543.0	38280403.0	7060405.0	13172697.0	542.0	7135566.0	1.12	13172697.0	7999847.0	10043948.0	4256069.0
POC_R3_C2	POC_R3_C2_Aligned.sortedByCoord.out.bam	14988777.0	35340440.0	8134519.0	11588609.0	586.0	7317720.0	1.1	11588609.0	6971162.0	8643050.0	3624044.0
POC_R3_C3	POC_R3_C3_Aligned.sortedByCoord.out.bam	18706215.0	47048651.0	14513137.0	13068864.0	620.0	7001481.0	1.09	13068864.0	8655069.0	10808017.0	4385637.0
POC_R3_H1	POC_R3_H1_Aligned.sortedByCoord.out.bam	12541274.0	30506320.0	8054065.0	8791129.0	320.0	5726515.0	1.13	8791129.0	6157716.0	7497604.0	2943857.0
POC_R3_H2	POC_R3_H2_Aligned.sortedByCoord.out.bam	8078512.0	18444842.0	3397970.0	6170815.0	258.0	4207250.0	1.12	6170815.0	3744696.0	5128389.0	1917174.0
POC_R3_H3	POC_R3_H3_Aligned.sortedByCoord.out.bam	14162400.0	34659140.0	9432707.0	9831177.0	388.0	5650538.0	1.07	9831177.0	6671530.0	8717856.0	3364252.0
POC_R72_C1	POC_R72_C1_Aligned.sortedByCoord.out.bam	14895181.0	34023224.0	6403595.0	11155309.0	616.0	7776607.0	1.09	11155309.0	7468158.0	8993088.0	3805156.0
POC_R72_C2	POC_R72_C2_Aligned.sortedByCoord.out.bam	19099599.0	44016077.0	8806534.0	14922664.0	880.0	8267839.0	1.12	14922664.0	9252693.0	11029818.0	4716829.0
POC_R72_C3	POC_R72_C3_Aligned.sortedByCoord.out.bam	14267671.0	33638037.0	7693780.0	10541360.0	620.0	7175333.0	1.12	10541360.0	6845370.0	8554187.0	3446518.0
POC_R72_H1	POC_R72_H1_Aligned.sortedByCoord.out.bam	18467029.0	44119088.0	10809746.0	12959853.0	636.0	7595703.0	1.1	12959853.0	9134583.0	11210068.0	4580180.0
POC_R72_H2	POC_R72_H2_Aligned.sortedByCoord.out.bam	13608668.0	32868263.0	8491265.0	9698426.0	416.0	7048455.0	1.11	9698426.0	6560441.0	8114473.0	3303034.0
POC_R72_H3	POC_R72_H3_Aligned.sortedByCoord.out.bam	13062377.0	34222493.0	12150676.0	8449951.0	470.0	4705646.0	1.1	8449951.0	5822482.0	7796130.0	2865988.0
