Sample	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
POC_R0_C1	1.09	15169520.0	75.94	14302634.0
POC_R0_C2	1.11	13613540.0	73.91	12795303.0
POC_R0_C3	1.11	13989966.0	75.59	13161973.0
POC_R0_H1	1.12	14238549.0	74.76	13445918.0
POC_R0_H2	1.11	13288433.0	75.66	12486732.0
POC_R0_H3	1.1	16284832.0	77.68	15330581.0
POC_R120_C1	1.1	19341262.0	63.29	18175881.0
POC_R120_C2	1.08	12860825.0	74.86	12121912.0
POC_R120_C3	1.13	14289620.0	74.76	13464033.0
POC_R120_H1	1.09	13267849.0	75.88	12451105.0
POC_R120_H2	1.12	21374720.0	67.61	20207436.0
POC_R120_H3	1.11	13768682.0	73.15	12909054.0
POC_R12_C1	1.1	12174086.0	75.27	11447552.0
POC_R12_C2	1.07	15791289.0	76.31	14859638.0
POC_R12_C3	1.09	22691563.0	63.72	21228754.0
POC_R12_H1	1.11	14501044.0	77.84	13729623.0
POC_R12_H2	1.11	14350023.0	75.67	13568436.0
POC_R12_H3	1.12	11868005.0	74.15	11155012.0
POC_R1_C1	1.1	15414407.0	74.11	14551877.0
POC_R1_C2	1.08	19609655.0	74.08	18515716.0
POC_R1_C3	1.09	14881700.0	78.54	14006288.0
POC_R1_H1	1.09	19968464.0	65.33	18615343.0
POC_R1_H2	1.1	16021640.0	76.89	14988422.0
POC_R1_H3	1.13	15128672.0	77.69	14179746.0
POC_R24_C1	1.1	16346936.0	78.87	15399351.0
POC_R24_C2	1.09	12218810.0	79.14	11517531.0
POC_R24_C3	1.09	18119872.0	77.47	17031124.0
POC_R24_H1	1.13	14480884.0	73.72	13638866.0
POC_R24_H2	1.12	12832109.0	75.59	12118078.0
POC_R24_H3	1.1	14234612.0	78.66	13446836.0
POC_R3_C1	1.13	16246445.0	77.8	15395042.0
POC_R3_C2	1.11	14066708.0	74.95	13255681.0
POC_R3_C3	1.09	16521573.0	78.39	15579778.0
POC_R3_H1	1.13	11787964.0	75.18	10991560.0
POC_R3_H2	1.09	21234652.0	63.74	19691543.0
POC_R3_H3	1.07	13203640.0	77.0	12318156.0
POC_R72_C1	1.09	14425951.0	74.45	13612241.0
POC_R72_C2	1.13	18431973.0	76.97	17346096.0
POC_R72_C3	1.12	13484574.0	74.58	12698221.0
POC_R72_H1	1.1	17318100.0	77.25	16277935.0
POC_R72_H2	1.11	12611936.0	73.74	11865924.0
POC_R72_H3	1.11	11174004.0	77.71	10473441.0
