Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
POC_R0_C1	18835347.0	276.0	14302634.0	75.94	276.48	14469367.0	13300575.0	14259674.0	78121.0	6859.0	124713.0	1.05	0.06	2.57	0.04	2.5	866942.0	4.6	55202.0	0.29	0.0	18.74	0.43	0	3529581	80988
POC_R0_C2	17312891.0	275.0	12795303.0	73.91	276.22	12722529.0	11608495.0	12524607.0	68446.0	5535.0	123941.0	1.06	0.06	2.59	0.04	2.49	818284.0	4.73	49546.0	0.29	0.0	20.65	0.43	0	3575308	74450
POC_R0_C3	17413175.0	275.0	13161973.0	75.59	276.25	13363990.0	12236153.0	13166985.0	71472.0	6037.0	119496.0	1.06	0.05	2.59	0.04	2.52	828067.0	4.76	54929.0	0.32	0.0	18.9	0.45	0	3289876	78330
POC_R0_H1	17984291.0	276.0	13445918.0	74.76	276.5	13705543.0	12592812.0	13502944.0	73677.0	6521.0	122401.0	1.06	0.05	2.58	0.04	2.5	792697.0	4.41	48411.0	0.27	0.0	20.18	0.38	0	3628930	68335
POC_R0_H2	16503871.0	276.0	12486732.0	75.66	276.9	12630711.0	11534788.0	12427811.0	68862.0	5814.0	128224.0	1.04	0.06	2.6	0.04	2.51	801745.0	4.86	50967.0	0.31	0.0	18.74	0.43	0	3093446	70981
POC_R0_H3	19734678.0	277.0	15330581.0	77.68	276.93	15614954.0	14221940.0	15357836.0	82298.0	7598.0	167222.0	1.05	0.06	2.62	0.04	2.5	954307.0	4.84	57001.0	0.29	0.0	16.78	0.41	0	3311867	80922
POC_R120_C1	28718168.0	266.0	18175881.0	63.29	273.22	18332046.0	16732361.0	18063480.0	99033.0	8568.0	160965.0	1.06	0.06	2.58	0.04	2.49	1165510.0	4.06	77980.0	0.27	0.0	32.01	0.37	0	9192541	106256
POC_R120_C2	16192889.0	276.0	12121912.0	74.86	276.48	12090750.0	11097651.0	11924608.0	64720.0	5098.0	96324.0	1.06	0.06	2.58	0.04	2.52	738960.0	4.56	44446.0	0.27	0.0	19.9	0.4	0	3222791	64780
POC_R120_C3	18010877.0	276.0	13464033.0	74.76	276.51	13450200.0	12321935.0	13261957.0	71899.0	5970.0	110374.0	1.07	0.06	2.57	0.04	2.52	825632.0	4.58	49288.0	0.27	0.0	20.01	0.38	0	3603492	68432
POC_R120_H1	16409189.0	276.0	12451105.0	75.88	276.4	12351668.0	11177233.0	12171636.0	62710.0	5773.0	111549.0	1.07	0.06	2.56	0.04	2.52	816802.0	4.98	55934.0	0.34	0.0	18.3	0.5	0	3003291	82057
POC_R120_H2	29889858.0	276.0	20207436.0	67.61	276.13	18898629.0	17321137.0	18617206.0	107723.0	9662.0	164038.0	1.08	0.06	2.52	0.04	2.43	1167424.0	3.91	66384.0	0.22	0.0	27.88	0.39	0	8332061	116553
POC_R120_H3	17646392.0	276.0	12909054.0	73.15	276.25	12626551.0	11502720.0	12448955.0	68002.0	6080.0	103514.0	1.08	0.06	2.6	0.04	2.54	859706.0	4.87	59585.0	0.34	0.0	21.14	0.49	0	3731554	86493
POC_R12_C1	15208802.0	277.0	11447552.0	75.27	277.11	11420323.0	10477299.0	11252491.0	61616.0	5247.0	100969.0	1.04	0.06	2.64	0.04	2.53	726576.0	4.78	45342.0	0.3	0.0	19.23	0.42	0	2925438	63894
POC_R12_C2	19472129.0	277.0	14859638.0	76.31	277.2	14918666.0	13677564.0	14700510.0	80889.0	6853.0	130414.0	1.04	0.06	2.62	0.04	2.52	931703.0	4.78	57032.0	0.29	0.0	18.17	0.44	0	3538079	85677
POC_R12_C3	33315464.0	266.0	21228754.0	63.72	272.82	21477857.0	19484491.0	21124865.0	113035.0	10381.0	229576.0	1.05	0.06	2.59	0.04	2.46	1462937.0	4.39	99722.0	0.3	0.0	31.14	0.45	0	10374136	149915
POC_R12_H1	17639342.0	277.0	13729623.0	77.84	277.22	13811479.0	12644472.0	13583366.0	68232.0	6703.0	153178.0	1.02	0.06	2.59	0.04	2.52	771465.0	4.37	48865.0	0.28	0.0	17.13	0.39	0	3020618	68771
POC_R12_H2	17931156.0	277.0	13568436.0	75.67	277.26	13605245.0	12480504.0	13380622.0	72012.0	6882.0	145729.0	1.03	0.06	2.6	0.04	2.51	781647.0	4.36	50377.0	0.28	0.0	19.27	0.42	0	3455384	75312
POC_R12_H3	15044393.0	276.0	11155012.0	74.15	276.61	10602929.0	9711674.0	10440655.0	56024.0	4973.0	101277.0	1.06	0.06	2.56	0.04	2.52	713051.0	4.74	51758.0	0.34	0.0	20.33	0.44	0	3058380	66192
POC_R1_C1	19635311.0	275.0	14551877.0	74.11	276.27	14805197.0	13598981.0	14605812.0	78397.0	6493.0	114495.0	1.05	0.06	2.6	0.04	2.51	862593.0	4.39	54376.0	0.28	0.0	20.86	0.36	0	4095780	70685
POC_R1_C2	24992827.0	275.0	18515716.0	74.08	276.0	18686412.0	17189807.0	18405270.0	101367.0	8597.0	171178.0	1.09	0.06	2.59	0.04	2.49	1094056.0	4.38	70299.0	0.28	0.0	20.86	0.4	0	5212798	99958
POC_R1_C3	17832908.0	276.0	14006288.0	78.54	276.91	14119997.0	12875890.0	13891491.0	74930.0	6508.0	147068.0	1.05	0.06	2.62	0.04	2.53	875465.0	4.91	53348.0	0.3	0.0	15.81	0.44	0	2819343	78464
POC_R1_H1	28493471.0	267.0	18615343.0	65.33	273.58	17382942.0	15830595.0	17091692.0	94430.0	7591.0	189229.0	1.05	0.06	2.56	0.04	2.45	1353247.0	4.75	90323.0	0.32	0.0	29.14	0.47	0	8300676	133882
POC_R1_H2	19494557.0	277.0	14988422.0	76.89	277.17	14440350.0	13218976.0	14225805.0	78936.0	6613.0	128996.0	1.05	0.06	2.62	0.04	2.52	1033281.0	5.3	68465.0	0.35	0.0	16.97	0.5	0	3306954	97435
POC_R1_H3	18252791.0	277.0	14179746.0	77.69	276.94	14152892.0	12949622.0	13946034.0	76123.0	6932.0	123803.0	1.05	0.06	2.6	0.04	2.52	948977.0	5.2	64663.0	0.35	0.0	16.36	0.41	0	2984607	74798
POC_R24_C1	19525388.0	277.0	15399351.0	78.87	277.0	15496990.0	14229933.0	15286091.0	84185.0	6717.0	119997.0	1.06	0.06	2.61	0.04	2.55	947647.0	4.85	62797.0	0.32	0.0	15.53	0.43	0	3031652	83941
POC_R24_C2	14553501.0	277.0	11517531.0	79.14	277.01	11781660.0	10772331.0	11604648.0	63697.0	4983.0	108332.0	1.04	0.06	2.62	0.04	2.52	701318.0	4.82	43707.0	0.3	0.0	15.33	0.41	0	2231270	59675
POC_R24_C3	21983987.0	277.0	17031124.0	77.47	276.9	17325587.0	15753628.0	17030870.0	94227.0	7680.0	192810.0	1.06	0.06	2.61	0.04	2.51	1088794.0	4.95	61865.0	0.28	0.0	16.89	0.4	0	3714241	87963
POC_R24_H1	18499735.0	274.0	13638866.0	73.72	276.15	13395142.0	12257180.0	13198570.0	69925.0	6794.0	119853.0	1.07	0.06	2.56	0.04	2.5	842089.0	4.55	57845.0	0.31	0.0	20.95	0.47	0	3874024	86911
POC_R24_H2	16030898.0	277.0	12118078.0	75.59	277.27	12050810.0	11042459.0	11864353.0	63299.0	6181.0	116977.0	1.04	0.06	2.59	0.04	2.52	714076.0	4.45	47207.0	0.29	0.0	19.23	0.43	0	3082607	68930
POC_R24_H3	17095872.0	277.0	13446836.0	78.66	277.14	13580084.0	12404321.0	13371279.0	70221.0	7193.0	131391.0	1.04	0.06	2.57	0.04	2.52	787826.0	4.61	51520.0	0.3	0.0	16.0	0.44	0	2734491	75199
POC_R3_C1	19787274.0	276.0	15395042.0	77.8	276.86	15657030.0	14316727.0	15411671.0	81374.0	7251.0	156734.0	1.05	0.06	2.6	0.04	2.5	851466.0	4.3	48442.0	0.24	0.0	17.28	0.37	0	3419114	73210
POC_R3_C2	17686512.0	275.0	13255681.0	74.95	276.39	13572325.0	12404287.0	13354064.0	73497.0	6051.0	138713.0	1.05	0.05	2.6	0.04	2.52	811081.0	4.59	44257.0	0.25	0.0	19.82	0.39	0	3506495	68998
POC_R3_C3	19873758.0	276.0	15579778.0	78.39	276.96	16013027.0	14661679.0	15780710.0	86167.0	7217.0	138933.0	1.04	0.06	2.61	0.04	2.53	941854.0	4.74	57561.0	0.29	0.0	16.2	0.38	0	3219056	75509
POC_R3_H1	14621233.0	278.0	10991560.0	75.18	277.05	10327177.0	9384972.0	10162954.0	51207.0	4655.0	108361.0	1.07	0.06	2.57	0.04	2.5	796439.0	5.45	55446.0	0.38	0.0	18.51	0.49	0	2706150	71638
POC_R3_H2	30895032.0	266.0	19691543.0	63.74	272.79	17973059.0	16196809.0	17597512.0	87388.0	8380.0	279779.0	1.09	0.06	2.57	0.04	2.45	1543203.0	4.99	98674.0	0.32	0.0	30.46	0.49	0	9410233	151379
POC_R3_H3	15998011.0	277.0	12318156.0	77.0	277.05	11654954.0	10567421.0	11459779.0	57160.0	5296.0	132719.0	1.05	0.06	2.6	0.04	2.53	885513.0	5.54	53578.0	0.33	0.0	16.7	0.44	0	2670406	70358
POC_R72_C1	18284303.0	275.0	13612241.0	74.45	276.2	13591963.0	12464930.0	13402480.0	72675.0	6169.0	110639.0	1.07	0.06	2.57	0.04	2.52	813771.0	4.45	50684.0	0.28	0.0	20.45	0.37	0	3739941	67666
POC_R72_C2	22535196.0	277.0	17346096.0	76.97	277.05	17528721.0	16061661.0	17278403.0	93478.0	7599.0	149241.0	1.04	0.06	2.63	0.04	2.52	1085942.0	4.82	66463.0	0.29	0.0	17.48	0.43	0	3939778	96917
POC_R72_C3	17026391.0	277.0	12698221.0	74.58	277.23	12554093.0	11542167.0	12384938.0	68168.0	5541.0	95446.0	1.05	0.06	2.62	0.04	2.53	786403.0	4.62	49441.0	0.29	0.0	20.11	0.4	0	3424216	68110
POC_R72_H1	21071918.0	277.0	16277935.0	77.25	277.08	16072719.0	14641987.0	15842647.0	84170.0	7502.0	138400.0	1.06	0.06	2.57	0.04	2.53	1040223.0	4.94	69711.0	0.33	0.0	17.02	0.47	0	3585049	99000
POC_R72_H2	16090617.0	277.0	11865924.0	73.74	277.04	11791443.0	10775493.0	11627093.0	62908.0	5450.0	95992.0	1.05	0.06	2.6	0.04	2.54	746053.0	4.64	51599.0	0.32	0.0	20.85	0.45	0	3354639	72402
POC_R72_H3	13476999.0	277.0	10473441.0	77.71	277.04	10183180.0	9272548.0	10035147.0	54191.0	4760.0	89082.0	1.06	0.06	2.6	0.04	2.53	700584.0	5.2	48784.0	0.36	0.0	16.21	0.52	0	2184126	70064
